"Subscription status","État de l'abonnement"
"Sorry, there has been an error processing your request. Please try again later.","Désolé, une erreur s'est produite lors du traitement de votre demande. Veuillez réessayer plus tard."
"Time value has an unsupported format","Valeur du temps est dans un format non pris en charge"
"Cron settings can't be saved","Impossible d’enregistrer les paramètres de cron"
"There was an error save new configuration value.","Une erreur s'est produite lors de l'enregistrement de la nouvelle valeur de configuration."
"Please select a vertical.","Veuillez sélectionner une verticale."
"--Please Select--","--Votre choix--"
"Command was not found.","La commande n'a pas été trouvée."
"Input data must be string or convertible into string.","Données d’entrée doivent être string ou convertible en chaîne."
"Input data must be non-empty string.","Données d’entrée doivent être de chaîne non vide."
"Not valid cipher method.","Méthode de chiffrement non valide."
"Encryption key can't be empty.","Clé de cryptage ne peut pas être vide."
"Source ""%1"" is not exist","Source « %1 » est inexistante"
"These arguments can't be empty ""%1""","Ces arguments ne peuvent pas être vides « %1 »"
"Cannot find predefined integration user!","Impossible de trouver l'intégration prédéfinie par l'utilisateur !"
"File is not ready yet.","Le fichier n'est pas encore prêt."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Votre URL de Base a été modifiée et que vos rapports sont en cours de mise à jour. Rapports avancés seront disponibles une fois que ce changement a été traitée. S'il vous plaît essayer à nouveau plus tard."
"Failed to synchronize data to the Magento Business Intelligence service. ","Impossible de synchroniser les données vers le service d’Intelligence d’affaires de Magento. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Réessayez la synchronisation</a>"
"TestMessage","Message de test"
"Apps and Games","Applications et jeux"
"Athletic/Sporting Goods","Articles d'Athlétisme / de Sport"
"Art and Design","Art et Design"
"Advanced Reporting","Reporting avancé"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Acquérir de nouvelles connaissances et de prendre le commandement de votre entreprise, de la performance, à l'aide de notre produit dynamique, l'ordre et le client rapports adaptés à vos données client."
"Go to Advanced Reporting","Allez dans Advanced Reporting"
"Analytics","Analyses"
"API","API"
"Configuration","Configuration"
"Business Intelligence","Informatique Décisionnelle"
"BI Essentials","Essentiels BI"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Ce service offre une gamme dynamique de rapports riches idées concernant votre entreprise.                 Vos rapports sont accessibles en toute sécurité sur un tableau de bord personnalisé à l’extérieur du panneau d’administration en cliquant sur le lien « Aller à Advanced Reporting ». </br> Pour plus d’informations, consultez nos <a href=""https://magento.com/legal/terms/cloud-terms""> conditions générales</a>."
"Advanced Reporting Service","Service de Reporting avancé"
"Time of day to send data","Moment de la journée pour envoyer des données"
"Industry","Industrie"
"In order to personalize your Advanced Reporting experience, please select your industry.","Afin de personnaliser votre expérience de rapport avancé, veuillez sélectionner votre secteur d’activité."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>obtenez plus d’idées de Business Intelligence de Magento</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence vous donne une voie simple et claire pour devenir plus axée sur les données.</br> En savoir plus sur les niveaux de <a target=""_blank"" href=""https://dashboard.rjmetrics.com/v2/magento/signup/""> Magento BI Essentials et BI Pro</a>."
"Auto Parts","Pièces d’automobile"
"Baby/Children’s Apparel, Gear and Toys","Vêtements pour bébés/enfants, et jouets"
"Beauty and Cosmetics","Beauté et cosmétiques"
"Books, Music and Magazines","Livres, musique et Magazines"
"Crafts and Stationery","Artisanat et papeterie"
"Consumer Electronics","Électronique grand public"
"Deal Site","Affaire du site"
"Fashion Apparel and Accessories","Accessoires et vêtements de mode"
"Food, Beverage and Grocery","Aliments, des boissons et des produits d’épicerie"
"Home Goods and Furniture","Meubles et produits maison"
"Home Improvement","Rénovation de l’habitat"
"Jewelry and Watches","Bijoux et montres"
"Mass Merchant","Marchand Grossiste"
"Office Supplies","Fournitures de bureau"
"Outdoor and Camping Gear","Équipement de plein air et Camping"
"Pet Goods","Produits pour animaux de compagnie"
"Pharma and Medical Devices","Pharmaceutiques et dispositifs médicaux"
"Technology B2B","Technologie B2B"
"Other","Autre"
"The time value is using an unsupported format. Enter a supported format and try again.","La valeur de temps utilise un format non pris en charge. Entrez un format pris en charge et réessayez."
"Please select an industry.","Veuillez sélectionner une industrie."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Les données sont invalides. Entrez les données sous forme de chaîne de caractères ou des données pouvant être converties en chaîne de caractères et réessayez."
"The data is invalid. Enter the data as a string and try again.","Les données sont invalides. Entrez les données sous forme de chaîne de caractères et réessayez."
"The data is invalid. Use a valid cipher method and try again.","Les données sont invalides. Utilisez une méthode de chiffrement valide et réessayez."
"Enter the encryption key and try again.","Entrez la clé de chiffrement et réessayez."
"The ""%1"" source doesn't exist.","La source ""%1"" n'existe pas."
"Retry Synchronization","Réessayer la synchronisation"
