"Subscription status","حالة الاشتراك"
"Sorry, there has been an error processing your request. Please try again later.","عذراً، حدث خطأ أثناء معالجة طلبك. الرجاء المحاولة مرة أخرى لاحقاً."
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again."
"Cron settings can't be saved","لا يمكن حفظ إعدادات كرون Cron"
"There was an error save new configuration value.","حدث خطأ أثناء حفظ قيمة الإعداد الجديد."
"Please select an industry.","رجاءا حدد مجال التجارة."
"--Please Select--","--أختر من فضلك--"
"Command ""%1"" was not found.","Command ""%1"" was not found."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again."
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
"These arguments can't be empty ""%1""","لا يمكن ترك هذه الصيغ فارغة ""1%"""
"Cannot find predefined integration user!","لا يمكن العثور على مستخدم دمج معرف مسبقا!"
"File is not ready yet.","الملف غير جاهز حتى الآن."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","تم تغيير الرابط الأساسي الخاص بك وجاري الآن تحديث تقاريرك. ستتوفر التقارير المتقدمة حين الانتهاء من التغيير. يرجى المحاولة مرة أخرى لاحقاً."
"Failed to synchronize data to the Magento Business Intelligence service. ","فشلت مزامنة البيانات مع خدمة ماجنتو لذكاء الأعمال."
"Retry Synchronization","أعد المزامنة"
"TestMessage","رسالة تجريبية"
"Apps and Games","تطبيقات وألعاب"
"Athletic/Sporting Goods","السلع الرياضية"
"Art and Design","الفن والتصميم"
"Advanced Reporting","التقارير المتقدمة"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","اكتسب رؤىً جديدة وتولى قيادة الأداء في أعمالك، باستخدام تقاريرنا الديناميكية للمنتجات والأوامر والزبائن والمصممة لبيانات عملائك."
"Go to Advanced Reporting","الانتقال إلى التقارير المتقدمة"
"Analytics","التحليلات"
"API","واجهة برمجة التطبيقات (API)"
"Configuration","الضبط"
"Business Intelligence","ذكاء الأعمال"
"BI Essentials","أساسيات الذكاء التجاري"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","خدمة التقارير المتقدمة"
"Time of day to send data","وقت إرسال البيانات خلال اليوم"
"Industry Data","بيانات الصناعة"
"Industry","صناعة"
"In order to personalize your Advanced Reporting experience, please select your industry.","من أجل تخصيص التقارير المتقدمة الخاصة بك يرجى اختيار مجال تجارتك."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>احصل على المزيد من الرؤى من ماجنتو لذكاء الأعمال</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","قطع غيار السيارات"
"Baby/Children’s Apparel, Gear and Toys","ألعاب وأدوات واكسسوارات الأطفال والمواليد"
"Beauty and Cosmetics","أدوات التجميل والجمال"
"Books, Music and Magazines","الكتب والمجلات والصوتيات"
"Crafts and Stationery","المشغولات اليدوية والأدوات المكتبية"
"Consumer Electronics","الأدواتا لكهربائية الإستهلاكية"
"Deal Site","موقع الصفقة"
"Fashion Apparel and Accessories","الأزياء والكماليات"
"Food, Beverage and Grocery","المأكولات والمشروبات والمواد التموينية"
"Home Goods and Furniture","الأواني المنزلية والأثاث"
"Home Improvement","تحسين المنزل"
"Jewelry and Watches","الساعات والمجوهرات"
"Mass Merchant","تجارة الجملة"
"Office Supplies","أدوات مكتبية"
"Outdoor and Camping Gear","مستلزمات التخييم والرحلات"
"Pet Goods","مستلزمات تربية الحيوانات"
"Pharma and Medical Devices","الأدوات الطبية والصيدلية"
"Technology B2B","التقنية (مورد لمورد)"
"Other","أخرى"
