"Subscription status","Статус підписки"
"Sorry, there has been an error processing your request. Please try again later.","На жаль, сталась помилка під час обробки вашого запиту. Будь ласка, спробуйте пізніше."
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Sorry, there was an error processing your registration request to Magento Analytics. Please try again later."
"Error occurred during postponement notification","Error occurred during postponement notification"
"Time value has an unsupported format","Формат значення часу не підтримується"
"Cron settings can't be saved","Налаштування для крону не можуть бути збережені"
"There was an error save new configuration value.","Помилка під час збереження конфігурації."
"Please select an industry.","Please select an industry."
"--Please Select--","--Виберіть, будь ласка--"
"Command %1"" was not found.""","Command %1"" was not found."""
"Input data must be string or convertible into string.","Вхідні дані повинні бути рядковими або конвертованими у рядок."
"Input data must be non-empty string.","Вхідні дані повинні бути не пустими."
"Not valid cipher method.","Недійсний метод шифрування."
"Encryption key can't be empty.","Ключ шифрування не може бути пустим."
"Source ""%1"" is not exist","Джерело ""%1"" не існує"
"These arguments can't be empty ""%1""","Ці аргументи не можуть бути порожніми: ""%1"""
"Cannot find predefined integration user!","Cannot find predefined integration user!"
"File is not ready yet.","Файл ще не готовий."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later."
"Failed to synchronize data to the Magento Business Intelligence service. ","Failed to synchronize data to the Magento Business Intelligence service. "
"Retry Synchronization","Retry Synchronization"
"TestMessage","Тестове повідомлення"
"Error message","Error message"
"Apps and Games","Програми та Ігри"
"Athletic/Sporting Goods","Athletic/Sporting Goods"
"Art and Design","Мистецтво та дизайн"
"Advanced Reporting","Розширена звітність"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data."
"View details","View details"
"Go to Advanced Reporting","Перейти до розширеної звітності"
"An error occurred while subscription process.","An error occurred while subscription process."
"Analytics","Аналітика"
"API","API"
"Configuration","Налаштування"
"Business Intelligence","Business Intelligence"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                ","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                "
"Advanced Reporting Service","Сервіс розширеної звітністі"
"Industry","Industry"
"Time of day to send data","Time of day to send data"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Get more insights from Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier."
"Auto Parts","Авто запчастини"
"Baby/Children’s Apparel, Gear and Toys","Baby/Children’s Apparel, Gear and Toys"
"Beauty and Cosmetics","Beauty and Cosmetics"
"Books, Music and Magazines","Книги, музика і журнали"
"Crafts and Stationery","Crafts and Stationery"
"Consumer Electronics","Consumer Electronics"
"Deal Site","Deal Site"
"Fashion Apparel and Accessories","Модний одяг та аксесуари"
"Food, Beverage and Grocery","Food, Beverage and Grocery"
"Home Goods and Furniture","Товари для дому та меблів"
"Home Improvement","Облаштування будинку"
"Jewelry and Watches","Ювелірні вироби та годинники"
"Mass Merchant","Mass Merchant"
"Office Supplies","Office Supplies"
"Outdoor and Camping Gear","Outdoor and Camping Gear"
"Pet Goods","Pet Goods"
"Pharma and Medical Devices","Pharma and Medical Devices"
"Technology B2B","Technology B2B"
"Analytics Subscription","Analytics Subscription"
"powered by Magento Business Intelligence","powered by Magento Business Intelligence"
"Are you sure you want to opt out?","Are you sure you want to opt out?"
"Cancel","Cancel"
"Opt out","Opt out"
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>"
"In order to personalize your Advanced Reporting experience, please select your industry.","In order to personalize your Advanced Reporting experience, please select your industry."
