"Subscription status","Stav předplatného"
"Sorry, there has been an error processing your request. Please try again later.","Omlouváme se, došlo k chybě při zpracování vašeho požadavku. Opakujte akci později."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Nelze uložit nastavení cron"
"There was an error save new configuration value.","Došlo k chybě zápisu do konfiguračního souboru."
"Please select a vertical.","Please select a vertical."
"--Please Select--","– Vyberte –"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Šifrovací klíč nemůže být prázdný."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","Tyto argumenty nemohou být prázdné ""%1"""
"Cannot find predefined integration user!","Nelze najít předdefinovaného uživatele integrace!"
"File is not ready yet.","Soubor zatím není připraven."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Vaše základní adresa URL byla změněna a vaše přehledy se aktualizují. Po zpracování této změny bude k dispozici pokročilý náhled. Prosím zkuste to znovu později."
"Failed to synchronize data to the Magento Business Intelligence service. ","Nelze synchronizovat data se službou Magento Business Intelligence. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","TestovacíZpráva"
"Apps and Games","Aplikace a Hry"
"Athletic/Sporting Goods","Sportovní zboží"
"Art and Design","Umění a Design"
"Advanced Reporting","Rozšířené přehledy"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Získejte nové informace a získejte přehled o výkonu své firmy pomocí našeho dynamického produktu, objednávky a zákaznických přehledů šitých na míru vašim zákaznickým datům."
"Go to Advanced Reporting","Go to Advanced Reporting"
"Analytics","Analytika"
"API","API"
"Configuration","Nastavení"
"Business Intelligence","Business Intelligence"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Advanced Reporting Service"
"Time of day to send data","Čas pro odeslání dat"
"Industry","Průmysl"
"In order to personalize your Advanced Reporting experience, please select your industry.","Chcete-li si přizpůsobit své pokročilé možnosti vytváření přehledů, vyberte své odvětví."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Získejte více informací od Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Auto Parts"
"Baby/Children’s Apparel, Gear and Toys","Oblečení pro děti, děti, hračky a hračky"
"Beauty and Cosmetics","Krása a kosmetika"
"Books, Music and Magazines","Knihy, Hudba a Časopisy"
"Crafts and Stationery","Řemesla a papírnictví"
"Consumer Electronics","Spotřební Elektronika"
"Deal Site","Deal Site"
"Fashion Apparel and Accessories","Módní oblečení a doplňky"
"Food, Beverage and Grocery","Potraviny a nápoje"
"Home Goods and Furniture","Zboží pro domácnost a nábytek"
"Home Improvement","Domácí zlepšení"
"Jewelry and Watches","Šperky a hodinky"
"Mass Merchant","Mass Merchant"
"Office Supplies","Zboží do kanceláře"
"Outdoor and Camping Gear","Outdoor a kempování"
"Pet Goods","Zboží pro domácí mazlíčky"
"Pharma and Medical Devices","Zdravotnické prostředky"
"Technology B2B","Technologie B2B"
"Other","Other"
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again."
"Please select an industry.","Vyberte odvětví."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again."
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
"Retry Synchronization","Opakujte synchronizaci"
