"modal_title_text","modal_title_text"
"Account Activity","Hesap etkinliği"
"All other open sessions for this account were terminated.","Bu hesap için tüm açık oturumlar sonlandırılmıştır."
"We couldn't logout because of an error.","Bir hata yüzünden çıkış yapılamıyor."
"Someone logged into this account from another device or browser. Your current session is terminated.","Birisi bu hesaba başka bir cihazdan veya tarayıcıdan giriş yaptı. Geçerli oturumunuz sona erdi."
"Your current session is terminated by another user of this account.","Geçerli oturumunuz, bu hesabın başka bir kullanıcısı tarafından feshedildi."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"Your current session has been expired.","Geçerli oturumunuzun süresi doldu."
"By IP and Email","IP ve E posta ile"
"By IP","IP ile"
"By Email","E-posta ile"
"None","Hiçbiri"
"Expiration Date","Expiration Date"
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Yanlış Güvenlik Denetleyicisi sınıfı. SecurityCheckerInterface uygulamak zorundadır"
"""%1"" must be later than the current date.","""%1"" must be later than the current date."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"some error","Bazı hatalar"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Bu yönetici hesabı birden fazla yerde açık. Diğer konumların aynı bilgisayarda farklı tarayıcılar ve oturumlar olabileceğini unutmayın."
"Concurrent session information:","Eşzamanlı oturum bilgileri:"
"IP Address","IP Adres"
"Time of session start","Oturum başlama zamanı"
"Are you sure that you want to log out all other sessions?","Diğer oturumları kapatmak istediğinizden emin misiniz?"
"Log out all other sessions","Diğer tüm oturumları kapat"
"This computer is using IP address %1.","Bu bilgisayar %1 IP adresini kullanıyor."
"Warning","Warning"
": You are about to set max session size in admin to be lower than recommended default session size. Low max session size in admin could break admin functionalities such as admin panel login. Are you sure you want to make this change?",": You are about to set max session size in admin to be lower than recommended default session size. Low max session size in admin could break admin functionalities such as admin panel login. Are you sure you want to make this change?"
": You are about to set max session size in storefront to be lower than  recommended default session size. Low max session size in storefront could break storefront functionalities such as customer login. Are you sure you want to make this change?",": You are about to set max session size in storefront to be lower than  recommended default session size. Low max session size in storefront could break storefront functionalities such as customer login. Are you sure you want to make this change?"
"No","No"
"Yes","Yes"
"Admin Account Sharing","Yönetici Hesabı Paylaşımı"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Evet olarak ayarlanırsa, birden fazla bilgisayardan aynı hesaba giriş yapabilirsiniz. Varsayılan ayar Hayır, güvenliği artırır."
"Password Reset Protection Type","Parola Sıfırlama Koruma Türü"
"Max Number of Password Reset Requests","Maksimum Şifre Sıfırlama İsteği Sayısı"
"Limit the number of password reset request per hour. Use 0 to disable.","Saat başına şifre sıfırlama talebi sayısını sınırlayın. Devre dışı bırakmak için 0 kullanın."
"Min Time Between Password Reset Requests","Parola Sıfırlama İstekleri Arasındaki Minimum Zaman"
"Delay in minutes between password reset requests. Use 0 to disable.","Şifre sıfırlama istekleri arasındaki dakika cinsinden gecikme. Devre dışı bırakmak için 0 kullanın."
"Security","Security"
"Max Session Size in Admin","Max Session Size in Admin"
"Max Session Size in Storefront","Max Session Size in Storefront"
