"modal_title_text","modal_title_text"
"Account Activity","Aktywność na koncie"
"All other open sessions for this account were terminated.","Wszystkie inne otwarte sesje dla tego konta zostały zakończone."
"We couldn't logout because of an error.","Nie można wylogować z powodu błędu."
"Someone logged into this account from another device or browser. Your current session is terminated.","Ktoś zalogował się na to konto z innej przeglądarki lub urządzenia. Twoja bieżąca sesja zostaje zakończona."
"Your current session is terminated by another user of this account.","Twoja obecna sesja została zakończona przez innego użytkownika tego konta."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"Your current session has been expired.","Twoja obecna sesja wygasła."
"By IP and Email","Przez IP i E-mail"
"By IP","Przez IP"
"By Email","Przez E-mail"
"None","Brak"
"Expiration Date","Expiration Date"
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Nieprawidłowe sprawdzanie zabezpieczeń klasy. Ma do wykonania SecurityCheckerInterface"
"""%1"" must be later than the current date.","""%1"" must be later than the current date."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"some error","błąd"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","To konto administratorskie jest otwarte w więcej niż jedna lokalizacja. Miej na uwadze, iż inne lokacje obejmują także różne przeglądarki czy sesje na tym samym komputerze."
"Concurrent session information:","Informacje o równoległej sesji:"
"IP Address","Adres IP"
"Time of session start","Czas rozpoczęcia sesji"
"Are you sure that you want to log out all other sessions?","Czy na pewno chcesz wylogować wszystkie inne sesje?"
"Log out all other sessions","Wszystkie inne sesje zostały wylogowane"
"This computer is using IP address %1.","Ten komputer używa adresu IP %1."
"Warning","Warning"
": You are about to set max session size in admin to be lower than recommended default session size. Low max session size in admin could break admin functionalities such as admin panel login. Are you sure you want to make this change?",": You are about to set max session size in admin to be lower than recommended default session size. Low max session size in admin could break admin functionalities such as admin panel login. Are you sure you want to make this change?"
": You are about to set max session size in storefront to be lower than  recommended default session size. Low max session size in storefront could break storefront functionalities such as customer login. Are you sure you want to make this change?",": You are about to set max session size in storefront to be lower than  recommended default session size. Low max session size in storefront could break storefront functionalities such as customer login. Are you sure you want to make this change?"
"No","No"
"Yes","Yes"
"Admin Account Sharing","Udostępnianie konta administratora"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Jeśli ustawiona na tak, możesz zalogować się z wielu komputerów do tego samego konta. Domyślne ustawienie nie jest bezpieczne."
"Password Reset Protection Type","Rodzaj ochrony resetowania hasła"
"Max Number of Password Reset Requests","Max Number of Password Reset Requests"
"Limit the number of password reset request per hour. Use 0 to disable.","Ogranicz liczbę żądań zresetowania hasła na godzinę. Użyj 0 by wyłączyć limit."
"Min Time Between Password Reset Requests","Min Time Between Password Reset Requests"
"Delay in minutes between password reset requests. Use 0 to disable.","Opóźnienie w minutach między żądaniami zresetowania hasła. Użyj 0 by wyłączyć opóźnienie."
"Security","Security"
"Max Session Size in Admin","Max Session Size in Admin"
"Max Session Size in Storefront","Max Session Size in Storefront"
