"Conditions Combination","Combinação de Condições"
"Product Attribute","Atributo do Produto"
"SKU","Código de Produto:"
"Please choose a condition to add.","Por favor, escolha uma condição para adicionar."
"Add to Cart","Adicionar ao Carrinho"
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Add to Wish List","Adicionar à lista de desejos"
"Add to Compare","Adicionar para Comparar"
"Catalog Products List","Lista de Produtos do Catálogo"
"List of Products","Lista de produtos"
"Title","Título"
"Display Page Control","Exibir controle de página"
"Number of Products per Page","Número de produtos por página"
"Number of Products to Display","Número de produtos para exibir"
"Template","Template"
"Products Grid Template","Template da Listagem de Produtos"
"Cache Lifetime (Seconds)","Tempo de Vida da Cache (Segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Condições"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Tempo em segundos entre as atualizações do widget.
                    <br/>Se não definido, igual a 86400 segundos (24 horas). Para atualizar o widget instantaneamente, vá para ao Gerenciamento de Cache e limpar o cache de Saída HTML de Blocos.
                    <br/>Widget não mostrará produtos que começam a corresponder às condições especificadas até que o cache seja atualizado.
                "
