"Conditions Combination","Combinación de condiciones"
"Product Attribute","Atributos del artículo"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Please choose a condition to add.","Por favor, elige una condición para añadir."
"Add to Cart","Añadir al carrito"
"In stock","Disponible"
"Out of stock","No está disponible"
"Add to Wish List","Añadir a la Lista de Deseos"
"Add to Compare","Añadir para comparar"
"Catalog Products List","Lista de productos de catálogo"
"List of Products","Lista de productos"
"Title","Título"
"Display Page Control","Mostrar control de página"
"Number of Products per Page","Número de productos por página"
"Number of Products to Display","Número de artículos a mostrar"
"Template","Plantilla"
"Products Grid Template","Plantilla de Cuadrícula de Productos"
"Cache Lifetime (Seconds)","Duración de caché (segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","La opción predeterminada es 86400, si no se configura. Para actualizarla instantáneamente, borre el caché de salida de bloques HTML."
"Conditions","Condiciones"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
Tiempo en segundos entre actualizaciones de widgets.
<br/>Si no está establecido, valor por defecto de 86400 segundos (24 horas). Para actualizar un widget de manera instantánea, vaya a Gestión de Caché y limpie la caché Salida HTML de Bloques.
<br/>Los widgets no mostrarán productos que comiencen a coincidir con las condiciones especificadas hasta que la caché sea refrescada.                "
