"Conditions Combination","Koşullar listesi"
"Product Attribute","Ürün Özellikleri"
"SKU","Ürün Kodu"
"Please choose a condition to add.","Lütfen eklemek için bir koşul seçin."
"Add to Cart","Sepete Ekle"
"In stock","stokta mevcut"
"Out of stock","Stok mevcut değil"
"Add to Wish List","İstek Listesine Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Catalog Products List","Katalog Ürün Listesi"
"List of Products","Ürün listesi"
"Title","Başlık"
"Display Page Control","Sayfa Kontrolü Göster"
"Number of Products per Page","Sayfa başına Ürün Sayısı"
"Number of Products to Display","Gösterilecek Ürün Sayısı"
"Template","Şablon"
"Products Grid Template","Ürünler Izgara Şablonu"
"Cache Lifetime (Seconds)","Ön Bellek Ömrü (Saniye)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","Varsayılan 86400, ayarlanmamışsa. Hemen yenilemek için Blokların HTML Çıktı önbelleğini temizleyin."
"Conditions","Koşullar"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
Widget güncellenmeleri arasında saniye cinsinden süre

 <br/>Ayarlanmadıysa 86400 saniyeye (24 saat) eşittir. Widget'i anında güncellemek için Önbellek Yönetimi'ne gidin ve HTML Çıktı önbelleğini engelle seçeneğinin işaretini kaldırın. 
<br/>Widget yenilenene kadar belirtilen koşullara uymaya başlayan ürünleri göstermez.                "
