"Invalid store parameter.","متغيرات المسلسل غير صالحة."
"Current store is not active.","المتجر الحالي غير نشط."
"Requested store is inactive","المخزن المطلوب غير نشط"
"Requested store is not found","لم يتم العثور على مخزن المطلوبة"
"Environment emulation nesting is not allowed.","لا يسمح بتداخل محاكاة البيئة."
"%1","%1"
"Website was not found","Website was not found"
"Group was not found","Group was not found"
"Store was not found","Store was not found"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 should implement %2"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category."
"Invalid scope object","كائن النطاق غير صالح"
"Group with the same code","Group with the same code"
"Store with the same code","متجر له نفس الكود"
"Website with the same code","موقع له نفس الكود"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","رمز الموقع قد يحتوي فقط على أحرف (أ-ي), الأرقام (0-9) أو تسطير, يجب أن يكون الحرف الأول حرف."
"Name is required","الاسم مطلوب"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","رمز المتجر قد يحتوي على حروف فقط (أ-ي), الأرقام (0-9) أو تسطير، '' يجب أن يكون الحرف الأول حرف."
"Store is inactive","المتجر غير نشط"
"Default store is inactive","المتجر الافتراضي غير نشط"
"All Store Views","واجهه جميع المواقع"
"-- Please Select --","--الرجاء الاختيار-"
"Admin","المدير"
"Default website is not defined","Default website is not defined"
"More than one default website is defined","More than one default website is defined"
"no such entity exception","no such entity exception"
"Your Language:","لغتك:"
"Your Language","لغتك"
"Language","لغة"
"Select Store","تحديد مخزن"
"Configuration","الضبط"
"Various XML configurations that were collected across modules and merged","مختلف تكوينات XML التي تم جمعها عبر الوحدات النمطية ودمجها"
"Layouts","أشكال الصفحة"
"Layout building instructions","تخطيط بناء التعليمات"
"Blocks HTML output","مخرجات قوائم HTML"
"Page blocks HTML","قوائم صفحة HTML"
"Collections Data","مجموعات البيانات"
"Collection data files","جميع بيانات الملفات"
"Reflection Data","بيانات الانعكاس"
"API interfaces reflection data","API واجهات بيانات الانعكاس"
"Database DDL operations","عمليات قاعدة البيانات DDL"
"Results of DDL queries, such as describing tables or indexes","نتائج استعلامات DDL، مثل وصف الجداول والفهارس"
"Compiled Config","Compiled Config"
"Compilation configuration","Compilation configuration"
