"Invalid store requested.","Invalid store requested."
"Current store is not active.","Toko saat ini tidak aktif."
"Requested store is inactive","Toko yang diminta tidak aktif"
"Requested store is not found","Toko yang diminta tidak ditemukan"
"Environment emulation nesting is not allowed.","Sajian emulasi lingkungan tidak diperbolehkan."
"%1","% 1"
"Website was not found","Website tidak ditemukan"
"Group was not found","Grup tidak ditemukan"
"Store was not found","Toko tidak ditemukan"
"Class for type ""%1"" was not declared","Kelas untuk tipe ""%1"" tidak diumumkan"
"%1 should implement %2","%1 harus diimplementasikan %2"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","Toko berikut tidak terkait dengan kategori root: '. . '. Agar toko dapat ditampilkan di etalase, maka toko harus dikaitkan dengan kategori akar."
"Invalid scope object","Objek lingkup tidak valid"
"Group with the same code","Kelompokkan kode yang sama"
"Store with the same code","Simpan dengan kode yang sama"
"Website with the same code","Website dengan kode yang sama"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Kode situs mungkin hanya berisi huruf (az), angka (0-9) atau garis bawah (_), dan huruf pertama harus berupa huruf."
"Name is required","Nama diperlukan"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Kode toko hanya boleh berisi huruf (az), angka (0-9) atau garis bawah (_), dan huruf pertama harus berupa huruf."
"Store is inactive","Toko tidak aktif"
"Invalid store parameter.","Parameter toko tidak valid."
"Default store is inactive","Toko default tidak aktif"
"All Store Views","Semua Tampilan Store"
"-- Please Select --","-- Silahkan pilih --"
"Admin","Admin"
"Default website is not defined","Situs web default tidak didefinisikan"
"More than one default website is defined","Lebih dari satu situs web standar didefinisikan"
"no such entity exception","tidak ada pengecualian entitas seperti itu"
"Your Language:","Bahasa Anda:"
"Your Language","Bahasa Anda"
"Language","Bahasa"
"Select Store","Pilih Toko"
"Configuration","Konfigurasi"
"Various XML configurations that were collected across modules and merged","Berbagai konfigurasi XML yang dikumpulkan di seluruh modul dan digabungkan"
"Layouts","Tata letak"
"Layout building instructions","Petunjuk pembuatan layout"
"Blocks HTML output","Blokir keluaran HTML"
"Page blocks HTML","Halaman memblokir HTML"
"Collections Data","Data Koleksi"
"Collection data files","Koleksi file data"
"Reflection Data","Data Refleksi"
"API interfaces reflection data","Antarmuka API memantulkan data"
"Database DDL operations","Operasi DDL Database"
"Results of DDL queries, such as describing tables or indexes","Hasil query DDL, seperti menggambarkan tabel atau indeks"
"Only default scope allowed","Hanya cakupan default yang diizinkan"
"Various XML configurations that were collected across modules and merged.","Berbagai konfigurasi XML yang dikumpulkan di seluruh modul dan digabungkan."
"Layout building instructions.","Petunjuk pembuatan layout."
"Page blocks HTML.","Halaman memblokir HTML."
"Collection data files.","Koleksi file data."
"API interfaces reflection data.","Antarmuka API memantulkan data."
"Results of DDL queries, such as describing tables or indexes.","Antarmuka API memantulkan data."
"The store cannot be switched.","The store cannot be switched."
"The store that was requested wasn't found. Verify the store and try again.","The store that was requested wasn't found. Verify the store and try again."
"The website wasn't found. Verify the website and try again.","The website wasn't found. Verify the website and try again."
"The group wasn't found. Verify the group and try again.","The group wasn't found. Verify the group and try again."
"The store wasn't found. Verify the store and try again.","The store wasn't found. Verify the store and try again."
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The scope object is invalid. Verify the scope object and try again.","The scope object is invalid. Verify the scope object and try again."
"The default website isn't defined. Set the website and try again.","The default website isn't defined. Set the website and try again."
"The default website is invalid. Make sure no more than one default is defined and try again.","The default website is invalid. Make sure no more than one default is defined and try again."
"Compiled Config","Dikompilasi konfigurasi"
"Compilation configuration","Konfigurasi kompilasi"
