"Customer Address Attributes","Vásárlói címjellemzők"
"Add New Attribute","Új jellemző hozzáadása"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Save Attribute","Jellemző mentése"
"Delete Attribute","Jellemző törlése"
"Edit Customer Address Attribute ""%1""","Vásárlói címjellemző szerkesztése: ""%1"""
"New Customer Address Attribute","Új vásárlói címjellemző"
"Input Type","Beviteli mező típusa"
"Lines Count","Sorok száma"
"Valid range 2-20","Érvényes tartomány 2-20"
"Input Validation","Bevitel jóváhagyása"
"None","Egyik sem"
"Minimum Text Length","Minimális szöveghossz"
"Maximum Text Length","Maximális szöveghossz"
"Maximum File Size (bytes)","Maximális fájlméret (bájt)"
"File Extensions","Fájlkiterjesztések"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maximális képszélesség (px)"
"Maximum Image Height (px)","Maximális képmagasság (px)"
"Input/Output Filter","Bemeneti/Kimeneti szűrő"
"Minimal value","Minimális érték"
"Maximum value","Maximális érték"
"Add to Column Options","Hozzáadás az oszlopopciókhoz"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Válassza az ""Igen""-t e jellemző új oszlopként való hozzáadásához."
"Use in Filter Options","Használja szűrőlehetőségként"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Válassza az ""Igen""-t, ha szeretné e jellemzőt szűrőként használni."
"Use in Search Options","Használja keresési opcióként"
"Use in Search Option","Használja keresési opcióként"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Válassza az ""Igen""-t, ha szeretné e jellemzőt keresési lehetőségként beállítani."
"Storefront Properties","Vásárlói felület tulajdonságai"
"Show on Storefront","Megjelenítés a vásárlói felületen"
"Sort Order","Rendezési sorrend"
"Forms to Use In","Űrlapok használatban"
"Properties","Tulajdonságok"
"Manage Label / Options","Címkék / Opciók kezelése"
"Attribute Information","Jellemző-információk"
"Visible to Customer","Láthatja a vásárló"
"No","Nem "
"Yes","Igen"
"Customer Attributes","Vásárló-jellemzők"
"Edit Customer Attribute ""%1""","Vásárló-jellemző szerkesztése: %1"
"New Customer Attribute","Új vásárló-jellemző"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
