"Customer Address Attributes","Müşteri Adres Bilgileri"
"Add New Attribute","Yeni Özellik Ekle"
"Save and Continue Edit","Kaydet ve Devam Et"
"Save Attribute","Özelliği Kaydet"
"Delete Attribute","Özelliği Sil"
"Edit Customer Address Attribute ""%1""","Müşteri Adres Özniteliğini Düzenle ""%1"""
"New Customer Address Attribute","Yeni Müşteri Adresi Özniteliği"
"Input Type","Giriş Tipi"
"Lines Count","Satır sayısı"
"Valid range 2-20","Geçerli aralık 2-20"
"Input Validation","Giriş Doğrulaması"
"None","Hiçbiri"
"Minimum Text Length","En az Metin Uzunluğu"
"Maximum Text Length","En Fazla Metin Uzunluğu"
"Maximum File Size (bytes)","Maksimum Dosya Boyutu (bayt)"
"File Extensions","Dosya Uzantıları"
"Comma separated. Forbidden file extensions: %1.","Virgülle ayrılmış. Yasak dosya uzantıları: %1."
"Maximum Image Width (px)","Maksimum resim genişliği (piksel)"
"Maximum Image Height (px)","Maksimum Resim Yüksekliği (px)"
"Input/Output Filter","Giriş/Çıkış Filtresi"
"Minimal value","Minimum değer"
"Maximum value","Maksimum değer"
"Add to Column Options","Sütun Seçeneklerine Ekle"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Bu özelliği müşteri kılavuzundaki sütun seçenekleri listesine eklemek için ""Evet""i seçin."
"Use in Filter Options","Filtre Seçeneklerinde Kullan"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Bu özelliği müşteri kılavuzundaki filtre seçenekleri listesine eklemek için ""Evet""i seçin."
"Use in Search Options","Arama Seçeneklerinde Kullan"
"Use in Search Option","Arama Seçeneğinde Kullan"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Bu özelliği müşteri kılavuzundaki arama seçenekleri listesine eklemek için ""Evet""i seçin."
"Storefront Properties","Mağazanın Özellikleri"
"Show on Storefront","Mağazada Göster"
"Sort Order","Sıralama"
"Forms to Use In","Kullanılacak Formlar"
"Properties","Özellikler"
"Manage Label / Options","Etiket / Seçenek Yönetimi"
"Attribute Information","Özellik Bilgisi"
"Visible to Customer","Müşteriye Görünür"
"No","Hayır"
"Yes","Evet"
"Customer Attributes","Müşteri Nitelikleri"
"Edit Customer Attribute ""%1""","Müşteri Öznitelikini Düzenle ""%1"""
"New Customer Attribute","Yeni Müşteri Özniteliği"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Bu dahili olarak kullanılır. Boşluk veya %1'den fazla sembol kullanmadığınızdan emin olun."
"Manage Form Types","Form Türlerini Yönetme"
"New Form Type","Yeni Form Türü"
"Edit Form Type ""%1""","Form Türünü Düzenle ""%1"""
"General Information","Genel Bilgi"
