"Customer Address Attributes","תכונות כתובת הלקוח"
"Add New Attribute","הוסף תכונה חדשה"
"Save and Continue Edit","שמור והמשך בעריכה"
"Save Attribute","שמור תכונה"
"Delete Attribute","מחק תכונה"
"Edit Customer Address Attribute ""%1""","עריכת תכונת כתובת לקוח ""%1"""
"New Customer Address Attribute","תכונת כתובת לקוח חדשה"
"Input Type","סוג הקלט"
"Lines Count","ספירת קווים"
"Valid range 2-20","טווח חוקי 2-20"
"Input Validation","אימות קלט"
"None","ללא"
"Minimum Text Length","אורך טקסי מינימלי"
"Maximum Text Length","אורך טקסי מקסימלי"
"Maximum File Size (bytes)","גודל קובץ מירבי (בתים)"
"File Extensions","סיומות של קבצים"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"Maximum Image Width (px)","רוחב תמונה מקסימלי (פיקסלים)"
"Maximum Image Height (px)","גובה תמונה מקסימלי (פיקסלים)"
"Input/Output Filter","מסנן קלט/פלט"
"Minimal value","ערך מינימלי"
"Maximum value","ערך מקסימלי"
"Add to Column Options","הוסף לאפשרויות עמודות"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","בחר 'כן' כדי להוסיף תכונה זו לרשימה של אפשרויות עמודות בגריד הלקוחות."
"Use in Filter Options","השתמש באפשרויות סינון"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","בחר 'כן' כדי להוסיף תכונה זו לרשימה של אפשרויות סינון בגריד הלקוחות."
"Use in Search Options","השתמש באפשרויות החיפוש"
"Use in Search Option","השתמש באפשרות החיפוש"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","בחר 'כן' כדי להוסיף תכונה זו לרשימה של אפשרויות חיפוש בגריד הלקוחות."
"Storefront Properties","מאפייני תצוגת חנות"
"Show on Storefront","הצג בקדמת החנות"
"Sort Order","סדר מיון"
"Forms to Use In","טפסים לשימוש ב-"
"Properties","מאפיינים"
"Manage Label / Options","ניהול תוויות/אפשרויות"
"Attribute Information","מידע אודות תכונה"
"Visible to Customer","גלוי ללקוח"
"No","לא"
"Yes","כן"
"Customer Attributes","תכונות לקוח"
"Edit Customer Attribute ""%1""","עריכת תכונת לקוח ""%1"""
"New Customer Attribute","תכונת לקוח חדשה"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","זהו מידע לשימוש פנימי. ודאו שאינכם משתמשים ברווחים או ביותר מ-%1 תווים."
"Manage Form Types","ניהול סוגי טפסים"
"New Form Type","סוג טופס חדש"
"Edit Form Type ""%1""","ערוך סוג טופס ""%1"""
"General Information","מידע כללי"
"-- Please Select --","-- אנא בחר --"
"Based On","בהתבסס על"
"Form Label","תווית הטופס"
"All Themes","כל ערכות הנושא"
"For Theme","עבור ערכת נושא"
"Store View","תצוגת חנות"
"Form Code","קוד טופס"
"Form Title","כותרת טופס"
"General","כללי"
"New Fieldset","סט שדות חדש"
"Save","שמור"
"Remove","הסר"
"Cancel","ביטול"
"Attributes","תכונות"
"Form Type Information","פרטי סוג טופס"
"Type Code","קוד סוג"
"Label","תווית"
"Theme","תבנית"
"System","מערכת"
"No files for upload.","No files for upload."
"Something went wrong.","Something went wrong."
"Page not found.","Page not found."
"Customer","לקוח"
"Manage Customer Address Attributes","ניהול תכונות של כתובת לקוח"
"You cannot delete this attribute.","לא ניתן למחוק תכונה זו."
"You deleted the customer address attribute.","מחקת את תכונת כתובת לקוח."
"We can't delete the customer address attribute right now.","איננו יכולים למחוק את התכונה של כתובת הלקוח ברגע זה."
"This attribute no longer exists.","התכונה כבר לא קיימת."
"You cannot edit this attribute.","לא ניתן לערוך תכונה זו."
"Edit Customer Address Attribute","ערוך תכונת כתובת לקוח"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"You saved the customer address attribute.","שמרת את תכונת כתובת לקוח."
"We can't save the customer address attribute right now.","איננו יכולים לשמור את התכונה של כתובת הלקוח ברגע זה."
"Manage Customer Attributes","ניהול תכונות לקוח"
"You deleted the customer attribute.","מחקת את תכונת הלקוח."
"The attribute no longer exists.","תכונה זו אינה קיימת יותר."
"Edit Customer Attribute","עריכת תכונת לקוח"
"You saved the customer attribute.","שמרת את תכונת הלקוח."
"We can't save the form type right now.","לא ניתן לשמור את הטופס ברגע זה."
"This system form type cannot be deleted.","לא ניתן למחוק את סוג טופס המערכת המבוקש."
"The form type has been deleted.","סוג הטופס נמחק."
"We can't delete the form type right now.","אנחנו לא יכולים למחוק את סוג הטופס ברגע ה."
