"Your shopping cart has been updated with new prices.","Το καλάθι των αγορών σας έχει ενημερωθεί με τις νέες τιμές."
"We cannot load the configuration from file %1.","Δεν μπορούμε να φορτώσουμε τις ρυθμίσεις από το αρχείο %1."
"Method ""%1"" is not defined in ""%2""","Η μέθοδος ""%1"" δεν έχει οριστεί στο ""%2"""
"&nbsp;","&nbsp;"
"Remember Me","Να με θυμάσαι"
"What's this?","Τι είναι αυτό;"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Τσεκάρετε &quot;Να με θυμάσαι&quot; για να έχετε πρόσβαση στο καλάθι σας ακόμα και αν δεν έχετε κάνει σύνδεση."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Τσεκάρετε 'Να με θυμάσαι' για να έχετε πρόσβαση στο καλάθι σας ακόμα και αν δεν έχετε κάνει σύνδεση."
"Welcome, %1!","Καλώς ήρθατε, %1!"
"Not you?","Όχι εσείς;"
"Persistent Shopping Cart","Επίμονο καλάθι αγορών"
"General Options","Γενικές Επιλογές"
"Enable Persistence","Ενεργοποίηση Επιμονής"
"Persistence Lifetime (seconds)","Διάρκεια Ζωής Επίμονων (δευτερόλεπτα)"
"Enable ""Remember Me""","Ενεργοποίηση ""Να με Θυμάσαι"""
"""Remember Me"" Default Value","«Να με Θυμάσαι» Προεπιλεγμένη Τιμή"
"Clear Persistence on Sign Out","Καθαρισμός Επίμονων στην Αποσύνδεση"
"Persist Shopping Cart","Επίμονο καλάθι αγορών"
