"Your shopping cart has been updated with new prices.","Teie ostukorvi hinnad on uuendatud vastavalt uutele hindadele."
"We cannot load the configuration from file %1.","We cannot load the configuration from file %1."
"Method ""%1"" is not defined in ""%2""","Meetod ""%1"" ei ole määratletud ""%2"" 's"
"&nbsp;","&nbsp;"
"Remember Me","Remember Me"
"What's this?","Mis see on?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in."
"Welcome, %1!","Teretulemast, %1!"
"Not you?","Mitte sina?"
"Persistent Shopping Cart","Persistent Shopping Cart"
"General Options","Üldvalikud"
"Enable Persistence","Enable Persistence"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Enable ""Remember Me""","Luba ""Jäta mind meelde"""
"""Remember Me"" Default Value","""Jäta mind meelde"" vaikeväärtust"
"Clear Persistence on Sign Out","Clear Persistence on Sign Out"
"Persist Shopping Cart","Persist Shopping Cart"
