"Your shopping cart has been updated with new prices.","Handlekurven har blitt oppdatert med nye priser."
"We cannot load the configuration from file %1.","Vi kan ikke laste konfigurasjonen fra filen %1."
"Method ""%1"" is not defined in ""%2""","Metode ""%1"" er ikke definert i ""%2"""
"&nbsp;","&nbsp;"
"Remember Me","Husk meg"
"What's this?","Hva er dette?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in."
"Welcome, %1!","Velkommen, %1!"
"Not you?","Ikke du?"
"Persistent Shopping Cart","Persistent Shopping Cart"
"General Options","Generelle alternativer"
"Enable Persistence","Enable Persistence"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Enable ""Remember Me""","Enable ""Remember Me"""
"""Remember Me"" Default Value","""Husk meg"" standardverdi"
"Clear Persistence on Sign Out","Clear Persistence on Sign Out"
"Persist Shopping Cart","Persist Shopping Cart"
