"Your shopping cart has been updated with new prices.","עגלת הקניות שלך התעדכנה במחירים החדשים."
"We cannot load the configuration from file %1.","אין לנו אפשרות לטעון את הקונפיגורציה של קובץ %1."
"Method ""%1"" is not defined in ""%2""","שיטת ""%1"" אינה מוגדרת ב- ""%2"""
"&nbsp;","&nbsp;"
"Remember Me","זכור אותי"
"What's this?","מה זה?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","סמן את &quot;זכור אותי&quot; כדי לגשת עגלת הקניות שלך במחשב זה, גם אם אינך מחובר."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","סמן את 'זכור אותי' כדי לגשת עגלת הקניות שלך במחשב זה, גם אם אתה לא מחובר."
"Welcome, %1!","ברוכים הבאים, %1!"
"Not you?","לא אתה?"
"Persistent Shopping Cart","עגלת הקניות תמידית"
"General Options","אפשרויות כלליות"
"Enable Persistence","לאפשר שימור נתונים"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Enable ""Remember Me""","אפשר ""זכור אותי"""
"""Remember Me"" Default Value","""Remember Me"" Default Value"
"Clear Persistence on Sign Out","התמדה ברורה על כניסה למערכת"
"Persist Shopping Cart","עגלת קניות תמידית"
