"Change Billing Address","Cambiar la dirección de facturación"
"Ship to Multiple Addresses","Envíos a múltiples direcciones"
"Billing Information - %1","Información de facturación - %1"
"Review Order - %1","Revisar pedido - %1"
"Total","Totals"
"Total for this address","Gesamtbetrag für diese Adresse"
"Shipping Methods","Métodos de envío"
"Edit Address","Editar dirección"
"Edit Billing Address","Modificar dirección de facturación"
"Edit Shipping Address","Modificar dirección de envío"
"Create Billing Address","Crear la dirección de facturación"
"Create Shipping Address","Crear la dirección de envío"
"Data saving problem","Problema de guardar los datos"
"We cannot open the overview page.","No podemos abrir la página de resumen."
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptieren Sie unsere Geschäftsbedingungen, bevor Sie Ihre Bestellung abschließen."
"Order place error","Error al realizar pedido"
"Maximum qty allowed for Shipping to multiple addresses is %1","Cantidad máxima permitida para envío a varias direcciones es %1"
"Please check shipping address information.","Bitte prüfen Sie die Versandanschrift."
"Please check billing address information.","Bitte prüfen Sie die Rechnungsanschrift."
"Please select shipping methods for all addresses.","Por favor seleccione métodos de envío para todas las direcciones."
"A payment method is not defined.","Método de pago no está definido."
"The requested payment method is not available for multishipping.","La forma de pago solicitada no está disponible para multienvio."
"Item not found or already ordered","Artikel nicht gefunden oder bereits bestellt."
"Please specify a payment method.","Por favor, especifique un método de pago."
"Please check shipping addresses information.","Bitte prüfen Sie die Versandanschriften."
"Please specify shipping methods for all addresses.","Bitte wählen Sie die Versandarten für alle Adressen."
"Some addresses cannot be used due to country-specific configurations.","Algunas direcciones no pueden utilizarse debido a configuraciones específicas de cada país."
"Select Addresses","Seleccione direcciones"
"Shipping Information","Información de envío"
"Billing Information","Información de facturación"
"Place Order","Realizar pedido"
"Order Success","Bestellung erfolgt"
"Default Billing","Facturación predeterminada"
"Default Shipping","Envío predetermindado"
"Select Address","Seleccionar dirección"
"Add New Address","Agregar nueva dirección"
"Back to Billing Information","Volver a información de facturación"
"Please select a shipping address for applicable items.","Por favor, seleccione una dirección de envío para los artículos aplicables."
"Product","Producto"
"Qty","Cantidad"
"Send To","Senden an"
"A shipping selection is not applicable.","Una selección de envío no es aplicable."
"Actions","Acciones"
"Remove Item","Eliminar elemento"
"Remove item","Quitar artículo"
"Go to Shipping Information","Ir a información del despacho"
"Update Qty &amp; Addresses","Stückzahlen und Adressen aktualisieren"
"Enter a New Address","Neue Adresse eingeben"
"Back to Shopping Cart","Volver al carro de compras"
"Billing Address","Dirección de facturación"
"Change","Cambio"
"Payment Method","Método de pago"
"Go to Review Your Order","Ir a revisar su pedido"
"Back to Shipping Information","Zurück zur Lieferadresse"
"Other items in your order","Otros artículos en su pedido"
"Edit Items","Artikel bearbeiten"
"Shipping is not applicable.","Envío no está disponible."
"Product Name","Nombre del producto"
"Check Out with Multiple Addresses","Finalizar compra con múltiples direcciones"
"Address %1 <span>of %2</span>","Dirección %1 <span>de %2</span>"
"Shipping To","Versenden an"
"Shipping Method","Método de envío"
"Incl. Tax","Impuestos incl."
"Excl. Tax","Impuestos NO Incl."
"Order Review","Revisión de la orden"
"Item","Articulo"
"Edit","Editar"
"Price","Precio"
"Subtotal","Subtotal"
"Items","Artículos"
"Grand Total:","Gesamtbetrag:"
"Submitting order information...","Enviando la información del pedido..."
"Sorry, no quotes are available for this order right now.","Lo sentimos, no hay cotizaciones disponibles para este pedido en este momento."
"Continue to Billing Information","Weiter zur Rechnungsadresse"
"Back to Select Addresses","Zurück zur Adressauswahl"
"Thank you for your purchase!","Gracias por su compra!"
"Thanks for your order. We'll email you order details and tracking information.","Gracias por su pedido. Te enviaremos por email detalles del pedido y la información de seguimiento."
"Your order numbers are: ","Los números de sus pedidos son: "
"Your order number is: ","Su número de pedido es: "
"Continue Shopping","Continuar comprando"
"We can't complete your order because you don't have a payment method set up.","Nosotros no podemos completar el pedido porque no tienes forma de pago establecida."
"Please choose a payment method.","Por favor, elija un método de pago."
"Multishipping Settings Section","Sección de configuración de multienvío"
"Multishipping Settings","Configuración de multienvíos"
"Options","Opciones"
"Allow Shipping to Multiple Addresses","Permitir envío a varias direcciones"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Cantidad máxima permitida para el envío a varias direcciones"
"Review Order","Revisar pedido"
"Select Shipping Method","Versandart auswählen"
"The order was not successful!","The order was not successful!"
"Ship to:","Enviar a:"
"Error:","Error:"
"We are unable to process your request. Please, try again later.","No podemos procesar su solicitud. Por favor, inténtelo de nuevo más tarde."
"Quote address for failed order ID %1"" not found.""","Quote address for failed order ID %1"" not found."""
"The current cart does not match multi shipping criteria, please review or contact the store administrator","The current cart does not match multi shipping criteria, please review or contact the store administrator"
