"Change Billing Address","تغییر آدرس صورتحساب"
"Ship to Multiple Addresses","ارسال به چندین آدرس"
"Billing Information - %1","اطلاعات صورتحساب - %1"
"Review Order - %1","بازبینی سفارش - %1"
"Total","مجموع"
"Total for this address","مجموع برای این آدرس"
"Shipping Methods","روش‌های ارسال"
"Edit Address","ویرایش آدرس"
"Edit Billing Address","ویرایش آدرس صورتحساب"
"Edit Shipping Address","ویرایش آدرس ارسال"
"Create Billing Address","ایجاد آدرس صورتحساب"
"Create Shipping Address","ایجاد آدرس ارسال"
"Data saving problem","مشکل ذخیره سازی داده"
"We cannot open the overview page.","ما نمی توانیم صفحه بررسی اجمالی را باز کنیم."
"Please agree to all Terms and Conditions before placing the order.","لطفا پیش از ثبت سفارش با همه‌ شرایط و ضوابط موافقت نمایید."
"Order place error","خطا در ثبت سفارش"
"Maximum qty allowed for Shipping to multiple addresses is %1","حداکثر تعداد مجاز برای حمل و نقل به چند آدرس %1 است"
"Please check shipping address information.","لطفا اطلاعات آدرس حمل و نقل را بررسي كنيد."
"Please check billing address information.","لطفا آدرس صورت حساب را بررسي كنيد."
"Please select shipping methods for all addresses.","لطفا روش‌های ارسال را برای همه‌ی آدرس‌ها را انتخاب نمایید."
"A payment method is not defined.","روش پرداخت تعریف نشده است."
"The requested payment method is not available for multishipping.","روش درخواست پرداخت برای multishipping در دسترس نمی باشد."
"Item not found or already ordered","آیتم یافت نشد یا پیش از این سفارش داده شده"
"Please specify a payment method.","لطفا یک روش پرداخت را مشخص کنید."
"Please check shipping addresses information.","لطفا اطلاعات آدرس هاي حمل و نقل را بررسي كنيد."
"Please specify shipping methods for all addresses.","لطفا روش‌های ارسال را برای همه‌ی آدرس‌ها انتخاب نمایید."
"Some addresses cannot be used due to country-specific configurations.","بعضی از آدرس ها نمی توانند به دلیل تنظیمات خاص کشور استفاده شوند."
"Quote address for failed order not found.","آدرس برآورد برای سفارش ناموفق یافت نشد."
"Exception for failed order not found.","استثنا برای سفارش ناموفق یافت نشد."
"Select Addresses","انتخاب آدرس‌ ها"
"Shipping Information","اطلاعات ارسال"
"Billing Information","اطلاعات صورت حساب"
"Place Order","ایجاد سفارش"
"Order Success","موفقیت سفارش"
"Order Results","نتايج سفارش"
"Default Billing","صورتحساب پیش فرض"
"Default Shipping","ارسال پیش فرض"
"Select Address","انتخاب آدرس"
"Add New Address","افزودن آدرس جدید"
"Back to Billing Information","بازگشت به اطلاعات صورتحساب"
"Please select a shipping address for applicable items.","لطفا یک آدرس ارسال برای موارد قابل اجرا انتخاب کنید."
"Product","محصول"
"Qty","تعداد"
"Send To","ارسال به"
"A shipping selection is not applicable.","انتخاب ارسال قابل اجرا نیست."
"Actions","کنش‌ها"
"Remove Item","برداشتن آیتم"
"Remove item","برداشتن آیتم"
"Go to Shipping Information","رفتن به اطلاعات ارسال"
"Update Qty &amp; Addresses","به روز رسانی تعداد و آدرس‌ ها"
"Enter a New Address","ثبت یک آدرس جدید"
"Back to Shopping Cart","بازگشت به سبد خرید"
"Loading...","در حال بار گذاری..."
"Billing Address","آدرس صورتحساب"
"Change","تغییر"
"Payment Method","روش پرداخت"
"Go to Review Your Order","رفتن به بازبینی سفارش شما"
"Back to Shipping Information","بازگشت به اطلاعات ارسال"
"Other items in your order","موارد دیگر در سفارش شما"
"Edit Items","ویرایش موارد"
"Shipping is not applicable.","ارسال قابل اجرا نیست."
"Product Name","نام محصول"
"Check Out with Multiple Addresses","وارسی با چندین آدرس"
"Please see","لطفا ببینید"
"details below","اطلاعات بیشتر در زیر"
"Address","آدرس"
"of","از"
"Shipping To","ارسال به"
"Shipping Method","روش ارسال"
"Incl. Tax","با مالیات"
"Excl. Tax","بدون مالیات"
"Order Review","بازبینی سفارش"
"Item","آیتم"
"Edit","ويرايش"
"Price","قيمت"
"Subtotal","جمع جز"
"Items","موارد"
"Grand Total:","جمع کل:"
"Submitting order information...","ارایه‌ی اطلاعات سفارش..."
"Not all items were included.","همه موارد شامل نشدند."
"For details, see","برای جزئیات، ببینید"
"Failed to Order","سفارش ناموفق"
"section below","بخش زیر"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","برای مواردی که با موفقیت سفارش داده شده، شما یک ایمیل تأیید شامل شماره سفارش، اطلاعات پیگیری و جزئیات بیشتر دریافت خواهید کرد."
"Successfully Ordered","سفارش با موفقیت ثبت شد"
"No shipping required.","بدون نیاز به ارسال."
"To purchase these items: Return to the","برای خرید این موارد: بازگشت به"
"Review page in Checkout","صفحه پرداخت را بازبینی کنید"
"resolve any errors, and place a new order.","هر خطایی را برطرف کنید و یک سفارش جدید ثبت کنید."
"Address %1 <span>of %2</span>","آدرس %1 <span> از %2 </span>"
"Sorry, no quotes are available for this order right now.","با عرض پوزش، در حال حاضر هیچ نظری برای این سفارش در دسترس نیست."
"Continue to Billing Information","ادامه اطلاعات صورتحساب"
"Back to Select Addresses","بازگشت به انتخاب آدرس‌ ها"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","برای مواردی که با موفقیت سفارش داده شده، شما یک ایمیل تأیید شامل شماره سفارش، اطلاعات پیگیری و جزئیات بیشتر دریافت خواهید کرد."
"Successfully ordered","سفارش با موفقیت ثبت شد"
"Continue Shopping","ادامه خرید"
"We can't complete your order because you don't have a payment method set up.","ما نمیتوانیم سفارش شما را کامل کنیم زیرا شما روش پرداختی را تنظیم نکردید."
"Please choose a payment method.","لطفا یک روش پرداخت انتخاب کنید."
"Multishipping Settings Section","بخش تنظیمات ارسال چندگانه"
"Multishipping Settings","تنظیمات ارسال چندگانه"
"Options","گزينه ها"
"Allow Shipping to Multiple Addresses","اجازه‌ ارسال به چندین آدرس"
"Maximum Qty Allowed for Shipping to Multiple Addresses","حداکثر تعداد مجاز ارسال به آدرس های مختلف"
"Review Order","بازبینی سفارش"
"We could only complete part of your order.","ما فقط می توانیم بخشی از سفارش شما را تکمیل کنیم."
"We were unable to complete your order.","ما نتوانستیم سفارش شما را تکمیل کنیم."
"Select Shipping Method","انتخاب روش ارسال"
"Thank you for your purchase!","از خرید شما سپاسگزاریم!"
"Thanks for your order. We'll email you order details and tracking information.","از سفارش شما متشکریم. ما به شما ایمیل سفارش، جزئیات و پیگیری اطلاعات را میفرستیم."
"Your order numbers are: ","شماره های سفارش عبارتند از: "
"Your order number is: ","شماره سفارش شما: "
"We received your order!","سفارش شما را دریافت کردیم!"
"We are unable to process your request. Please, try again later.","We are unable to process your request. Please, try again later."
"Ship to:","ارسال به:"
"Error:","خطا:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again."
"Verify the shipping address information and continue.","Verify the shipping address information and continue."
"Verify the billing address information and continue.","Verify the billing address information and continue."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Set shipping methods for all addresses. Verify the shipping methods and try again."
"A payment method isn't defined. Verify and try again.","A payment method isn't defined. Verify and try again."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","This payment method can't be used for shipping to multiple addresses. Change the payment method and try again."
"The item isn't found, or it's already ordered.","The item isn't found, or it's already ordered."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
