"Terms and Conditions","Termini e condizioni"
"Add New Condition","Aggiungi nuova condizione"
"Save Condition","Salva la condizione"
"Delete Condition","Elimina la condizione"
"Edit Terms and Conditions","Modifica i termini e le condizioni"
"New Terms and Conditions","Nuovi termini e condizioni"
"Terms and Conditions Information","Informazioni termini e condizioni"
"Condition Name","Nome della condizione"
"Status","Stato"
"Enabled","Abilitato"
"Disabled","Disabilitato"
"Show Content as","Visualizzare il contenuto come"
"Text","Testo"
"HTML","HTML"
"Applied","Applicato"
"Store View","Vista Negozio"
"Checkbox Text","Testo della checkbox"
"Content","Contenuto"
"Content Height (css)","Altezza contenuto (css)"
"Content Height","Altezza contenuto"
"ID","ID"
"Condition","Condizione"
"Sales","Vendite"
"Checkout Conditions","Condizioni di checkout"
"Checkout Terms and Conditions","Termini e condizioni del checkout"
"This condition no longer exists.","Questa condizione non esiste più."
"You deleted the condition.","Hai eliminato la condizione."
"Something went wrong  while deleting this condition.","Qualcosa è andato storto durante l'eliminazione di questa condizione."
"Edit Condition","Modifica condizione"
"New Condition","Nuova condizione"
"You saved the condition.","La condizione è stata salvata."
"Something went wrong while saving this condition.","Qualcosa è andato storto durante il salvataggio di questa condizione."
"Automatically","Automaticamente"
"Manually","Manualmente"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","Chiudi"
"Terms & Conditions","Termini e Condizioni"
"Enable Terms and Conditions","Abilita i termini e le condizioni"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
