"Close","Fermer"
"options","options"
"Select all","Tout sélectionner"
"Deselect all","Tout désélectionner"
"Cancel","Annuler"
"Done","Fait"
"Selected","Selected"
"We couldn't find any records.","Nous n'avons pu trouvé aucun enregistrement."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Afficher"
"per page","par page"
"Please Select","Veuillez sélectionner"
"%s of %s selected","%s de %s sélectionnés"
"Search by keyword","Recherche par mots clés"
"This is a required field.","C'est un champ obligatoire."
"B2B Features","Paramètres pour environnement BtoB"
