"Close","Затвори"
"options","опции"
"Select all","Избери всички"
"Deselect all","Откажи всички"
"Cancel","Отказ"
"Done","Готово"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","Моля изберете"
"%s of %s selected","%s от %s избрани"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","B2B функции"
