"Delete Current Hierarchy","Excluir a Hierarquia Actual"
"Copy","Copiar"
"Pages Hierarchy","Hierarquia de páginas"
"Page Properties","Propriedades da Página"
"Title","Título"
"URL Key","Chave URL"
"Preview","Pré-Visualizar"
"Preview is not available.","Pré-visualização não está disponível."
"Render Metadata in HTML Head.","Processa metadados no cabeçalho de HTML."
"First","Primeiro"
"Next/Previous","Seguinte/anterior"
"Enable Chapter/Section","Ativar Capítulo/Secção"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Ativar a funcionalidade de capítulo/secção para este nó, seus sub-nós e páginas"
"Chapter/Section","Capítulo/secção"
"Defines this node as Chapter/Section","Definir este nó como capítulo/seção"
"Pagination Options for Nested Pages","Pagination Options for Nested Pages"
"Enable Pagination","Ativar Paginação"
"Frame","Moldura"
"Set the number of links to display at one time.","Definir o número de ligações a serem mostrados em simultâneo."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value"
"Page Navigation Menu Options","Page Navigation Menu Options"
"Exclude from Navigation Menu","Excluir do Menu de Navegação"
"Show in navigation menu.","Show in navigation menu."
"Menu Layout","Menu Layout"
"Only Children","Apenas Crianças"
"Neighbours and Children","Neighbours and Children"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Profundidade Máxima"
"Node Levels to Include","Node Levels to Include"
"List Type","Tipo de Lista"
"List Style","List Style"
"Main Navigation Menu Options","Main Navigation Menu Options"
"Add selected page(s) to the tree","Adicionar a(s) página(s) seleccionada(s) à árvore"
"Remove from tree.","Remover da árvore."
"Cancel","Cancelar"
"Save","Gravar"
"Add Node...","Add Node..."
"Add to tree.","Adicionar à árvore."
"Update","Actualizar"
"Node Properties","Node Properties"
"Page ID","ID da Página"
"Manage Hierarchies","Gerir Hierarquias"
"Hierarchy","Hierarquia"
"Home","Início"
"Go to Home Page","Ir para Página Inicial"
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"Please correct the scope.","Please correct the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Algo correu mal ao excluír a hierarquia."
"CMS","CMS"
"CMS Page Trees","CMS Page Trees"
"You have saved the hierarchy.","Gravou a hierarquia."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Manage Pages","Gerir Páginas"
"Private","Privada"
"Protected","Protected"
"Public","Pública"
"Delete Multiple Hierarchies","Delete Multiple Hierarchies"
"Please correct the node data.","Please correct the node data."
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
"Tree Viewed","Tree Viewed"
"No","Não"
"Chapter","Chapter"
"Section","Section"
"Both","Both"
"Use default","Use default"
"Default","Pré-definido"
"Numbers (1, 2, 3, ...)","Numbers (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Lower Alpha (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Upper Alpha (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Lower Roman (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Upper Roman (I, II, III, ...)"
"Circle","Circle"
"Disc","Disc"
"Square","Square"
"Unordered","Unordered"
"Ordered","Encomendada"
"Use Parent","Use Parent"
"Yes","Sim"
"This page cannot be assigned to node, because a node or page with the same URL Key already exists in this tree part.","This page cannot be assigned to node, because a node or page with the same URL Key already exists in this tree part."
"Use the parent node hierarchy.","Use the parent node hierarchy."
"Are you sure you want to delete current hierarchy?","Are you sure you want to delete current hierarchy?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","This page cannot be added, because a node or page with the same URL Key already exists in this tree part."
"This URL key is already in use.","This URL key is already in use."
"CMS Pages","Páginas CMS"
"Please select a website or store view.","Please select a website or store view."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Are you sure you want to copy the current hierarchy to the selected destinations?"
"Are you sure you want to delete the selected hierarchies?","Are you sure you want to delete the selected hierarchies?"
"Delete","Eliminar"
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Root","Raiz"
"No nodes are available","No nodes are available"
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","CMS Hierarchy for"
"Anchor Custom Text","Texto Personalizado da Âncora"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Título Personalizado da Âncora"
"Node","Node"
"Not Selected","Não Selecionado"
"Select a page or node.","Select a page or node."
"Parent page","Parent page"
"Website Root","Website Root"
"Page:","Page:"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","Está de momento a ler a página"
"Next","Seguinte"
"Delete Revision and Version","Delete Revision and Version"
"Publish Revision","Publish Revision"
"Pages","Páginas"
"CMS Page Hierarchy","CMS Page Hierarchy"
"Enable Hierarchy Functionality","Enable Hierarchy Functionality"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Default Layout for Hierarchy Menu"
"CMS Hierarchy","CMS Hierarchy"
"CMS Hierarchy Node Link","CMS Hierarchy Node Link"
"Link to Specified CMS Hierarchy Node","Link to Specified CMS Hierarchy Node"
"Template","Modelo"
"CMS Page Link Block Template","Template de Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"All Store Views","Todas as Vistas de Loja"
