"Delete Current Hierarchy","מחיקת את ההיררכייה הנוכחית"
"Copy","העתקה"
"Pages Hierarchy","דפי היררכיה"
"Page Properties","מאפייני עמוד"
"Title","כותרת"
"URL Key","מזהה כתובת"
"Preview","תצוגה מקדימה"
"Preview is not available.","תצוגה מקדימה אינה זמינה."
"Render Metadata in HTML Head.","רינדור מטא-נתונים בראש ה-HTML."
"First","ראשון"
"Next/Previous","הבא/הקודם"
"Enable Chapter/Section","לאפשר פרק/סעיף"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","מאפשר פונקציונליות פרק/מקטע עבור מקושר זו, מקושרי משנה ודפים"
"Chapter/Section","פרק/סעיף"
"Defines this node as Chapter/Section","הגדרת קישור זה בפרק/סעיף"
"Pagination Options for Nested Pages","אפשרויות חלוקה לעמודים עבור דפים פנימיים"
"Enable Pagination","לאפשר חלוקה לעמודים"
"Frame","מסגרת"
"Set the number of links to display at one time.","להגדיר את מספר הקישורים שיוצגו בעת ובעונה אחת."
"Frame Skip","דלג על מסגרת"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","אם המיקום הפריים הנוכחי אינו מכסה את מרבית הדפים, הקישור יעביר למיקום הנוכחי סימני חיבור/חיסור ערך זה"
"Page Navigation Menu Options","עמוד אפשרויות בתפריט ניווט"
"Exclude from Navigation Menu","אל תכלול בתפריט הניווט"
"Show in navigation menu.","הצג בתפריט הניווט."
"Menu Layout","סידור תפריט"
"Only Children","רק ילדים"
"Neighbours and Children","שכנים וילדים"
"Menu Detalization","פירוט תפריט"
"Maximal Depth","עומק מקסימלי"
"Node Levels to Include","לכלול רמות קישור"
"List Type","סוג רשימה"
"List Style","סגנון רשימה"
"Main Navigation Menu Options","אפשרויות תפריט הניווט הראשי"
"Add selected page(s) to the tree","להוסיף את העמודים הנבחרים לעץ"
"Remove from tree.","הסר מן העץ."
"Cancel","ביטול"
"Save","שמור"
"Add Node...","הוסף קישור..."
"Add to tree.","הוסף לעץ."
"Update","עדכן"
"Node Properties","מאפייני קישור"
"Page ID","מזהה עמוד"
"Manage Hierarchies","ניהול היררכיות"
"Hierarchy","היררכיה"
"Home","דף הבית"
"Go to Home Page","מעבר לעמוד הבית"
"You copied the pages hierarchy to the selected scopes.","אתה העתקת את עמודי ההיררכיה בטווח שנבחר."
"Something went wrong while copying the hierarchy.","משהו השתבש במהלך העתקת ההיררכיה."
"Please correct the scope.","נא תקן את הטווח."
"You deleted the pages hierarchy from the selected scopes.","אתה מחקת את טווח עמודי ההיררכיה שנבחרו."
"Something went wrong while deleting the hierarchy.","משהו השתבש בעת מחיקת ההיררכיה."
"CMS","CMS"
"CMS Page Trees","עצים לעמודי CMS"
"You have saved the hierarchy.","שמרת את ההיררכיה."
"Something went wrong while saving the hierarchy.","משהו השתבש במהלך העתקת ההיררכיה."
"Manage Pages","ניהול עמודים"
"Private","פרטי"
"Protected","מוגן"
"Public","ציבורי"
"Delete Multiple Hierarchies","מחיקת היררכיות מרובים"
"Please correct the node data.","נא תקן את הנתונים בקשר."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
"Tree Viewed","עץ שנצפה"
"No","לא"
"Chapter","פרק"
"Section","איזור"
"Both","שניהם"
"Use default","השתמש בברירת המחדל"
"Default","ברירת מחדל"
"Numbers (1, 2, 3, ...)","מספרים (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","להוריד את האלפבית (a, b, c,...)"
"Upper Alpha (A, B, C, ...)","אלפבית עליון (A, B, C,...)"
"Lower Roman (i, ii, iii, ...)","להוריד את כתב רומאי(i, ii, iii,...)"
"Upper Roman (I, II, III, ...)","כתב רומאי העליון (I, II, III,...)"
"Circle","עיגול"
"Disc","דיסק"
"Square","ריבוע"
"Unordered","לא מסודר"
"Ordered","הוזמן"
"Use Parent","השתמש כ-אב"
"Yes","כן"
"Use the parent node hierarchy.","להשתמש בהיררכיית קשר האב."
"Are you sure you want to delete current hierarchy?","האם אתה בטוח שברצונך למחוק את ההיררכיה הנוכחית?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","אין אפשרות להוסיף עמוד זה, מכיוון קשר או עמוד עם מפתח URL זהה כבר קיים בחלק זה בעץ."
"This URL key is already in use.","מפתח URL זה נמצא כבר בשימוש."
"CMS Pages","עמודי CMS"
"Please select a website or store view.","נא בחר אתר אינטרנט או חנות תצוגה."
"Are you sure you want to copy the current hierarchy to the selected destinations?","האם אתה בטוח שברצונך להעתיק את ההיררכיה הנוכחית אל היעדים שנבחרו?"
"Are you sure you want to delete the selected hierarchies?","האם אתה בטוח שברצונך למחוק ההיררכיות שנבחרו?"
"Delete","מחק"
"Please select one or more hierarchies to delete.","נא בחר היררכיה אחד או יותר כדי למחוק."
"Please assign the current hierarchy to one or more destinations.","נא הקצה את ההיררכיה הנוכחית ליעדים אחד או יותר."
"Root","שורש"
"No nodes are available","אין קשר זמינים"
"Single Hierarchy for All Store Views","היררכיית יחידה עבור כל חנות צפיות"
"Specific Hierarchy for Each Store View","ההיררכיה ספציפית עבור כל תצוגה בחנות"
"CMS Hierarchy for","היררככית CMS עבור"
"Anchor Custom Text","קישור טקסט מותאם אישית"
"If this value is empty, the node or page name will be used.","אם ערך זה ריק, ישמש את שם קשר או דף."
"Anchor Custom Title","קישור כותרת מותאם אישית"
"Node","קשר"
"Not Selected","לא נבחר"
"Select a page or node.","בחר עמוד או קשר."
"Parent page","עמוד אב"
"Website Root","בסיס האתר"
"Page:","דף:"
"Page","עמוד"
"Previous","הקודם"
"You're currently reading page","You're currently reading page"
"Next","הבא"
"Delete Revision and Version","מחק את הגירסה והמהדורה"
"Publish Revision","לפרסם מהדורה"
"Pages","דפים"
