"Delete Current Hierarchy","Διαγράψτε την τρέχουσα ιεραρχία"
"Copy","Αντιγραφή"
"Pages Hierarchy","Ιεραρχία Σελίδων"
"Page Properties","Ιδιότητες σελίδας"
"Title","Τίτλος"
"URL Key","URL κλειδί"
"Preview","Προεπισκόπηση"
"Preview is not available.","Η προεπισκόπηση δεν είναι διαθέσιμη."
"Render Metadata in HTML Head.","Απόδοση Μετα-Δεδομένων στην Κεφαλίδα HTML."
"First","Πρώτη"
"Next/Previous","Επόμενο/Προηγούμενο"
"Enable Chapter/Section","Ενεργοποίηση Κεφάλαιου/Ενότητας"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Επιτρέπει τη λειτουργία Κεφαλαίων/Τμημάτων για αυτόν τον κόμβο, τους υπο-κόμβους και τις σελίδες"
"Chapter/Section","Κεφάλαιο/Ενότητα"
"Defines this node as Chapter/Section","Ορίζει αυτόν τον κόμβο ως κεφάλαιο/ενότητα"
"Pagination Options for Nested Pages","Επιλογές σελιδοποίησης για ένθετες σελίδες"
"Enable Pagination","Ενεργοποιήσετε τη σελιδοποίηση"
"Frame","Πλαίσιο"
"Set the number of links to display at one time.","Ορίστε τον αριθμό των συνδέσμων για προβολή την ίδια στιγμή."
"Frame Skip","Παράληψη πλαισίου"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Εάν η τρέχουσα θέση του πλαισίου δεν καλύπτει τις περισσότερες σελίδες, θα καταστήσει το σύνδεσμο με την τρέχουσα θέση συν/πλην αυτήν την τιμή"
"Page Navigation Menu Options","Επιλογές Μενού Πλοήγησης Σελίδας"
"Exclude from Navigation Menu","Εξαιρέση από το Μενού Πλοήγησης"
"Show in navigation menu.","Εμφάνιση στο μενού περιήγησης."
"Menu Layout","Διάταξη του μενού"
"Only Children","Μόνο παιδιά"
"Neighbours and Children","Γείτονες και παιδιά"
"Menu Detalization","Μενού Detalization"
"Maximal Depth","Μέγιστο βάθος"
"Node Levels to Include","Επίπεδα Κόμβου για να Περιληφθούν"
"List Type","Τύπος Λίστας"
"List Style","Στυλ Λίστας"
"Main Navigation Menu Options","Επιλογές Μενού Κύριας Πλοήγησης"
"Add selected page(s) to the tree","Προσθήκη επιλεγμένων σελίδων στο δέντρο"
"Remove from tree.","Αφαιρέστε από το δέντρο."
"Cancel","Άκυρο"
"Save","Αποθήκευση"
"Add Node...","Προσθήκη κόμβου..."
"Add to tree.","Προσθήκη στο δέντρο."
"Update","Ενημέρωση"
"Node Properties","Ιδιότητες Κόμβου"
"Page ID","ID Σελίδας"
"Manage Hierarchies","Διαχειριστείτε Ιεραρχίες"
"Hierarchy","Ιεραρχία"
"Home","Αρχική"
"Go to Home Page","Μετάβαση στην Αρχική Σελίδα"
"You copied the pages hierarchy to the selected scopes.","Αντιγράψατε την ιεραρχία σελίδων για να τα επιλεγμένα πεδία."
"Something went wrong while copying the hierarchy.","Κάτι πήγε στραβά κατά την αντιγραφή της ιεραρχίας."
"Please correct the scope.","Παρακαλώ διορθώστε το πεδίο εφαρμογής."
"You deleted the pages hierarchy from the selected scopes.","Διαγράψατε την ιεραρχία σελίδες από τα επιλεγμένα πεδία."
"Something went wrong while deleting the hierarchy.","Κάτι πήγε στραβά κατά τη διαγραφή της ιεραρχίας."
"CMS","CMS"
"CMS Page Trees","Δέντρα Σελίδων CMS"
"You have saved the hierarchy.","Έχετε αποθηκεύσει την ιεραρχία."
"Something went wrong while saving the hierarchy.","Κάτι πήγε στραβά κατά την αποθήκευση της ιεραρχίας."
"Manage Pages","Διαχείριση Σελίδων"
"Private","Ιδιωτικό"
"Protected","Προστατευόμενο"
"Public","Δημόσιο"
"Delete Multiple Hierarchies","Διαγράψετε Πολλαπλές Ιεραρχίες"
"Please correct the node data.","Παρακαλώ διορθώστε τα στοιχεία του κόμβου."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
"Tree Viewed","Δέντρο Προβλήθηκε"
"No","Όχι"
"Chapter","Κεφάλαιο"
"Section","Τομέας"
"Both","Και τα δύο"
"Use default","Χρήση προεπιλογής"
"Default","Προεπιλογή"
"Numbers (1, 2, 3, ...)","Αριθμοί (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Πεζά Γράμματα (α, β, γ,...)"
"Upper Alpha (A, B, C, ...)","Κεφαλαία Γράμματα (Α, Β, Γ,...)"
"Lower Roman (i, ii, iii, ...)","Πεζοί Ρωμαϊκοί (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Κεφαλαίοι Ρωμαϊκοί (I, II, III,...)"
"Circle","Κύκλος"
"Disc","Δίσκος"
"Square","Τετράγωνο"
"Unordered","Χωρίς Διάταξη"
"Ordered","Παραγγέλθηκαν"
"Use Parent","Χρήση Γονικού"
"Yes","Ναί"
"Use the parent node hierarchy.","Χρησιμοποιήστε τη γονική ιεραρχία κόμβου."
"Are you sure you want to delete current hierarchy?","Είστε βέβαιοι ότι θέλετε να διαγράψετε την τρέχουσα ιεραρχία;"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Αυτή η σελίδα δεν μπορεί να προστεθεί, επειδή μια σελίδα με το ίδιο URL κλειδί κόμβου υπάρχει ήδη σε αυτό το μέρος δέντρου."
"This URL key is already in use.","Αυτό το κλειδί URL είναι ήδη σε χρήση."
"CMS Pages","CMS σελίδες"
"Please select a website or store view.","Παρακαλώ επιλέξτε μια ιστοσελίδα ή προβολή καταστήματος."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Είστε βέβαιοι ότι θέλετε να αντιγράψετε την τρέχουσα ιεραρχία στους επιλεγμένους προορισμούς;"
"Are you sure you want to delete the selected hierarchies?","Είστε βέβαιοι ότι θέλετε να διαγράψετε τις επιλεγμένες ιεραρχίες;"
"Delete","Διαγραφή"
"Please select one or more hierarchies to delete.","Παρακαλώ επιλέξτε μία ή περισσότερες ιεραρχίες για να διαγράψετε."
"Please assign the current hierarchy to one or more destinations.","Παρακαλώ αντιστοιχίστε την τρέχουσα ιεραρχία σε έναν ή περισσότερους προορισμούς."
"Root","Ρίζα"
"No nodes are available","Δεν υπάρχουν διαθέσιμοι κόμβοι"
"Single Hierarchy for All Store Views","Ενιαία ιεραρχία για Όλες Προβολές Καταστήματος"
"Specific Hierarchy for Each Store View","Συγκεκριμένη ιεραρχία για κάθε προβολή καταστήματος"
"CMS Hierarchy for","Ιεραρχία CMS για"
"Anchor Custom Text","Προσαρμοσμένος Τίτλος Σημείου Αγκύρωσης"
"If this value is empty, the node or page name will be used.","Εάν αυτή η τιμή είναι κενή, θα χρησιμοποιηθεί το όνομα του κόμβου ή της σελίδας."
"Anchor Custom Title","Προσαρμοσμένος Τίτλος Σημείου Αγκύρωσης"
"Node","Κόμβος"
"Not Selected","Δεν είναι επιλεγμένο"
"Select a page or node.","Επιλέξτε μια σελίδα ή κόμβο."
"Parent page","Γονική σελίδα"
"Website Root","Ρίζα Τοποθεσίας Web"
"Page:","Σελίδα:"
"Page","Σελίδα"
"Previous","Προηγούμενο"
"You're currently reading page","Διαβάζετε αυτή τη στιγμή τη σελίδα"
"Next","Επόμενο"
"Delete Revision and Version","Διαγράψετε αναθεώρηση και έκδοση"
"Publish Revision","Δημοσίευση Αναθεώρησης"
"Pages","Σελίδες"
"CMS Page Hierarchy","Ιεραρχία Σελίδας CMS"
"Enable Hierarchy Functionality","Ενεργοποιήσετε τη λειτουργία ιεραρχίας"
"Enable Hierarchy Metadata","Ενεργοποίηση ιεραρχίας μεταδεδομένων"
"Default Layout for Hierarchy Menu","Προεπιλεγμένη διάταξη για ιεραρχία μενού"
"CMS Hierarchy","Ιεραρχία CMS"
"CMS Hierarchy Node Link","Σύνδεσμος Κόμβου Ιεραρχίας CMS"
"Link to Specified CMS Hierarchy Node","Σύνδεσμος με καθορισμένη Ιεραρχία κόμβου CMS"
"Template","Πρότυπο"
"CMS Page Link Block Template","Πρότυπο Σύνδεσμου Σελίδας CMS μπλοκ"
"CMS Page Link Inline Template","Εσωτερικό Πρότυπο CMS Συνδέσμου Σελίδας"
"All Store Views","Όλες οι Προβολές Καταστήματος"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Owner"
"Access Level","Access Level"
"Quantity","Quantity"
"Created","Created"
"Versions","Versions"
"Are you sure?","Are you sure?"
"N/A","N/A"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","Publish"
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Author"
"Edit Page","Edit Page"
"New Page","New Page"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Published"
"[No Owner]","[No Owner]"
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Some error"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Choose Revision","Choose Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Choose Store View:"
"Revision #","Revision #"
"New Revision","New Revision"
"Author:","Author:"
"Created:","Created:"
"Version:","Version:"
"This Page Belongs To","This Page Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","Ο CMS κόμβος με ID ""%1"" δεν υπάρχει."
