"Delete Current Hierarchy","حذف التسلسل الهرمي الحالي"
"Copy","انسخ"
"Pages Hierarchy","التسلسل الهرمي للصفحات"
"Page Properties","خصائص الصفحة"
"Title","العنوان"
"URL Key","مفتاح URL"
"Preview","اعادة المشاهدة"
"Preview is not available.","المعاينة غير متوفرة."
"Render Metadata in HTML Head.","تقديم بيانات التعريف في رأس HTML."
"First","أول"
"Next/Previous","التالي/السابق"
"Enable Chapter/Section","تمكين الفصل/الباب"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","تمكن وظيفة الفصل/الباب لهذه العقدة والعقد الفرعية والصفحات"
"Chapter/Section","الفصل/الباب"
"Defines this node as Chapter/Section","تعريف هذه العقدة كقسم/باب"
"Pagination Options for Nested Pages","خيارات الحدود الفاصلة للصفحات الصفحات المتداخلة"
"Enable Pagination","تمكين الحدود الفاصلة للصفحات"
"Frame","الإطار"
"Set the number of links to display at one time.","تحديد العدد من الروابط لعرضها في وقت واحد."
"Frame Skip","تخطي الإطار"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","إذا كان ""موضع الإطار الحالي"" لا يغطي ""صفحات قصوى""، ستجعل وصلة إلى ""الموضع الحالي"" علامة زائد/ناقص هذه القيمة"
"Page Navigation Menu Options","صفحة تصفح خيارات القائمة"
"Exclude from Navigation Menu","استبعاد من قائمة التنقل"
"Show in navigation menu.","إظهار في قائمة التنقل."
"Menu Layout","تخطيط القائمة"
"Only Children","الأطفال فقط"
"Neighbours and Children","الجيران والأطفال"
"Menu Detalization","تفاصيل القائمة"
"Maximal Depth","أقصى عمق"
"Node Levels to Include","مستويات العقدة تشمل"
"List Type","نوع القائمة"
"List Style","نمط القائمة"
"Main Navigation Menu Options","خيارات قائمة التنقل الرئيسية"
"Add selected page(s) to the tree","إضافة الصفحات المحددة إلى الشجرة"
"Remove from tree.","إزالة من الشجرة."
"Cancel","إلغاء"
"Save","حفظ"
"Add Node...","إضافة عقده..."
"Add to tree.","إضافة إلى شجرة."
"Update","تحديث"
"Node Properties","خصائص العقده"
"Page ID","معرف الصفحة"
"Manage Hierarchies","إدارة التسلسل الهرمي"
"Hierarchy","التسلسل الهرمي"
"Home","الصفحة الرئيسية"
"Go to Home Page","الانتقال إلى الصفحة الرئيسية"
"You copied the pages hierarchy to the selected scopes.","قمت بنسخ صفحات التسلسل الهرمي للنطاقات المحددة."
"Something went wrong while copying the hierarchy.","حدث خطأ أثناء نسخ التسلسل الهرمي."
"Please correct the scope.","الرجاء تصحيح النطاق."
"You deleted the pages hierarchy from the selected scopes.","لقد حذفت التسلسل الهرمي لصفحات من النطاقات المحددة."
"Something went wrong while deleting the hierarchy.","حدث خطأ أثناء حذف التسلسل الهرمي."
"CMS","نظام ادارة المحتوى"
"CMS Page Trees","CMS Page Trees"
"You have saved the hierarchy.","قمت بحفظ التسلسل الهرمي."
"Something went wrong while saving the hierarchy.","حدث خطأ أثناء حفظ التسلسل الهرمي."
"Manage Pages","إدارة الصفحات"
"Private","خاص"
"Protected","محمية"
"Public","عام"
"Delete Multiple Hierarchies","حذف التسلسلات الهرمية المتعددة"
"Please correct the node data.","الرجاء تصحيح بيانات العقدة."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
"Tree Viewed","Tree Viewed"
"No","لا"
"Chapter","الفصل"
"Section","القسم"
"Both","كلاهما"
"Use default","استخدام افتراضي"
"Default","الافتراضي"
"Numbers (1, 2, 3, ...)","أرقام (1، 2، 3،...)"
"Lower Alpha (a, b, c, ...)","Lower Alpha (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Upper Alpha (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Lower Roman (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Upper Roman (I, II, III, ...)"
"Circle","دائرة"
"Disc","قرص"
"Square","مربع"
"Unordered","غير مرتبة"
"Ordered","تم الطلب"
"Use Parent","استخدام الأصل"
"Yes","نعم"
"Use the parent node hierarchy.","استخدام التسلسل الهرمي للعقدة الأصل."
"Are you sure you want to delete current hierarchy?","هل أنت متأكد من أنك تريد حذف التسلسل الهرمي الحالي؟"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","لا يمكن إضافة هذه الصفحة، لأن عقده أو الصفحة بنفس ""عنوان URL المفتاح"" موجود مسبقاً في هذا الجزء من الشجرة."
"This URL key is already in use.","هذا مفتاح URL مسبقاً قيد الاستخدام."
"CMS Pages","صفحات نظام إدارة المحتوى"
"Please select a website or store view.","الرجاء اختيار الموقع أو المتجر."
"Are you sure you want to copy the current hierarchy to the selected destinations?","هل أنت متأكد من أنك تريد نسخ التسلسل الهرمي الحالي إلى الوجهات المحددة؟"
"Are you sure you want to delete the selected hierarchies?","هل أنت متأكد من أنك تريد حذف التسلسلات الهرمية المحدد؟"
"Delete","احذف"
"Please select one or more hierarchies to delete.","الرجاء تحديد تسلسل هرمي واحد أو أكثر للحذف."
"Please assign the current hierarchy to one or more destinations.","الرجاء تعيين التسلسل الهرمي الحالي إلى وجهة واحدة أو أكثر."
"Root","الجذر"
"No nodes are available","عقد البيانات غير متوفرة"
"Single Hierarchy for All Store Views","تسلسل هرمي واحد لكافة المتاجر"
"Specific Hierarchy for Each Store View","تسلسل هرمي محدد لكل متجر"
"CMS Hierarchy for","نظام إدارة المحتوى التسلسل الهرمي ل"
"Anchor Custom Text","نص مرساة مخصص"
"If this value is empty, the node or page name will be used.","إذا كانت هذه القيمة فارغة، سيتم استخدام اسم العقدة أو صفحة."
"Anchor Custom Title","عنوان مرساة مخصص"
"Node","عقده"
"Not Selected","غير محدد"
"Select a page or node.","حدد الصفحة أو العقدة."
"Parent page","الصفحة الأصلية"
"Website Root","موقع ويب الجذر"
"Page:","صفحة:"
"Page","حقيبة"
"Previous","السابق"
"You're currently reading page","حاليا انت تقرأ الصفحة"
"Next","التالي"
"Delete Revision and Version","حذف تنقيح وإصدار"
"Publish Revision","نشر المراجعة"
"Pages","الصفحات"
"CMS Page Hierarchy","التسلسل الهرمي لصفحة نظام ادارة المحتوى"
"Enable Hierarchy Functionality","تمكين وظيفة التسلسل الهرمي"
"Enable Hierarchy Metadata","تمكين التسلسل الهرمي للبيانات الوصفية"
"Default Layout for Hierarchy Menu","طريقة العرض الافتراضية لقائمة التسلسل الهرمي"
"CMS Hierarchy","التسلسل الهرمي لنظام إدارة المحتوى"
"CMS Hierarchy Node Link","التسلسل الهرمي لنظام إدارة المحتوى عقده الارتباط"
"Link to Specified CMS Hierarchy Node","Link to Specified CMS Hierarchy Node"
"Template","قالب"
"CMS Page Link Block Template","رابط لصفحة قالب نظام إدارة المحتوى"
"CMS Page Link Inline Template","رابط قالب مضمن لصفحة نظام إدارة المحتوى"
"All Store Views","واجهه جميع المواقع"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Owner"
"Access Level","Access Level"
"Quantity","Quantity"
"Created","Created"
"Versions","Versions"
"Are you sure?","Are you sure?"
"N/A","N/A"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","Publish"
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Author"
"Edit Page","Edit Page"
"New Page","New Page"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Published"
"[No Owner]","[No Owner]"
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Some error"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Choose Revision","Choose Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Choose Store View:"
"Revision #","Revision #"
"New Revision","New Revision"
"Author:","Author:"
"Created:","Created:"
"Version:","Version:"
"This Page Belongs To","This Page Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
