"Delete Current Hierarchy","Geçerli hiyerarşiyi sil"
"Copy","Kopyala"
"Pages Hierarchy","Sayfalar Hiyerarşisi"
"Page Properties","Sayfa Özellikleri"
"Title","Başlık"
"URL Key","Adres Anahtar Kelimesi"
"Preview","Ön İzleme"
"Preview is not available.","Önizleme bulunmamaktadır."
"Render Metadata in HTML Head.","Meta Verileri HTML başında Oluşturun."
"First","İlk"
"Next/Previous","Önceki/sonraki"
"Enable Chapter/Section","Bölüm / Bölüm Etkinleştir"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Bu düğüm, alt düğümleri ve sayfaları için Bölüm / Bölüm işlevselliğini etkinleştirir"
"Chapter/Section","Bölüm/kısım"
"Defines this node as Chapter/Section","Bu düğümü Bölüm / Bölüm olarak tanımlar"
"Pagination Options for Nested Pages","İç içe Sayfalar için Sayfalandırma Seçenekleri"
"Enable Pagination","Sayfalandırmayı Etkinleştir"
"Frame","Çerçeve"
"Set the number of links to display at one time.","Bir seferde görüntülenecek bağlantı sayısını ayarlayın."
"Frame Skip","Çerçeve atla"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Eğer Çerçeve konumu azami sayfa göstermek için yeterli değilse bu değeri art veya eksi yönde değiştirebilirsiniz"
"Page Navigation Menu Options","Sayfa Gezinme Menüsü Seçenekleri"
"Exclude from Navigation Menu","Gezinme Menüsü'nden hariç tutun"
"Show in navigation menu.","Gezinme menüsünü göster."
"Menu Layout","Menü Düzeni"
"Only Children","Sadece Çocuklar"
"Neighbours and Children","Komşulae ve çocuklar"
"Menu Detalization","Menü Detalizasyonu"
"Maximal Depth","En yüksek Derinlik"
"Node Levels to Include","Eklenecek Düğüm Düzeyleri"
"List Type","Liste Türü"
"List Style","Liste stili"
"Main Navigation Menu Options","Ana Gezinti Menüsü Seçenekleri"
"Add selected page(s) to the tree","Seçilen sayfayı ( ya da sayfaları) ağaca ekle"
"Remove from tree.","Ağaçtan kaldır."
"Cancel","İptal"
"Save","Kaydet"
"Add Node...","Düğüm Ekle..."
"Add to tree.","Ağaca ekle."
"Update","Güncelle"
"Node Properties","Düğüm Özellikleri"
"Page ID","Sayfa İSMİ"
"Manage Hierarchies","Hiyerarşileri Yönet"
"Hierarchy","Hiyerarşi"
"Home","Ana Sayfa"
"Go to Home Page","Ana Sayfasına Gidin"
"You copied the pages hierarchy to the selected scopes.","Sayfalar hiyerarşisini seçilen kapsamlara kopyaladınız."
"Something went wrong while copying the hierarchy.","Hiyerarşiyi kopyalarken bir şeyler ters gitti."
"Please correct the scope.","Lütfen kapsamı düzeltin."
"You deleted the pages hierarchy from the selected scopes.","Seçili kapsamlardan sayfalar hiyerarşisini sildiniz."
"Something went wrong while deleting the hierarchy.","Hiyerarşiyi silerken bir şeyler ters gitti."
"CMS","İçerik Yönetimi (CMS)"
"CMS Page Trees","CMS Sayfa Ağaçları"
"You have saved the hierarchy.","Hiyerarşiyi kaydettiniz."
"Something went wrong while saving the hierarchy.","Hiyerarşiyi kaydederken bir şeyler ters gitti."
"Manage Pages","Sayfaları Yönet"
"Private","Özel"
"Protected","Korumalı"
"Public","Kamu"
"Delete Multiple Hierarchies","Birden çok hiyerarşileri siliniz"
"Please correct the node data.","Lütfen düğüm verilerini düzeltin."
"CMS Node with id ""%1"" does not exist.","""%1"" kimliğine sahip CMS Düğümü mevcut değil."
