"Delete Current Hierarchy","Eliminar la jerarquía actual"
"Copy","Copiar"
"Pages Hierarchy","Jerarquía de páginas"
"Page Properties","Propiedades de la página"
"Title","Título"
"URL Key","Clave URL"
"Preview","Vista previa"
"Preview is not available.","Vista previa no está disponible."
"Render Metadata in HTML Head.","Procesar los metadatos en la cabecera del HTML."
"First","Primero 	"
"Next/Previous","Siguiente/Anterior"
"Enable Chapter/Section","Activar Capítulo/Sección"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Permite la funcionalidad de capítulo/sección para este nodo, subnodos y páginas"
"Chapter/Section","Capítulo/Sección"
"Defines this node as Chapter/Section","Define este nodo como Capítulo/Sección"
"Pagination Options for Nested Pages","Opciones de paginación de páginas anidadas"
"Enable Pagination","Habilitar paginación"
"Frame","Marco"
"Set the number of links to display at one time.","Establecer el número de enlaces a mostrar a la vez."
"Frame Skip","Salto de frame"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Si la posición actual del marco no cubre la mayoría de las páginas, se procesará un enlace a la posición actual más/menos este valor"
"Page Navigation Menu Options","Opciones de menú de navegación de página"
"Exclude from Navigation Menu","Excluir del menú de navegación"
"Show in navigation menu.","Mostrar en el menú de navegación."
"Menu Layout","Diseño de menú"
"Only Children","Sólo hijos"
"Neighbours and Children","Vecinos e hijos"
"Menu Detalization","Menú detalles"
"Maximal Depth","Profundidad máxima"
"Node Levels to Include","Niveles de nodos a incluir"
"List Type","Tipo de lista"
"List Style","Estilo de lista"
"Main Navigation Menu Options","Opciones de menú de navegación principal"
"Add selected page(s) to the tree","Añade página(s) seleccionada(s) a el árbol"
"Remove from tree.","Quitar del árbol."
"Cancel","Cancelar"
"Save","Guardar"
"Add Node...","Añadir nodo..."
"Add to tree.","Agregar al árbol."
"Update","Actualizar"
"Node Properties","Propiedades del nodo"
"Page ID","ID de página"
"Manage Hierarchies","Administrar las jerarquías"
"Hierarchy","Jerarquía"
"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"You copied the pages hierarchy to the selected scopes.","Has copiado la jerarquía de las páginas en los alcances seleccionados."
"Something went wrong while copying the hierarchy.","Algo salió mal al copiar la jerarquía."
"Please correct the scope.","Por favor, corrige el ámbito."
"You deleted the pages hierarchy from the selected scopes.","Has eliminado la jerarquía de páginas de los ámbitos seleccionados."
"Something went wrong while deleting the hierarchy.","Algo salió mal al eliminar la jerarquía."
"CMS","CMS"
"CMS Page Trees","Árboles de páginas CMS"
"You have saved the hierarchy.","Has guardado la jerarquía."
"Something went wrong while saving the hierarchy.","Algo salió mal al guardar la jerarquía."
"Manage Pages","Administrar páginas"
"Private","Privado"
"Protected","Protegido"
"Public","Público"
"Delete Multiple Hierarchies","Eliminar múltiples jerarquías"
