"Delete Current Hierarchy","Eliminare la gerarchia corrente"
"Copy","Copia"
"Pages Hierarchy","Gerarchia pagine"
"Page Properties","Proprietà pagina"
"Title","Titolo"
"URL Key","Chiave URL"
"Preview","Anteprima"
"Preview is not available.","Anteprima non disponibile."
"Render Metadata in HTML Head.","Rendering dei metadati in HTML Head."
"First","Primo"
"Next/Previous","Successivo/precedente"
"Enable Chapter/Section","Abilita il capitolo/sezione"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Abilita la funzionalità di capitolo/sezione per questo nodo, i nodi secondari e le pagine"
"Chapter/Section","Capitolo/sezione"
"Defines this node as Chapter/Section","Definisci questo nodo come capitolo/sezione"
"Pagination Options for Nested Pages","Opzioni paginazione per le pagine nidificate"
"Enable Pagination","Abilita paginazione"
"Frame","Frame"
"Set the number of links to display at one time.","Imposta il numero di link da mostrare una sola volta."
"Frame Skip","Salta Frame"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Se la posizione corrente del Frame non copre il massimo delle pagine, verrà eseguito il link di rendering alla posizione corrente più/meno questo valore"
"Page Navigation Menu Options","Opzioni menu di navigazione pagina"
"Exclude from Navigation Menu","Escludi dal menu di navigazione"
"Show in navigation menu.","Mostra nel menu di navigazione."
"Menu Layout","Layout Menu"
"Only Children","Solo figli"
"Neighbours and Children","Vicini e figli"
"Menu Detalization","Dettaglio menu"
"Maximal Depth","Profondità massima"
"Node Levels to Include","Livelli del nodo da includere"
"List Type","Tipo di lista"
"List Style","Stile elenco"
"Main Navigation Menu Options","Opzioni menu di navigazione principale"
"Add selected page(s) to the tree","Aggiungi pagine selezionate all'albero"
"Remove from tree.","Rimuovi dall'albero."
"Cancel","Annulla"
"Save","Salva"
"Add Node...","Aggiungi nodo..."
"Add to tree.","Aggiungi all'albero."
"Update","Aggiorna"
"Node Properties","Proprietà nodo"
"Page ID","ID pagina"
"Manage Hierarchies","Gestisci gerarchie"
"Hierarchy","Gerarchia"
"Home","Home"
"Go to Home Page","Vai alla Home Page"
"You copied the pages hierarchy to the selected scopes.","Hai copiato la gerarchia delle pagine per gli ambiti selezionati."
"Something went wrong while copying the hierarchy.","Qualcosa è andato storto durante la copia della gerarchia."
"Please correct the scope.","Correggi l'ambito."
"You deleted the pages hierarchy from the selected scopes.","Hai eliminato la gerarchia delle pagine dagli ambiti selezionati."
"Something went wrong while deleting the hierarchy.","Qualcosa è andato storto durante l'eliminazione della gerarchia."
"CMS","CMS"
"CMS Page Trees","Alberi Pagine CMS"
"You have saved the hierarchy.","Hai salvato la gerarchia."
"Something went wrong while saving the hierarchy.","Qualcosa è andato storto durante la copia della gerarchia."
"Manage Pages","Gestisci le pagine"
"Private","Privato"
"Protected","Protetto"
"Public","Pubblico"
"Delete Multiple Hierarchies","Elimina più gerarchie"
"Please correct the node data.","Correggi i dati del nodo."
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
"Tree Viewed","Albero visualizzato"
"No","No"
"Chapter","Capitolo"
"Section","Sezione"
"Both","Entrambi"
"Use default","Usa predefinito"
"Default","Predefinito"
"Numbers (1, 2, 3, ...)","Numeri (1, 2, 3,...)"
