"Delete Current Hierarchy","Excluir a Atual Hierarquia"
"Copy","Copiar"
"Pages Hierarchy","Hierarquia de páginas"
"Page Properties","Propriedades da página"
"Title","Título"
"URL Key","Chave URL"
"Preview","Pré-visualização"
"Preview is not available.","A pré-visualização não está disponível."
"Render Metadata in HTML Head.","Processa metadados no cabeçalho de HTML."
"First","Primeiro"
"Next/Previous","Seguinte/Anterior"
"Enable Chapter/Section","Habilitar capítulo/seção"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Habilita a funcionalidade de capítulo/seção para este nó, seus subnós e páginas"
"Chapter/Section","Capítulo/Seção"
"Defines this node as Chapter/Section","Define este nó como capítulo/seção"
"Pagination Options for Nested Pages","Opções de paginação para páginas aninhadas"
"Enable Pagination","Habilitar paginação"
"Frame","Quadro"
"Set the number of links to display at one time.","Defina o número de links para mostrar por vez."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Se a Posição Atual do quadro não cobrir o total de páginas, iremos criar um link para a Posição Atual mais ou menos esse Valor"
"Page Navigation Menu Options","Opções de Menu de navegação de página"
"Exclude from Navigation Menu","Excluir do menu de navegação"
"Show in navigation menu.","Mostrar no menu de navegação."
"Menu Layout","Layout do menu"
"Only Children","Apenas filhos"
"Neighbours and Children","Vizinhos e Crianças"
"Menu Detalization","Detalhamento do Menu"
"Maximal Depth","Profundidade máxima"
"Node Levels to Include","Níveis de Nó para incluir"
"List Type","Tipo de Lista"
"List Style","Tipo de Lista"
"Main Navigation Menu Options","Opções de Menu de navegação principal"
"Add selected page(s) to the tree","Adicionar página (s) selecionados para a árvore"
"Remove from tree.","Remover da árvore."
"Cancel","Cancelar"
"Save","Salvar"
"Add Node...","Adicionar nó..."
"Add to tree.","Adicione à árvore."
"Update","Atualizar"
"Node Properties","Propriedades do nó"
"Page ID","ID da página"
"Manage Hierarchies","Gerenciar hierarquias"
"Hierarchy","Hierarquia"
"Home","Início"
"Go to Home Page","Ir para a página inicial"
"You copied the pages hierarchy to the selected scopes.","Você copiou a hierarquia de páginas para os escopos selecionados."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"Please correct the scope.","Por favor, corrija o escopo."
"You deleted the pages hierarchy from the selected scopes.","Você excluiu a hierarquia de páginas para os escopos selecionados."
"Something went wrong while deleting the hierarchy.","Ocorreu algum erro ao excluir a hierarquia."
"CMS","CMS"
"CMS Page Trees","Árvores de página do CMS"
"You have saved the hierarchy.","Você salvou a hierarquia."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Manage Pages","Gerenciar páginas"
"Private","Privado"
"Protected","Protegido"
"Public","Público"
"Delete Multiple Hierarchies","Excluir Múltiplas Hierarquias"
"Please correct the node data.","Por favor, corrija os dados do nó."
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
"Tree Viewed","Visualização em Árvore"
"No","Não"
"Chapter","Capítulo"
"Section","Seção"
"Both","Ambos"
"Use default","Usar padrão"
"Default","Padrão"
"Numbers (1, 2, 3, ...)","Números (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Alfa Minúsculo (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Alfa Maiúsculo (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Romano Minúsculo (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Romano Maiúsculo (I, II, III, ...)"
"Circle","Círculo"
"Disc","Disco"
"Square","Quadrado"
"Unordered","Não comprado"
"Ordered","Comprado"
"Use Parent","Usar pai"
"Yes","Sim"
"This page cannot be assigned to node, because a node or page with the same URL Key already exists in this tree part.","This page cannot be assigned to node, because a node or page with the same URL Key already exists in this tree part."
"Use the parent node hierarchy.","Use a hierarquia do nó pai."
"Are you sure you want to delete current hierarchy?","Are you sure you want to delete current hierarchy?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","This page cannot be added, because a node or page with the same URL Key already exists in this tree part."
"This URL key is already in use.","Esta chave de URL já está sendo usada."
"CMS Pages","Páginas CMS"
"Please select a website or store view.","Please select a website or store view."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Are you sure you want to copy the current hierarchy to the selected destinations?"
"Are you sure you want to delete the selected hierarchies?","Are you sure you want to delete the selected hierarchies?"
"Delete","Excluir"
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Root","Raiz"
"No nodes are available","No nodes are available"
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","Hierarquia CMS para"
"Anchor Custom Text","Texto Personalizado da Âncora"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Título Personalizado da Âncora"
"Node","Nó"
"Not Selected","Não selecionado"
"Select a page or node.","Selecione uma página ou um nó."
"Parent page","Página Pai"
"Website Root","Raiz do Site"
"Page:","Página:"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","Você esta lendo a pagina"
"Next","Próximo"
"Delete Revision and Version","Excluir Revisão e Versão"
"Publish Revision","Publicar Revisão"
"Pages","Páginas"
"CMS Page Hierarchy","Hierarquia da Página CMS"
"Enable Hierarchy Functionality","Habilitar Funcionalidade de Hierarquia"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Default Layout for Hierarchy Menu"
"CMS Hierarchy","Hierarquia CMS"
"CMS Hierarchy Node Link","CMS Hierarchy Node Link"
"Link to Specified CMS Hierarchy Node","Link to Specified CMS Hierarchy Node"
"Template","Modelo"
"CMS Page Link Block Template","Template de Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"All Store Views","Todas as Visões de Loja"
