"Delete Current Hierarchy","Excluir a Atual Hierarquia"
"Copy","Copiar"
"Pages Hierarchy","Hierarquia de páginas"
"Page Properties","Propriedades da página"
"Title","Título"
"URL Key","Chave URL"
"Preview","Pré-visualização"
"Preview is not available.","A pré-visualização não está disponível."
"Render Metadata in HTML Head.","Processa metadados no cabeçalho de HTML."
"First","Primeiro"
"Next/Previous","Seguinte/Anterior"
"Enable Chapter/Section","Habilitar capítulo/seção"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Habilita a funcionalidade de capítulo/seção para este nó, seus subnós e páginas"
"Chapter/Section","Capítulo/Seção"
"Defines this node as Chapter/Section","Define este nó como capítulo/seção"
"Pagination Options for Nested Pages","Opções de paginação para páginas aninhadas"
"Enable Pagination","Habilitar paginação"
"Frame","Quadro"
"Set the number of links to display at one time.","Defina o número de links para mostrar por vez."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Se a Posição Atual do quadro não cobrir o total de páginas, iremos criar um link para a Posição Atual mais ou menos esse Valor"
"Page Navigation Menu Options","Opções de Menu de navegação de página"
"Exclude from Navigation Menu","Excluir do menu de navegação"
"Show in navigation menu.","Mostrar no menu de navegação."
"Menu Layout","Layout do menu"
"Only Children","Apenas filhos"
"Neighbours and Children","Vizinhos e Crianças"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Profundidade máxima"
"Node Levels to Include","Níveis de Nó para incluir"
"List Type","Tipo de Lista"
"List Style","Tipo de Lista"
"Main Navigation Menu Options","Opções de Menu de navegação principal"
"Add selected page(s) to the tree","Adicionar página (s) selecionados para a árvore"
"Remove from tree.","Remover da árvore."
"Cancel","Cancelar"
"Save","Salvar"
"Add Node...","Adicionar nó..."
"Add to tree.","Adicione à árvore."
"Update","Atualizar"
"Node Properties","Propriedades do nó"
"Page ID","ID da página"
"Manage Hierarchies","Gerenciar hierarquias"
"Hierarchy","Hierarquia"
"Home","Início"
"Go to Home Page","Ir para a página inicial"
"You copied the pages hierarchy to the selected scopes.","Você copiou a hierarquia de páginas para os escopos selecionados."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"Please correct the scope.","Por favor, corrija o escopo."
"You deleted the pages hierarchy from the selected scopes.","Você excluiu a hierarquia de páginas para os escopos selecionados."
"Something went wrong while deleting the hierarchy.","Ocorreu algum erro ao excluir a hierarquia."
"CMS","CMS"
"CMS Page Trees","Árvores de página do CMS"
"You have saved the hierarchy.","Você salvou a hierarquia."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Manage Pages","Gerenciar páginas"
"Private","Privado"
"Protected","Protegido"
"Public","Público"
"Delete Multiple Hierarchies","Delete Multiple Hierarchies"
"Please correct the node data.","Please correct the node data."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
"Tree Viewed","Tree Viewed"
"No","Não"
"Chapter","Capítulo"
"Section","Seção"
"Both","Ambos"
"Use default","Usar padrão"
"Default","Padrão"
"Numbers (1, 2, 3, ...)","Números (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Lower Alpha (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Upper Alpha (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Lower Roman (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Upper Roman (I, II, III, ...)"
"Circle","Círculo"
"Disc","Disco"
"Square","Quadrado"
"Unordered","Não comprado"
"Ordered","Comprado"
"Use Parent","Usar pai"
"Yes","Sim"
"Use the parent node hierarchy.","Use a hierarquia do nó pai."
"Are you sure you want to delete current hierarchy?","Are you sure you want to delete current hierarchy?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","This page cannot be added, because a node or page with the same URL Key already exists in this tree part."
"This URL key is already in use.","Esta chave de URL já está sendo usada."
"CMS Pages","Páginas CMS"
"Please select a website or store view.","Please select a website or store view."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Are you sure you want to copy the current hierarchy to the selected destinations?"
"Are you sure you want to delete the selected hierarchies?","Are you sure you want to delete the selected hierarchies?"
"Delete","Excluir"
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Root","Raiz"
"No nodes are available","No nodes are available"
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","CMS Hierarchy for"
"Anchor Custom Text","Texto Personalizado da Âncora"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Título Personalizado da Âncora"
"Node","Nó"
"Not Selected","Não selecionado"
"Select a page or node.","Selecione uma página ou um nó."
"Parent page","Parent page"
"Website Root","Website Root"
"Page:","Página:"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","Você esta lendo a pagina"
"Next","Próximo"
"Delete Revision and Version","Delete Revision and Version"
"Publish Revision","Publish Revision"
"Pages","Páginas"
"CMS Page Hierarchy","CMS Page Hierarchy"
"Enable Hierarchy Functionality","Enable Hierarchy Functionality"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Default Layout for Hierarchy Menu"
"CMS Hierarchy","Hierarquia CMS"
"CMS Hierarchy Node Link","CMS Hierarchy Node Link"
"Link to Specified CMS Hierarchy Node","Link to Specified CMS Hierarchy Node"
"Template","Modelo"
"CMS Page Link Block Template","Template de Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"All Store Views","Todas as Visões de Loja"
"Add selected page(s) to the tree.","Adicionar a(s) página(s) seleccionada(s) à árvore."
"Version Control","Controle de versão"
"Version Label","Etiqueta de versão"
"Owner","Proprietário"
"Access Level","Nível de acesso"
"Quantity","Quantidade"
"Created","Criado"
"Versions","Versões"
"Are you sure?","Você tem certeza?"
"N/A","Não Disponível"
"Are you sure you want to delete this revision?","Você tem certeza de que deseja excluir esta revisão?"
"Publish","Publicar"
"Save and publish.","Salvar e publicar."
"Save in a new version.","Salve em uma nova versão."
"You must specify a new version name.","Você deve especificar um novo nome de versão."
"Please specify a valid name.","Por favor, especifique um nome válido."
"Edit Page '%1' Revision #%2","Editar Página '%1' Revisão #%2"
"Edit Page '%1' New Revision","Editar Página '%1' Nova Revisão"
"Revision Information","Informações de Revisão"
"Save as new version.","Salve como nova versão."
"New Revision...","Nova revisão..."
"Save and continue edit.","Salvar e Continuar Edição."
"Edit Page '%1' Version '%2'","Editar Página '%1' Versão '%2'"
"Version Information","Informações de Versão"
"Revision","Revisão"
"Author","Autor"
"Edit Page","Editar Página"
"New Page","Nova Página"
"Please select version(s).","Por favor selecione a versão (ões)."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"Something went wrong while deleting these versions.","Ao excluir estas versões, algo deu errado."
"You have deleted the revision.","Você excluiu a revisão."
"Something went wrong while deleting the revision.","Algo deu errado, ao excluir a revisão."
"We can't find a revision to delete.","Não encontramos uma revisão para excluir."
"We could not load the specified revision.","Não foi possível carregar a revisão especificada."
"Edit Revision","Editar revisão"
"You have published the revision.","Você publicou a revisão."
"You have saved the revision.","Você salvou a revisão."
"You have deleted the version.","Você excluiu a versão."
"Something went wrong while deleting this version.","Algo deu errado ao excluir esta versão."
"We can't find a version to delete.","Não conseguimos encontrar uma versão para excluir."
"Edit Version","Editar versão"
"Please select revision(s).","Por favor, selecione a revisões."
"Something went wrong while deleting the revisions.","Algo deu errado, ao excluir as revisões."
"You have created the new version.","Você criou uma nova versão."
"You have saved the version.","Você salvou a versão."
"Revision #%1 could not be removed because it is published.","Revisão #%1 não pode ser removida porque está publicada."
"CMS Revision with id ""%1"" does not exist.","Revisão CMS com o ID ""%1"" não existe."
