"Delete Current Hierarchy","Verwijder Huidige Hiërarchie"
"Copy","Kopieer"
"Pages Hierarchy","Pagina Hiërarchie"
"Page Properties","Pagina Eigenschappen"
"Title","Titel"
"URL Key","URL sleutel"
"Preview","Voorbeeld"
"Preview is not available.","Voorbeeld is niet beschikbaar."
"Render Metadata in HTML Head.","Geef Metadata weer in HTML Head."
"First","Eerste"
"Next/Previous","Volgende/Vorige"
"Enable Chapter/Section","Bewerk hoofdstuk/sectie"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Staat Hoofdstuk/Sectie functionaliteit toe voor dit knooppunt, de sub-knooppunten en pagina's"
"Chapter/Section","Hoofdstuk/sectie"
"Defines this node as Chapter/Section","Definieert dit knooppunt als Hoofdstuk/Sectie"
"Pagination Options for Nested Pages","Paginerings Opties voor in elkaar passende pagina's"
"Enable Pagination","Stel paginatie in werking"
"Frame","Frame"
"Set the number of links to display at one time.","Stel het aantal links in om tegelijk weer te geven."
"Frame Skip","Beeld Overslaan"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Als de huidige beeldpositie niet het grootste deel van de pagina in beslag neemt, zal het de Link naar de huidige positie plus of min dit bedrag weergeven."
"Page Navigation Menu Options","Pagina Navigatie Menuopties"
"Exclude from Navigation Menu","Uitsluiten van Navigatie Menu"
"Show in navigation menu.","Tonen in navigatiemenu."
"Menu Layout","Menu Opmaak"
"Only Children","Alleen Kinderen"
"Neighbours and Children","Buren en Kinderen"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Maximale Diepte"
"Node Levels to Include","Knooppunt levels om mee te tellen"
"List Type","Lijst Type"
"List Style","Lijststijl"
"Main Navigation Menu Options","Hoofdnavigatie Menuopties"
"Add selected page(s) to the tree","Geselecteerde pagina('s) toevoegen aan de hiërarchie."
"Remove from tree.","Verwijderen uit hiërarchie."
"Cancel","Annuleer"
"Save","Opslaan"
"Add Node...","Schrijf bericht..."
"Add to tree.","Voeg toe aan boom."
"Update","Bijwerken"
"Node Properties","Knooppunt Eigenschappen"
"Page ID","Pagina ID"
"Manage Hierarchies","Beheer Hiërarchieën"
"Hierarchy","Hiërarchie"
"Home","Home"
"Go to Home Page","Ga naar homepagina"
"You copied the pages hierarchy to the selected scopes.","U heeft de pagina hiërarchie gekopieerd naar de geselecteerde toepassingsgebied."
"Something went wrong while copying the hierarchy.","Er ging iets mis tijdens het kopiëren van de hiërarchie."
"Please correct the scope.","Pas het toepassingsgebied aan."
"You deleted the pages hierarchy from the selected scopes.","U heeft de pagina hiërarchie van de geselecteerde toepassingsgebieden verwijderd."
"Something went wrong while deleting the hierarchy.","Er ging iets mis tijdens het verwijderen van de hiërarchie."
"CMS","CMS"
"CMS Page Trees","CMS pagina bomen"
"You have saved the hierarchy.","U heeft de hiërarchie opgeslagen."
"Something went wrong while saving the hierarchy.","Er ging iets mis tijdens het opslaan van de hiërarchie."
"Manage Pages","Beheer pagina's"
"Private","Privé"
"Protected","Beschermd"
"Public","Publiek"
"Delete Multiple Hierarchies","Verwijder Meerdere Hiërarchieën"
"Please correct the node data.","Corrigeer de gegevens van het knooppunt."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
"Tree Viewed","Boom gezien"
"No","Nee"
"Chapter","Hoofdstuk"
"Section","Gedeelte"
"Both","Beide"
"Use default","Gebruik standaard"
"Default","Standaard"
"Numbers (1, 2, 3, ...)","Nummers (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Lagere Alfanumeriek (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Hoofdletters (A, B, C...)"
"Lower Roman (i, ii, iii, ...)","Lagere Romeinse Cijfers (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Romeinse cijfers (I,II, III, ...)"
"Circle","Cirkel"
"Disc","Disc"
"Square","Vierkant"
"Unordered","Ongesorteerd"
"Ordered","Besteld"
"Use Parent","Gebruik ouder"
"Yes","Ja"
"Use the parent node hierarchy.","Gebruik de bovenliggende knooppunt hiërarchie."
"Are you sure you want to delete current hierarchy?","Weet u zeker dat u de huidige hiërarchie wilt verwijderen?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Deze pagina kan niet worden toegevoegd, omdat een pagina met dezelfde URL sleutel reeds bestaat"
"This URL key is already in use.","Deze URL key is al in gebruik."
"CMS Pages","CMS pagina's"
"Please select a website or store view.","Selecteer een website of winkelaanzicht."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Weet u zeker dat u de huidige hiërarchie wilt kopiëren naar de geselecteerde bestemmingen?"
"Are you sure you want to delete the selected hierarchies?","Weet u zeker dat u de geselecteerde hiërarchieën wilt verwijderen?"
"Delete","Verwijder"
"Please select one or more hierarchies to delete.","Selecteer een of meerdere hiërarchieën om te verwijderen."
"Please assign the current hierarchy to one or more destinations.","U moet de huidige hiërarchie aan één of meerdere bestemmingen toekennen."
"Root","Hoofd (root)"
"No nodes are available","Er zijn geen knooppunten beschikbaar"
"Single Hierarchy for All Store Views","Enkele hiërarchie voor alle Winkelaanzichten"
"Specific Hierarchy for Each Store View","Specifieke hiërarchie voor elk Winkelaanzicht"
"CMS Hierarchy for","CMS Hiërarchie voor"
"Anchor Custom Text","Zet eigen tekst vast"
"If this value is empty, the node or page name will be used.","Als deze waarde leeg is, zal de naam van het knooppunt of pagina worden gebruikt."
"Anchor Custom Title","Zet eigen titel vast"
"Node","Knooppunt"
"Not Selected","Niet Geselecteerd"
"Select a page or node.","Selecteer een pagina of knooppunt."
"Parent page","Bovenliggende pagina"
"Website Root","Website wortel"
"Page:","Pagina:"
"Page","Pagina"
"Previous","Vorige"
"You're currently reading page","U lees momenteel pagina"
"Next","Volgende"
"Delete Revision and Version","Verwijder modificatie en versie"
"Publish Revision","Publiceer Herziening"
