"Delete Current Hierarchy","Hapus hirarki saat ini"
"Copy","Salinan"
"Pages Hierarchy","Hirarki Halaman"
"Page Properties","Properti halaman"
"Title","Judul"
"URL Key","URL Kunci"
"Preview","Pratinjau"
"Preview is not available.","Pratinjau tidak tersedia."
"Render Metadata in HTML Head.","Render Metadata di Head HTML."
"First","Pertama"
"Next/Previous","Berikutnya / Sebelumnya"
"Enable Chapter/Section","Aktifkan Bab / Bagian"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Mengaktifkan fungsi Chapter / Section untuk node ini, sub-node dan halamannya"
"Chapter/Section","Bab / Bagian"
"Defines this node as Chapter/Section","Mendefinisikan node ini sebagai Bab / Bagian"
"Pagination Options for Nested Pages","Pilihan Pagination untuk Nested Pages"
"Enable Pagination","Aktifkan Pagination"
"Frame","Bingkai"
"Set the number of links to display at one time.","Tetapkan jumlah link yang akan ditampilkan sekaligus."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Jika Posisi Bingkai Saat Ini tidak mencakup Halaman Utmost, akan membuat Link ke Posisi Sekarang plus / minus Nilai ini"
"Page Navigation Menu Options","Pilihan Menu Navigasi Halaman"
"Exclude from Navigation Menu","Kecualikan dari Menu Navigasi"
"Show in navigation menu.","Tampilkan di menu navigasi."
"Menu Layout","Tata Letak Menu"
"Only Children","Hanya anak"
"Neighbours and Children","Tetangga dan Anak-anak"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Kedalaman maksimal"
"Node Levels to Include","Tingkat Node untuk Sertakan"
"List Type","Jenis daftar"
"List Style","Daftar gaya"
"Main Navigation Menu Options","Pilihan Menu Navigasi Utama"
"Add selected page(s) to the tree","Tambahkan dipilih halaman(S) ke pohon"
"Remove from tree.","Hapus dari pohon."
"Cancel","Membatalkan"
"Save","Menyimpan"
"Add Node...","Tambahkan Node..."
"Add to tree.","Tambahkan ke pohon."
"Update","Memperbarui"
"Node Properties","Node Properties"
"Page ID","ID halaman"
"Manage Hierarchies","Kelola hierarki"
"Hierarchy","Hirarki"
"Home","Rumah"
"Go to Home Page","Buka Halaman Depan"
"You copied the pages hierarchy to the selected scopes.","Anda menyalin hierarki halaman ke cakupan yang dipilih."
"Something went wrong while copying the hierarchy.","Ada yang tidak beres saat menyalin hierarki."
"Please correct the scope.","Harap perbaiki cakupannya."
"You deleted the pages hierarchy from the selected scopes.","Anda menghapus hierarki halaman dari cakupan yang dipilih."
"Something went wrong while deleting the hierarchy.","Ada yang tidak beres saat menghapus hierarki."
"CMS","CMS"
"CMS Page Trees","Pohon Halaman CMS"
"You have saved the hierarchy.","Anda telah menyimpan hierarki."
