"Back","Назад"
"Save and Continue","Save and Continue"
"Save Configuration","Сохранить конфигурацию"
"%1","%1"
"Default","По умолчанию"
"Themes","Themes"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Are you sure you want to delete this theme?","Are you sure you want to delete this theme?"
"Theme: %1","Theme: %1"
"New Theme","Новая тема"
"Theme CSS","Theme CSS"
"Theme CSS Assets","Theme CSS Assets"
"Custom CSS","Custom CSS"
"Select CSS File to Upload","Select CSS File to Upload"
"Upload CSS File","Upload CSS File"
"Download CSS File","Download CSS File"
"Manage","Manage"
"Upload Images","Upload Images"
"Images Assets","Images Assets"
"Upload Fonts","Upload Fonts"
"Fonts Assets","Fonts Assets"
"Edit custom.css","Edit custom.css"
"Allowed file types *.css.","Allowed file types *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Max file size to upload %1M"
"Something is wrong with the file upload settings.","Something is wrong with the file upload settings."
"CSS Editor","CSS Editor"
"Theme Settings","Theme Settings"
"Parent Theme","Parent Theme"
"Theme Path","Theme Path"
"Theme Title","Theme Title"
"Theme Preview Image","Theme Preview Image"
"General","Общие"
"Copy of %1","Copy of %1"
"Max image size %1M","Max image size %1M"
"Theme JavaScript","Theme JavaScript"
"Select JS Files to Upload","Select JS Files to Upload"
"Upload JS Files","Upload JS Files"
"JS Editor","JS редактор"
"Allowed file types *.js.","Allowed file types *.js."
"Theme","Тема"
"Media Storage","Хранилище медии"
"Create Folder","Create Folder"
"Delete Folder","Удалить папку"
"Delete File","Удалить файл"
"Insert File","Вставить файл"
"New Folder Name:","Имя новой папки:"
"Are you sure you want to delete this folder?","Вы уверены, что хотите удалить эту папку?"
"Are you sure you want to delete this file?","Вы уверены, что хотите удалить этот файл?"
"Storage Root","Storage Root"
"welcome","welcome"
"Global","Глобальнo"
"Design Configuration","Design Configuration"
"You saved the configuration.","Вы сохранили настройки."
"Something went wrong while saving this configuration:","Что-то пошло не так во время сохранения этой конфигурации:"
"You deleted the theme.","You deleted the theme."
"We cannot delete the theme.","We cannot delete the theme."
"File not found: ""%1"".","File not found: ""%1""."
"We can't find file.","We can't find file."
"We cannot find theme ""%1"".","We cannot find theme ""%1""."
"We cannot find the theme.","We cannot find the theme."
"This theme is not editable.","This theme is not editable."
"You saved the theme.","You saved the theme."
"We can't upload the CSS file right now.","We can't upload the CSS file right now."
"We cannot find a theme with id ""%1"".","We cannot find a theme with id ""%1""."
"We can't upload the JS file right now.","We can't upload the JS file right now."
"Sorry, something went wrong. That's all we know.","Sorry, something went wrong. That's all we know."
"Invalid type","Invalid type"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 does not contain field '%2'"
