"Back","Обратно"
"Save and Continue","Запази и продължи"
"Save Configuration","Запиши конфигурация"
"%1","%1"
"Default","По подразбиране"
"Themes","Теми"
"Save and Continue Edit","Запази и продължи редактиране"
"Are you sure you want to delete this theme?","Наистина ли искате да изтриете тази тема?"
"Theme: %1","Тема: %1"
"New Theme","Нова тема"
"Theme CSS","Тема CSS"
"Theme CSS Assets","Тема CSS активи"
"Custom CSS","Custom CSS"
"Select CSS File to Upload","Изберете CSS файл за качване"
"Upload CSS File","Качване на CSS файла"
"Download CSS File","Изтегляне на CSS файла"
"Manage","Управление"
"Upload Images","Качване на изображения"
"Images Assets","Изображения активи"
"Upload Fonts","Качване на шрифтове"
"Fonts Assets","Шрифтове активи"
"Edit custom.css","Редактиране custom.css"
"Allowed file types *.css.","Позволено файлови типове *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Този файл ще замени текущия custom.css файл и не може да бъде повече от 2 MB."
"Max file size to upload %1M","Максимален размер на файла за качване на %1M"
"Something is wrong with the file upload settings.","Нещо не е наред с настройките за качване на файл."
"CSS Editor","CSS редактор"
"Theme Settings","Настройки на тема"
"Parent Theme","Основна тема"
"Theme Path","Тема път"
"Theme Title","Заглавие на тема"
"Theme Preview Image","Тема за визуализация на изображение"
"General","Главен"
"Copy of %1","Копие от %1"
"Max image size %1M","Максимален размер на изображение %1M"
"Theme JavaScript","Тема JavaScript"
"Select JS Files to Upload","Изберете JS файлове за качване"
"Upload JS Files","Качване на файлове JS"
"JS Editor","Редактор JS"
"Allowed file types *.js.","Позволени файлови типове *.js."
"Theme","Тема"
"Media Storage","Медия склад"
"Create Folder","Създайте папка"
"Delete Folder","Изтриване на папката"
"Delete File","Изтрий файла"
"Insert File","Вмъкни файл"
"New Folder Name:","Ново име на папка:"
"Are you sure you want to delete this folder?","Наистина ли искате да изтриете тази папка?"
"Are you sure you want to delete this file?","Наистина ли искате да изтриете този файл?"
"Storage Root","Основен склад"
"welcome","Добре дошли"
"Global","Глобален"
"Design Configuration","Дизайн конфигурация"
"You saved the configuration.","Записахте конфигурацията."
"Something went wrong while saving this configuration:","Нещо се е объркало при запазване на тази конфигурация:"
"You deleted the theme.","Изтрихте темата."
"We cannot delete the theme.","Не може да изтрие темата."
"File not found: ""%1"".","Файлът не е намерен: ""%1""."
"We can't find file.","Не може да намери файла."
"We cannot find theme ""%1"".","Не можем да намерим тема ""%1""."
"We cannot find the theme.","Не можем да намерим темата."
"This theme is not editable.","Тази тема не се редактира."
"You saved the theme.","Записахте темата."
"We can't upload the CSS file right now.","Не можете да качите файла CSS точно сега."
"We cannot find a theme with id ""%1"".","Не може да намери тема с ИД ""%1""."
"We can't upload the JS file right now.","Не можете да качите файла JS точно сега."
"Sorry, something went wrong. That's all we know.","За съжаление нещо се обърка. Това е всичко, което знаем."
"Invalid type","Невалиден тип"
"Invalid scope or scope id","Невалиден обхват или обхват ИД"
"%1 does not contain field '%2'","%1 не съдържа поле ""%2"""
"Invalid regular expression: ""%1"".","Невалиден регулярен израз: ""%1""."
