"Back","Voltar"
"Save and Continue","Gravar e continuar"
"Save Configuration","Guardar Configuração"
"%1","%1"
"Default","Pré-definido"
"Themes","Temas"
"Save and Continue Edit","Gravar e Continuar Edição"
"Are you sure you want to delete this theme?","Tem a certeza que pretende remover este tema?"
"Theme: %1","Tema: %1"
"New Theme","Novo Tema"
"Theme CSS","Tema CSS"
"Theme CSS Assets","Ficheiros CSS do Tema"
"Custom CSS","CSS Personalizado"
"Select CSS File to Upload","Selecionar Arquivo CSS para Upload"
"Upload CSS File","Carregar Ficheiro CSS"
"Download CSS File","Baixar arquivo CSS"
"Manage","Gerir"
"Upload Images","Carregar Imagens"
"Images Assets","Ficheiros de Imagem"
"Upload Fonts","Carregar Tipos de Letra"
"Fonts Assets","Ficheiros de Tipos de Letra"
"Edit custom.css","Editar custom.css"
"Allowed file types *.css.","Tipos de ficheiros permitidos *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Este ficheiro irá substituir o ficheiro custom.css atual e não pode ter mais de 2 MB."
"Max file size to upload %1M","Tamanho máx do ficheiro a carregar %1M"
"Something is wrong with the file upload settings.","Algo está errado com as configurações de upload de arquivo."
"CSS Editor","Editor CSS"
"Theme Settings","Definições do Tema"
"Parent Theme","Tema Pai"
"Theme Path","Caminho do Tema"
"Theme Title","Título do Tema"
"Theme Preview Image","Imagem de Pré-visualização do Tema"
"General","Geral"
"Copy of %1","Cópia de %1"
"Max image size %1M","Tamanho máx de imagem %1M"
"Theme JavaScript","JavaScript do Tema"
"Select JS Files to Upload","Selecione Ficheiros JS para Carregar"
"Upload JS Files","Carregar Ficheiros JS"
"JS Editor","Editor de JS"
"Allowed file types *.js.","Tipos de ficheiro permitidos *.js."
"Theme","Tema"
"Media Storage","Armazenamento Média"
"Create Folder","Criar Pasta"
"Delete Folder","Remover Pasta"
"Delete File","Apagar Ficheiro"
"Insert File","Inserir Ficheiro"
"New Folder Name:","Nome da Nova Pasta:"
"Are you sure you want to delete this folder?","Tem a certeza que deseja excluír esta pasta?"
"Are you sure you want to delete this file?","Tem a certeza que deseja eliminar este ficheiro?"
"Storage Root","Raiz do Armazenamento"
"welcome","bem-vindo"
"Global","Global"
"Design Configuration","Configuração de design"
"You saved the configuration.","Gravou a configuração."
"Something went wrong while saving this configuration:","Algo correu mal ao gravar esta configuração:"
"You deleted the theme.","Eliminou o tema."
"We cannot delete the theme.","Não conseguimos apagar o tema."
"File not found: ""%1"".","Ficheiro não encontrado: ""%1""."
"We can't find file.","Não foi possível encontrar o ficheiro."
"We cannot find theme ""%1"".","Não conseguimos encontrar o tema ""%1""."
"We cannot find the theme.","Não conseguimos encontrar o tema."
"This theme is not editable.","Este tema não é editável."
"You saved the theme.","Gravou o tema."
"We can't upload the CSS file right now.","Não é possível carregar o ficheiro CSS de momento."
"We cannot find a theme with id ""%1"".","Não conseguimos encontrar o tema com id ""%1""."
"We can't upload the JS file right now.","De momento não é possível carregar o ficheiro JS."
"Sorry, something went wrong. That's all we know.","Pedimos desculpa, mas algo correu mal. Não temos mais informações por agora."
"Invalid type","Tipo Inválido"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 não contém o campo '%2'"
"Invalid regular expression: ""%1"".","Expressão regular inválida: ""%1""."
"%1 does not contain field 'file'","%1 não contém campo 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","etiqueta"
"-- Please Select --","-- Por favor, selecione --"
"The start date can't follow the end date.","A data de início não pode ser posterior à data de fim."
"The date range for this design change overlaps another design change for the specified store.","O intervalo de datas para esta alteração de design sobrepõe-se com outra alteração de design para a loja especificada."
"Copy","Copiar"
"Theme id should be set","O id do tema deve estar definido"
"Circular-reference in theme inheritance detected for ""%1""","Referência circular na herança do tema detetada para ""%1"""
"The CSS file must be less than %1M.","O ficheiro CSS deve ter dimensão inferior a %1M."
"The JS file must be less than %1M.","O ficheiro JS deve ter dimensão inferior a %1M."
"We can't upload the file right now.","De momento não é possível carregar o ficheiro."
"Use only standard alphanumeric, dashes and underscores.","Use apenas caracteres alfanuméricos, hífens e underscores."
"We found a directory with the same name.","Encontrámos uma diretoria com o mesmo nome."
