"Save Currency Rates","通貨レートの保存"
"Options","オプション"
"Reset","リセット"
"Import","インポート"
"Manage Currency Rates","為替レート管理"
"Import Service","サービスのインポート"
"Save Currency Symbols","通貨記号を保存"
"Currency Symbols","現在の通貨記号"
"Use Standard","標準を使用する"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","""保存""をクリックして取得した為替レートを適用してください。"
"Currency Rates","通貨レート"
"Please correct the input data for ""%1 => %2"" rate.","""%1 => %2""レートの入力データを修正してください"
"All valid rates have been saved.","正しいレートが保存されました。"
"System","システム"
"You applied the custom currency symbols.","カスタム通貨シンボルを適用しました。"
"You must first configure currency options before being able to see currency rates.","通貨レートを見ることができるようになる前にまず通貨オプションを設定する必要があります。"
"Old rate:","旧レート:"
"Currency","通貨"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","インポートサービスが正しくありません。サービスを確認して再度お試し下さい。"
"The import model can't be initialized. Verify the model and try again.","インポートモデルが初期化できません。モデルを確認して再度お試し下さい。"
