"Save Currency Rates","Wechselkurs speichern"
"Options","Optionen"
"Reset","Zurücksetzen"
"Import","Importieren"
"Manage Currency Rates","Währungskurse verwalten"
"Import Service","Import-Service"
"Save Currency Symbols","Währungssymbole speichern"
"Currency Symbols","Währungssymbole"
"Use Standard","Standard verwenden"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Klicken Sie auf ""Speichern"", um die gefundenen Kurse zu speichern."
"Currency Rates","Währungskurse"
"Please correct the input data for ""%1 => %2"" rate.","Bitte die Eingabe des Wechselkurs %1 => %2korrigieren."
"All valid rates have been saved.","Alle gültigen Kurse wurden gespeichert."
"System","System"
"You applied the custom currency symbols.","Sie haben ein Kundeneigenes Währungssymbol zugeordnet."
"You must first configure currency options before being able to see currency rates.","Konfigurieren Sie zunächst Währungsoptionen um Wechselkurse sehen zu können."
"Old rate:","Alter Preis:"
"Currency","Währung"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
