"Static Blocks","Bloki statyczne"
"Add New Block","Dodaj blok"
"Back","Powrót"
"Delete Block","Usuń blok"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Reset","Reset"
"Save and Continue Edit","Save and Continue Edit"
"Save Block","Save Block"
"ID","Identyfikator"
"Title","Tytuł"
"Identifier","Identyfikator"
"Status","Stan"
"Disabled","Wyłączone"
"Enabled","Włączone"
"Manage Pages","Zarządzanie stronami"
"Add New Page","Dodaj stronę"
"Delete Page","Usuń stronę"
"Save Page","Zapisz stronę"
"URL Key","Klucz URL"
"Layout","Układ"
"Store View","Widok sklepu"
"Created","Utworzono"
"Modified","Zmodyfikowano"
"Action","Operacja"
"Preview","Podgląd"
"Media Storage","Składowanie mediów"
"Create Folder...","Create Folder..."
"Delete Folder","Usuń folder"
"Delete File","Delete File"
"Insert File","Insert File"
"New Folder Name:","Nazwa nowego folderu:"
"Are you sure you want to delete this folder?","Czy na pewno chcesz usunąć ten folder?"
"Are you sure you want to delete this file?","Czy na pewno chcesz usunąć ten plik?"
"Images (%1)","Obrazki (%1)"
"Storage Root","Baza składowania"
"Home","Strona główna"
"Go to Home Page","Przejdź na stronę główną"
"CMS","CMS"
"You deleted the block.","Usunąłeś blok."
"We can't find a block to delete.","Nie możemy odnaleźć bloku do usunięcia."
"This block no longer exists.","Ten blok już nie istnieje"
"Edit Block","Edytuj blok"
"New Block","Nowy blok"
"Blocks","Bloki"
"Please correct the data sent.","Proszę poprawić wprowadzone dane."
"A total of %1 record(s) have been deleted.","Usunięto %1 rekordów."
"You saved the block.","Blok zapisany."
"Something went wrong while saving the block.","Coś poszło nie tak podczas zapisywania tego bloku"
"The page has been deleted.","Strona została usunięta."
"We can't find a page to delete.","Nie możemy odnaleźć strony do usunięcia."
"This page no longer exists.","Ta strona już nie istnieje"
"Edit Page","Edytuj stronę"
"New Page","Nowa strona"
"Pages","Strony"
"Something went wrong while saving the page.","Coś się zepsuło podczas zapisywania strony."
"A total of %1 record(s) have been disabled.","W sumie %1 rekordy zostały wyłączone."
"A total of %1 record(s) have been enabled.","W sumie %1 rekordy zostały wyłączone."
"Page Title","Tytuł strony"
"To apply changes you should fill in hidden required ""%1"" field","Aby zastosować zmiany należy wypełnić ukryte wymagane pole ""%1"""
"You saved the page.","Strona została zapisana."
