"Static Blocks","સ્થિર વિભાગો"
"Add New Block","નવું બ્લોક ઉમેરો"
"Back","પાછળ"
"Delete Block","કાઢી નાંખો"
"Are you sure you want to do this?","શું તમે ખરેખર આ કરવા માંગો છો?"
"Reset","ફરીથી સેટ કરો"
"Save and Continue Edit","સાચવો અને સંપાદન ચાલુ રાખો"
"Save Block","સેવ બ્લ Blockક"
"ID","આઈ.ડી."
"Title","શીર્ષક"
"Identifier","ઓળખકર્તા"
"Status","સ્થિતિ"
"Disabled","અક્ષમ કરેલ"
"Enabled","સક્ષમ"
"Manage Pages","પાના મેનેજ કરો"
"Add New Page","નવું પૃષ્ઠ ઉમેરો"
"Delete Page","પૃષ્ઠ કાઢી નાખો"
"Save Page","પૃષ્ઠ સાચવો"
"URL Key","URL કી"
"Layout","લેઆઉટ"
"Store View","દુકાન દૃશ્ય"
"Created","બનાવ્યું"
"Modified","સંશોધિત"
"Action","ક્રિયા"
"Preview","પૂર્વાવલોકન"
"Media Storage","મીડિયા સ્ટોરેજ"
"Create Folder...","ફોલ્ડર બનાવો ..."
"Delete Folder","ફોલ્ડર કાઢી નાખો"
"Delete File","ફાઇલ કાઢી નાખો"
"Insert File","ફાઇલ દાખલ કરો"
"New Folder Name:","નવું ફોલ્ડર નામ:"
"Are you sure you want to delete this folder?","શું તમે ખરેખર આ ફોલ્ડરને કાઢી નાખવા માંગો છો?"
"Are you sure you want to delete this file?","શું તમે ખરેખર આ ફાઇલને કાઢી નાખવા માંગો છો?"
"Images (%1)","છબીઓ (%1)"
"Storage Root","સ્ટોરેજ રુટ"
"Home","ખેર"
"Go to Home Page","હોમ પેજ પર જાઓ"
"CMS","સી.એમ.એસ."
"You deleted the block.","તમે બ્લોક કાઢી નાખ્યું."
"We can't find a block to delete.","કાઢી નાખવા માટે અમને કોઈ અવરોધ મળી શક્યો નથી."
"This block no longer exists.","આ બ્લોક હવે અસ્તિત્વમાં નથી."
"Edit Block","ફેરફાર કરો અવરોધિત કરો"
"New Block","નવો અવરોધ"
"Blocks","બ્લોક્સ"
"Please correct the data sent.","મોકલેલો ડેટા ઠીક કરો."
"A total of %1 record(s) have been deleted.","કુલ %1 રેકોર્ડ (ઓ) કાઢી નાખવામાં આવ્યા છે."
"You saved the block.","તમે બ્લોક સાચવ્યું."
"Something went wrong while saving the block.","બ્લોક સાચવતી વખતે કંઈક ખોટું થયું."
