"Static Blocks","ස්ථිතික බ්ලොක්"
"Add New Block","නව බ්ලොක් එක් කරන්න"
"Back","ආපසු"
"Delete Block","අවහිර කිරීම මකන්න"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Reset","Reset"
"Save and Continue Edit","Save and Continue Edit"
"Save Block","Save Block"
"ID","හැඳුනුම්පත"
"Title","ශීර්ෂය"
"Identifier","හඳුනාගැනීම"
"Status","තත්ත්වය"
"Disabled","ආබාධිතයි"
"Enabled","සබල කර ඇත"
"Manage Pages","පිටු කළමනාකරණය කරන්න"
"Add New Page","නව පිටුවක් එක් කරන්න"
"Delete Page","පිටුව මකන්න"
"Save Page","පිටුව සුරකින්න"
"URL Key","URL යතුර"
"Layout","පිරිසැලසුම"
"Store View","ගබඩා දර්ශනය"
"Created","නිර්මාණය කළා"
"Modified","වෙනස් කර ඇත"
"Action","කටයුතු"
"Preview","පෙරදසුන"
"Media Storage","මාධ්ය ගබඩාව"
"Create Folder...","Create Folder..."
"Delete Folder","ෆෝල්ඩරය මකන්න"
"Delete File","Delete File"
"Insert File","Insert File"
"New Folder Name:","නව ෆෝල්ඩර නම:"
"Are you sure you want to delete this folder?","ඔබට මෙම ෆෝල්ඩරය මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure you want to delete this file?","ඔබට මෙම ගොනුව මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Images (%1)","පින්තූර (%1)"
"Storage Root","ගබඩා මූල"
"Home","නිවස"
"Go to Home Page","මුල් පිටුවට යන්න"
"CMS","CMS"
"You deleted the block.","ඔබ අවහිර කිරීම මකා දැමුවා."
"We can't find a block to delete.","අපට මැකීමට අවහිරයක් සොයාගත නොහැක."
"This block no longer exists.","මෙම අවහිරය තවදුරටත් නොපවතී."
"Edit Block","බ්ලොක් සංස්කරණය කරන්න"
"New Block","නව බ්ලොක්"
"Blocks","කුට්ටි"
"Please correct the data sent.","කරුණාකර යවන ලද දත්ත නිවැරදි කරන්න."
"A total of %1 record(s) have been deleted.","මුළු වාර්තා(ය) %1 ක් මකා ඇත."
"You saved the block.","ඔබ බ්ලොක් එක සුරැකුවා."
"Something went wrong while saving the block.","බ්ලොක් එක සුරැකීමේදී යමක් වැරදී ඇත."
"The page has been deleted.","පිටුව මකා ඇත."
"We can't find a page to delete.","අපට මැකීමට පිටුවක් සොයාගත නොහැක."
"This page no longer exists.","මෙම පිටුව තවදුරටත් නොපවතී."
"Edit Page","පිටුව සංස්කරණය කරන්න"
"New Page","නව පිටුව"
"Pages","පිටු"
"Something went wrong while saving the page.","පිටුව සුරැකීමේදී යමක් වැරදී ඇත."
"A total of %1 record(s) have been disabled.","මුළු වාර්තා(ය) %1 ක් අබල කර ඇත."
"A total of %1 record(s) have been enabled.","මුළු වාර්තා(ය) %1 ක් සබල කර ඇත."
"Page Title","පිටු මාතෘකාව"
"To apply changes you should fill in hidden required ""%1"" field","වෙනස්කම් යෙදීමට ඔබ සැඟවුණු අවශ්‍ය ""%1"" ක්ෂේත්‍රය පිරවිය යුතුය"
"You saved the page.","ඔබ පිටුව සුරකින ලදී."
"Directory %1 is not under storage root path.","නාමාවලිය %1 ගබඩා මූල මාර්ගය යටතේ නොවේ."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","ස්ථිතික බ්ලොක් අන්තර්ගතය බ්ලොක් එකටම යොමු නොවන බවට වග බලා ගන්න."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","පෙරනිමියෙන් සක්රිය කර ඇත"
"Disabled by Default","පෙරනිමියෙන් අබල කර ඇත"
"Disabled Completely","සම්පූර්ණයෙන්ම ආබාධිතයි"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","මෙම හඳුනාගැනීම වින්‍යාසය තුළ ""CMS No Route Page"" සඳහා වෙන් කර ඇත."
"This identifier is reserved for ""CMS Home Page"" in configuration.","මෙම හඳුනාගැනීම වින්‍යාසය තුළ ""CMS මුල් පිටුව"" සඳහා වෙන් කර ඇත."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","මෙම හඳුනාගැනීම වින්‍යාසය තුළ ""CMS No Cookies Page"" සඳහා වෙන් කර ඇත."
"Could not save the page: %1","පිටුව සුරැකීමට නොහැකි විය: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","පිටුව මැකීමට නොහැකි විය: %1"
"A block identifier with the same properties already exists in the selected store.","තෝරාගත් ගබඩාවේ එකම ගුණාංග සහිත බ්ලොක් හැඳුනුම්කාරකයක් දැනටමත් පවතී."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","එකම නම සහිත නාමාවලියක් අපට හමු විය. කරුණාකර වෙනත් ෆෝල්ඩර නමක් උත්සාහ කරන්න."
"We cannot create a new directory.","අපට නව නාමාවලියක් සෑදිය නොහැක."
"We cannot delete directory %1.","අපට නාමාවලිය %1මකා දැමිය නොහැක."
"We can't upload the file right now.","අපට දැන් ගොනුව උඩුගත කළ නොහැක."
"We can't delete root directory %1 right now.","අපට දැන් root බහලුම %1 මකා දැමිය නොහැක."
"Privacy and Cookie Policy","පුද්ගලිකත්වය සහ කුකී ප්‍රතිපත්තිය"
"Error message","දෝෂ පණිවිඩය"
"LocalizedException","LocalizedException"
"RuntimeException","RuntimeException"
"Exception","Exception"
"Could not create a directory.","නාමාවලියක් සෑදීමට නොහැකි විය."
"Edit","සංස්කරණය කරන්න"
"Delete","මකන්න"
"Delete %1","%1මකන්න"
"Are you sure you want to delete a %1 record?","ඔබට %1 වාර්තාවක් මැකීමට අවශ්‍ය බව විශ්වාසද?"
"All Store Views","සියලුම ගබඩා දර්ශන"
"View","දැක්ම"
"px.","px."
"No files found","ගොනු හමු නොවීය"
"Browse Files...","Browse Files..."
"Collapse All","සියල්ල හකුලන්න"
"Expand All","සියල්ල පුළුල් කරන්න"
"We could not detect a size.","We could not detect a size."
"Media Gallery","මාධ්ය ගැලරිය"
"Content Management","අන්තර්ගත කළමනාකරණය"
"CMS Home Page","CMS මුල් පිටුව"
"CMS No Route Page","CMS මාර්ග පිටුවක් නැත"
"CMS No Cookies Page","CMS පිටුව කුකීස් නැත"
"Show Breadcrumbs for CMS Pages","CMS පිටු සඳහා Breadcrumbs පෙන්වන්න"
"Browser Capabilities Detection","බ්‍රව්සර් හැකියාවන් හඳුනාගැනීම"
"Redirect to CMS-page if Cookies are Disabled","කුකීස් අක්‍රිය කර ඇත්නම් CMS පිටුවට හරවා යවන්න"
"Show Notice if JavaScript is Disabled","JavaScript අක්‍රිය කර ඇත්නම් දැනුම්දීම පෙන්වන්න"
"Show Notice if Local Storage is Disabled","දේශීය ආචයනය අක්‍රිය කර ඇත්නම් දැනුම්දීම පෙන්වන්න"
"WYSIWYG Options","WYSIWYG විකල්ප"
"Enable WYSIWYG Editor","WYSIWYG සංස්කාරකය සබල කරන්න"
"CMS Page Link","CMS පිටු සබැඳිය"
"Link to a CMS Page","CMS පිටුවකට සම්බන්ධ කරන්න"
"CMS Page","CMS පිටුව"
"Select Page...","පිටුව තෝරන්න..."
"Anchor Custom Text","ඇන්කර් අභිරුචි පෙළ"
"If empty, the Page Title will be used","හිස් නම්, පිටු මාතෘකාව භාවිතා වේ"
"Anchor Custom Title","නැංගුරම් අභිරුචි මාතෘකාව"
"Template","සැකිල්ල"
"CMS Page Link Block Template","CMS පිටු සබැඳි බ්ලොක් අච්චුව"
"CMS Page Link Inline Template","CMS පිටු සබැඳි පේළිගත අච්චුව"
"CMS Static Block","CMS ස්ථිතික බ්ලොක්"
"Contents of a Static Block","ස්ථිතික බ්ලොක් එකක අන්තර්ගතය"
"Block","අවහිර කරන්න"
"Select Block...","අවහිර කරන්න..."
"CMS Static Block Default Template","CMS ස්ථිතික බ්ලොක් පෙරනිමි සැකිල්ල"
"General Information","සාමාන්ය තොරතුරු"
"Enable Block","අවහිර කිරීම සබල කරන්න"
"Block Title","වාරණ මාතෘකාව"
"Are you sure you want to delete selected items?","ඔබට තෝරාගත් අයිතම මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Delete items","අයිතම මකන්න"
"Page Information","පිටු තොරතුරු"
"Enable Page","පිටුව සබල කරන්න"
"Content","අන්තර්ගතය"
"Content Heading","අන්තර්ගත ශීර්ෂය"
"Search Engine Optimization","සෙවුම් යන්ත්‍ර ප්‍රශස්තකරණය"
"Meta Title","මෙටා මාතෘකාව"
"Meta Keywords","මෙටා මූල පද"
"Meta Description","මෙටා විස්තරය"
"Page in Websites","වෙබ් අඩවි වල පිටුව"
"Design","නිර්මාණ"
"Layout Update XML","පිරිසැලසුම යාවත්කාලීන XML"
"Custom Design Update","අභිරුචි නිර්මාණ යාවත්කාලීන කිරීම"
"From","සිට"
"To","වෙත"
"New Theme","නව තේමාව"
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"New Layout","නව පිරිසැලසුම"
"Disable","අක්රිය කරන්න"
"Enable","සබල කරන්න"
"Custom design from","සිට අභිරුචි නිර්මාණය"
"Custom design to","අභිරුචි නිර්මාණය"
"Custom Theme","අභිරුචි තේමාව"
"Custom Layout","අභිරුචි පිරිසැලසුම"
"Edit Block '%1'","Edit Block '%1'"
"Block Information","Block Information"
"Edit Page '%1'","Edit Page '%1'"
"Page Layout","Page Layout"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout Update XML","Custom Layout Update XML"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
"Keywords","Keywords"
"Description","Description"
"You saved this page.","You saved this page."
"Could not create directory.","Could not create directory."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Details","Details"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"File validation failed.","ගොනු වලංගු කිරීම අසාර්ථක විය."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Search Engine Optimisation"
"Save","සුරකින්න"
"Save & Duplicate","සුරකින්න සහ අනුපිටපත් කරන්න"
"Save & Close","සුරකින්න සහ වසන්න"
"Cancel","අවලංගු කරන්න"
"Delete Selected","තෝරාගත් මකන්න"
"Create Folder","ෆෝල්ඩරය නිර්මාණය"
"Add Selected","තෝරාගත් එකතු කරන්න"
"You duplicated the block.","ඔබ බ්ලොක් එක අනුපිටපත් කළා."
"You duplicated the page.","ඔබ පිටුව අනුපිටපත් කර ඇත."
"The CMS block with the ""%1"" ID doesn't exist.","""%1"" ID සහිත CMS අවහිරය නොපවතී."
"The CMS page with the ""%1"" ID doesn't exist.","""%1"" ID සහිත CMS පිටුව නොපවතී."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","පිටු URL යතුරට ලොකු අකුරු හෝ අවසර නැති සංකේත භාවිතා කළ නොහැක. අකුරු සහ සංකේත ඉවත් කර නැවත උත්සාහ කරන්න."
"The page URL key can't use only numbers. Add letters or words and try again.","පිටු URL යතුරට අංක පමණක් භාවිත කළ නොහැක. අකුරු හෝ වචන එකතු කර නැවත උත්සාහ කරන්න."
"Upload Images","පින්තූර උඩුගත කරන්න"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","පෙරනිමි පිටු පිරිසැලසුම"
"WYSIWYG Editor","WYSIWYG සංස්කාරකය"
