"Static Blocks","Статични блокове"
"Add New Block","Добави нов блок"
"Back","Обратно"
"Delete Block","Изтрий блока"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"ID","ИД"
"Title","Заглавиe"
"Identifier","Идентификатор"
"Status","Статус"
"Disabled","Забранен"
"Enabled","Активиран"
"Manage Pages","Управление на страниците"
"Add New Page","Добави нова страница"
"Delete Page","Изтрий страница"
"URL Key","URL ключ"
"Layout","Оформление"
"Store View","Изглед на магазина"
"Created","Създаден:"
"Modified","Модифициран"
"Action","Действие"
"Preview","преглед"
"Media Storage","Медия склад"
"Cancel","Cancel"
"Delete Folder","Изтриване на папката"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"New Folder Name:","Ново име на папка:"
"Are you sure you want to delete this folder?","Наистина ли искате да изтриете тази папка?"
"Are you sure you want to delete this file?","Наистина ли искате да изтриете този файл?"
"Images (%1)","Изображения (%1)"
"Storage Root","Основен склад"
"The CMS block with identifier ""%identifier"" is not enabled.","The CMS block with identifier ""%identifier"" is not enabled."
"Home","Основна страница"
"Go to Home Page","Отиди на основата страница"
"CMS","CMS"
"You deleted the block.","Изтрихте блока."
"We can't find a block to delete.","Не може да намери блок за изтриване."
"This block no longer exists.","Този блок вече не съществува."
"Edit Block","Промени блока"
"New Block","Нов блок"
"Blocks","Блокове"
"Please correct the data sent.","Моля коригирайте изпратените данни."
"A total of %1 record(s) have been deleted.","Общо %1 записи са били изтрити."
"You saved the block.","Запазихте блока."
"Something went wrong while saving the block.","Нещо се обърка докато запазвахте блока."
"You duplicated the block.","Дублирахте блока."
"The page has been deleted.","Страницата е изтрита."
"We can't find a page to delete.","Не можем да намерим страница за изтриване."
"This page no longer exists.","Тази страница не съществува."
"Edit Page","Промени страницата"
"New Page","Нова страница"
"Pages","Страници"
"Something went wrong while saving the page.","Нещо се обърка докато запазвахте страницата."
"A total of %1 record(s) have been disabled.","Сума от %1 запис(и) са изключени."
"A total of %1 record(s) have been enabled.","Сума от %1 запис(и) са включени."
"Page Title","Заглавие на страницата"
"To apply changes you should fill in hidden required ""%1"" field","За да приложите промените трябва да попълните скритото ""%1"" поле"
"You saved the page.","Запазихте страницата."
"You duplicated the page.","Дублирахте страницата."
"Wrong request.","Wrong request."
"Directory %1 is not under storage root path.","Директория %1 is not under storage root path."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Can't create %1 as subdirectory of %2, you might have some permission issue."
"Make sure that static block content does not reference the block itself.","Make sure that static block Съдържание does not reference the block itself."
"Content field contains restricted HTML elements. %1","Content field contains restricted HTML elements. %1"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"Enabled by Default","Позволи по подразбиране"
"Disabled by Default","Непозволи по подразбиране"
"Disabled Completely","Напълно забрани"
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Идентификатора е резервиран за ""CMS No Route Page"" в конфигурацията."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Идентификатора е резервиран за ""CMS Home Page"" в конфигурацията."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Идентификатора е резервиран за ""CMS No Cookies Page"" в конфигурацията."
"Content HTML contains restricted elements. %1","Content HTML contains restricted elements. %1"
"You are not allowed to change CMS pages design settings","You are not allowed to change CMS pages design settings"
"Invalid Custom Layout Update selected","Invalid Custom Layout Update selected"
"Page ""%id"" doesn't have custom layout assigned","Page ""%id"" doesn't have custom layout assigned"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Не може да запази страницата: %1"
"Could not delete the page: %1","Не може да изтриете страница: %1"
"The value specified in the URL Key field would generate a URL that already exists.","The value specified in the URL Key field would generate a URL that already exists."
"Required field ""%1"" is empty.","Required field ""%1"" is empty."
"Layout update is invalid","Layout update is invalid"
"Custom layout update is invalid","Custom layout update is invalid"
"A block identifier with the same properties already exists in the selected store.","Блок идентификатор със същите свойства вече съществува в избрания магазин."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","Намерихме директория със същото име. Моля пробвайте дурго име за папката."
"We cannot create a new directory.","Не можем да създадем нова директория."
