"Static Blocks","Bloques estáticos"
"Add New Block","Agregar nuevo bloque"
"Back","Volver"
"Delete Block","Eliminar bloque"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Reset","Restablecer"
"Save and Continue Edit","Guardar y continuar editando"
"Save Block","Guardar bloque"
"ID","Número de Identificación (ID)"
"Title","Título"
"Identifier","Identificador"
"Status","Estado"
"Disabled","Deshabilitado"
"Enabled","Habilitado"
"Manage Pages","Administrar páginas"
"Add New Page","Añadir nueva página"
"Delete Page","Eliminar página"
"Save Page","Guardar página"
"URL Key","Clave de enlace"
"Layout","Diseño"
"Store View","Vista de la tienda"
"Created","Creado"
"Modified","Modificado"
"Action","Acción"
"Preview","Vista previa"
"Media Storage","Almacenamiento de medios"
"Create Folder...","Crear carpeta..."
"Delete Folder","Eliminar carpeta"
"Delete File","Eliminar archivo"
"Insert File","Insertar archivo"
"New Folder Name:","Nuevo nombre de carpeta:"
"Are you sure you want to delete this folder?","¿Está seguro que desea eliminar este archivo?"
"Are you sure you want to delete this file?","¿Está seguro que desea eliminar este archivo?"
"Images (%1)","Imágenes (%1)"
"Storage Root","Raíz de almacenamiento"
"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"CMS","CMS"
"You deleted the block.","Ha eliminado el bloque."
"We can't find a block to delete.","No podemos encontrar un bloque para eliminarlo."
"This block no longer exists.","Este bloque ya no existe."
"Edit Block","Editar bloque"
"New Block","Nuevo bloque"
"Blocks","Bloques"
"Please correct the data sent.","Por favor, corrija los datos enviados."
"A total of %1 record(s) have been deleted.","Un total de %1 registro(s) han sido borrados."
"You saved the block.","Ha guardado el bloque."
"You duplicated the block.","Se duplicó el bloque."
"Something went wrong while saving the block.","Algo salió mal al guardar el bloque."
"The page has been deleted.","La página se ha eliminado."
"We can't find a page to delete.","No podemos encontrar una página para eliminarla."
"This page no longer exists.","Esta página ya no existe."
"Edit Page","Editar página"
"New Page","Nueva Página"
"Pages","Páginas"
"Something went wrong while saving the page.","Algo salió mal al guardar la página."
"A total of %1 record(s) have been disabled.","Un total de %1 registro(s) han sido desactivado(s)."
"A total of %1 record(s) have been enabled.","Un total de %1 registro(s) han sido activado(s)."
"Page Title","Título de página"
"To apply changes you should fill in hidden required ""%1"" field","Para aplicar los cambios hay que rellenar el campo oculto requerido ""%1"""
"You saved the page.","Ha guardado la página."
"You duplicated the page.","Se duplicó la página."
"The directory %1 is not writable by server.","El directorio %1 no es escribible por el servidor."
"Make sure that static block content does not reference the block itself.","Asegúrese de que contenido de bloque estático no hace referencia el propio bloque."
"CMS Block with id ""%1"" does not exist.","Bloque de CMS con el id ""%1"" no existe."
"Enabled by Default","Activado por defecto"
"Disabled by Default","Deshabilitado por defecto"
"Disabled Completely","Totalmente desactivado"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Este identificador está reservado para ""CMS Página no Ruta"" en la configuración."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Este identificador está reservado para ""CMS Página de inicio"" en la configuración."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Este identificador está reservado para""CMS Pagina No Cookies"" en configuración."
"Could not save the page: %1","No se pueden guardar la página: %1"
"CMS Page with id ""%1"" does not exist.","Página de CMS con el id ""%1"" no existe."
"Could not delete the page: %1","No se puede eliminar la página: %1"
"A block identifier with the same properties already exists in the selected store.","Un identificador de bloque con las mismas propiedades ya existe en el almacén seleccionado."
"The page URL key contains capital letters or disallowed symbols.","La clave URL de la página contiene letras mayúsculas o símbolos no permitidos."
"The page URL key cannot be made of only numbers.","La clave URL de la página no puede ser de sólo números."
"Please rename the folder using only letters, numbers, underscores and dashes.","Por favor cambiar el nombre de la carpeta usando sólo letras, números, guiones bajos y guiones."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
