"Static Blocks","Blok Statisv"
"Add New Block","Tambahkan Blok Baru"
"Back","Kembali"
"Delete Block","Hapus Blokir"
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"ID","Id"
"Title","Judul"
"Identifier","Pengenal"
"Status","Subjek"
"Disabled","Dinonaktifkan"
"Enabled","Diaktifkan"
"Manage Pages","Kelola Laman"
"Add New Page","Tambah Halaman Baru"
"Delete Page","Hapus Halaman"
"URL Key","Kunci URL"
"Layout","Layout"
"Store View","Tampilan toko"
"Created","Dibuat"
"Modified","Diubah"
"Action","Tindakan"
"Preview","Pratinjau"
"Media Storage","Penyimpanan media"
"Cancel","Cancel"
"Delete Folder","Hapus Folder"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"New Folder Name:","Nama Folder Baru:"
"Are you sure you want to delete this folder?","Anda yakin ingin menghapus folder ini?"
"Are you sure you want to delete this file?","Yakin ingin menghapus file ini?"
"Images (%1)","Gambar (%1)"
"Storage Root","Penyimpanan root"
"The CMS block with identifier ""%identifier"" is not enabled.","The CMS block with identifier ""%identifier"" is not enabled."
"Home","Rumah"
"Go to Home Page","Buka Halaman Depan"
"CMS","CMS"
"You deleted the block.","Anda menghapus bloknya."
"We can't find a block to delete.","Kami tidak dapat menemukan blok untuk menghapusnya."
"This block no longer exists.","Blok ini sudah tidak ada lagi."
"Edit Block","Edit Blokir"
"New Block","Blok baru"
"Blocks","Blok"
"Please correct the data sent.","Perbaiki data yang dikirim."
"A total of %1 record(s) have been deleted.","Total %1 Record telah dihapus."
"You saved the block.","Anda menyimpan blok itu."
"Something went wrong while saving the block.","Ada yang tidak beres saat menyimpan blok itu."
"You duplicated the block.","You duplicated the block."
"The page has been deleted.","Halaman telah dihapus"
"We can't find a page to delete.","Kami Tidak Menemukan Laman yang akan dihapus."
"This page no longer exists.","Halaman ini sudah tidak ada lagi."
"Edit Page","Edit Halaman"
"New Page","Halaman baru"
"Pages","halaman"
"Something went wrong while saving the page.","Ada yang tidak beres saat menyimpan halaman."
"A total of %1 record(s) have been disabled.","Total dari %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","Total dari %1 catatan telah diaktifkan"
"Page Title","Judul halaman"
"To apply changes you should fill in hidden required ""%1"" field","Untuk menerapkan perubahan Anda harus mengisi kolom ""% 1"" yang disembunyikan"
"You saved the page.","Anda menyimpan halaman."
"You duplicated the page.","You duplicated the page."
"Wrong request.","Wrong request."
