"Static Blocks","Statische Blöcke"
"Add New Block","Neuen Block hinzufügen"
"Back","Zurück"
"Delete Block","Block löschen"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Reset","Reset"
"Save and Continue Edit","Save and Continue Edit"
"Save Block","Save Block"
"ID","Id"
"Title","Titel"
"Identifier","Bezeichner"
"Status","Status"
"Disabled","Deaktiviert"
"Enabled","Aktiviert"
"Manage Pages","Seiten"
"Add New Page","Neue Seite hinzufügen"
"Delete Page","Seite löschen"
"Save Page","Seite speichern"
"URL Key","URL-Bezeichner"
"Layout","Layout"
"Store View","Store View"
"Created","Erstellt"
"Modified","Geändert"
"Action","Aktion"
"Preview","Vorschau"
"Media Storage","Medienspeicher"
"Create Folder...","Create Folder..."
"Delete Folder","Ordner löschen"
"Delete File","Delete File"
"Insert File","Insert File"
"New Folder Name:","Neuer Ordner-Name:"
"Are you sure you want to delete this folder?","Sind Sie sicher, dass Sie diesen Ordner löschen möchten?"
"Are you sure you want to delete this file?","Sind Sie sicher, dass Sie diese Datei löschen möchten?"
"Images (%1)","Bilder (%1)"
"Storage Root","Hauptverzeichnis des Speichers"
"Home","Startseite"
"Go to Home Page","Zur Startseite"
"CMS","CMS"
"You deleted the block.","Sie haben den Block gelöscht."
"We can't find a block to delete.","Wir können keinen Block zum löschen finden."
"This block no longer exists.","Dieser Block ist nicht mehr vorhanden."
"Edit Block","Block bearbeiten"
"New Block","Neuer Block"
"Blocks","Blöcke"
"Please correct the data sent.","Bitte korrigieren Sie die gesendeten Daten."
"A total of %1 record(s) have been deleted.","Insgesamt wurden %1 Einträge gelöscht."
"You saved the block.","Sie haben den Block gespeichert."
"Something went wrong while saving the block.","Beim Speichern des Blocks ist etwas schief gegangen."
"The page has been deleted.","Die Seite wurde gelöscht."
"We can't find a page to delete.","Wir können keine Seite zum löschen finden."
"This page no longer exists.","Diese Seite existiert nicht mehr."
"Edit Page","Seite bearbeiten"
"New Page","Neue Seite"
"Pages","Seiten"
"Something went wrong while saving the page.","Beim Speichern der Seite ging etwas schief."
"A total of %1 record(s) have been disabled.","Insgesamt wurden %1 Einträge deaktiviert."
"A total of %1 record(s) have been enabled.","Insgesamt wurden %1 Einträge aktiviert."
"Page Title","Seiten Titel"
"To apply changes you should fill in hidden required ""%1"" field","Um die Änderungen zu übernehmen, muss das versteckte Feld ""%1"" ausgefüllt werden"
"You saved the page.","Sie haben die Seite gespeichert."
"Directory %1 is not under storage root path.","Verzeichnis %1 ist nicht unter dem Storage Root-Pfad."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","Stellen Sie sicher, dass statischer Blockinhalt nicht auf den Block selbst verweist."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","Standardmäßig aktiviert"
"Disabled by Default","Standardmäßig deaktiviert"
"Disabled Completely","Komplett deaktiviert"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Dieser Bezeichner ist reserviert für ""CMS No Route Seite"" in der Konfiguration."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Dieser Bezeichner ist reserviert für ""CMS Homepage"" in der Konfiguration."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Dieser Bezeichner ist reserviert für ""CMS keine Cookies Seite"" in der Konfiguration."
"Could not save the page: %1","Die Seite konnte nicht gespeichert werden: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Die Seite konnte nicht gelöscht werden: %1"
"A block identifier with the same properties already exists in the selected store.","Ein Blockbezeichner mit den selben Einstellungen existiert für den ausgewählten Store bereits."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","Wir fanden ein Verzeichnis mit demselben Namen. Bitte versuchen Sie einen anderen Ordnernamen."
"We cannot create a new directory.","Wir können kein neues Verzeichnis erstellen."
"We cannot delete directory %1.","Verzeichnis %1 kann nicht gelöscht werden."
"We can't upload the file right now.","Die Datei kann nicht hochgeladen werden."
"We can't delete root directory %1 right now.","Stammverzeichnis %1 kann momentan nicht gelöscht werden."
"Privacy and Cookie Policy","Datenschutz- und Cookie-Richtlinie"
"Error message","Error message"
"LocalizedException","LocalizedException"
"RuntimeException","RuntimeException"
"Exception","Exception"
"Could not create a directory.","Verzeichnis konnte nicht erstellt werden."
"Edit","Bearbeiten"
"Delete","Löschen"
"Delete %1","%1 löschen"
"Are you sure you want to delete a %1 record?","Sind Sie sicher, dass Sie den Datensatz %1 löschen möchten?"
"All Store Views","Alle Store Views"
"View","Anzeigen"
"px.","px."
"No files found","Keine Dateien gefunden"
"Browse Files...","Browse Files..."
"Collapse All","Alle zuklappen"
"Expand All","Alle aufklappen"
"We could not detect a size.","We could not detect a size."
"Media Gallery","Mediengalerie"
"Content Management","Inhaltsverwaltung"
"CMS Home Page","CMS Startseite"
"CMS No Route Page","CMS keine Route-Seite (Fehler 404)"
"CMS No Cookies Page","Seite bei deaktivierten Cookies"
"Show Breadcrumbs for CMS Pages","Brotkrumen-Navigation für CMS-Seiten"
"Browser Capabilities Detection","Browser-Ressourcenerkennung"
"Redirect to CMS-page if Cookies are Disabled","Zur CMS-Seite weiterleiten, wenn Cookies deaktiviert sind."
"Show Notice if JavaScript is Disabled","Hinweis zeigen, wenn JavaScript deaktiviert ist"
"Show Notice if Local Storage is Disabled","Zeige Hinweis an, wenn der Local-Storage deaktiviert ist"
"WYSIWYG Options","WYSIWYG Optionen"
"Enable WYSIWYG Editor","WYSIWYG Editor aktivieren"
"CMS Page Link","CMS-Seitenlink"
"Link to a CMS Page","Link zu einer CMS-Seite"
"CMS Page","CMS-Seite"
"Select Page...","Wählen Sie die Seite..."
"Anchor Custom Text","Individueller Anker Text"
"If empty, the Page Title will be used","Falls leer, wird der Seitentitel verwendet"
"Anchor Custom Title","Individueller Link-Text"
"Template","Vorlage"
"CMS Page Link Block Template","CMS-Seitenlink - Blockvorlage"
"CMS Page Link Inline Template","CMS-Seitenlink - Inlinevorlage"
"CMS Static Block","Statischer Block"
"Contents of a Static Block","Inhalte eines statischen Blocks"
"Block","Block"
"Select Block...","Block wählen..."
"CMS Static Block Default Template","Statischer Block - Standardvorlage"
"General Information","Allgemeine Information"
"Enable Block","Block aktivieren"
"Block Title","Block-Titel"
"Are you sure you want to delete selected items?","Sind Sie sicher, dass Sie die gewählten Einträge löschen möchten?"
"Delete items","Elemente löschen"
"Page Information","Seiteninformationen"
"Enable Page","Seite aktivieren"
"Content","Inhalt"
"Content Heading","Seiten-Überschrift"
"Search Engine Optimization","Suchmaschinenoptimierung"
"Meta Title","Meta Titel"
"Meta Keywords","Meta-Schlüsselwörter"
"Meta Description","Meta-Beschreibung"
"Page in Websites","Seite in Webseiten"
"Design","Design"
"Layout Update XML","Layout Aktualisierung XML"
"Custom Design Update","Eigenes Design-Update"
"From","Von"
"To","Bis"
"New Theme","Neues Thema"
"-- Please Select --","-- Bitte wählen --"
"New Layout","Neues Layout"
"Disable","Deaktivieren"
"Enable","Aktivieren"
"Custom design from","Eigenes Design ab"
"Custom design to","Eigenes Design bis"
"Custom Theme","Benutzerdefiniertes Thema"
"Custom Layout","Benutzerdefiniertes Layout"
"Edit Block '%1'","Edit Block '%1'"
"Block Information","Block Information"
"Edit Page '%1'","Edit Page '%1'"
"Page Layout","Page Layout"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout Update XML","Custom Layout Update XML"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
"Keywords","Keywords"
"Description","Description"
"You saved this page.","You saved this page."
"Could not create directory.","Could not create directory."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Details","Details"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"File validation failed.","File validation failed."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Search Engine Optimisation"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Cancel","Cancel"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"You duplicated the block.","Sie haben den Block dupliziert."
"You duplicated the page.","Sie haben die Seite dupliziert."
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Upload Images","Upload Images"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Standard Seiten-Layout"
"WYSIWYG Editor","WYSIWYG Editor"
