"Attribute Properties","ගුණාංග ගුණාංග"
"Default Label","පෙරනිමි ලේබලය"
"Default label","පෙරනිමි ලේබලය"
"Attribute Code","ගුණාංග කේතය"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","මෙය අභ්යන්තරව භාවිතා වේ. ඔබ හිස්තැන් හෝ සංකේත %1 කට වඩා භාවිතා නොකරන බවට වග බලා ගන්න."
"Catalog Input Type for Store Owner","ගබඩා හිමිකරු සඳහා නාමාවලි ආදාන වර්ගය"
"Values Required","අවශ්ය අගයන්"
"Default Value","පෙරනිමි අගය"
"Unique Value","අද්විතීය වටිනාකම"
"Unique Value (not shared with other products)","අද්විතීය අගය (වෙනත් නිෂ්පාදන සමඟ බෙදා නොගනී)"
"Not shared with other products.","වෙනත් නිෂ්පාදන සමඟ බෙදා නොගනී."
"Input Validation for Store Owner","ගබඩා හිමිකරු සඳහා ආදාන වලංගුකරණය"
"Required","අවශ්යයි"
"Yes","ඔව්"
"No","නැත"
"System","පද්ධතිය"
"None","කිසිවක් නැත"
"Decimal Number","දශම අංකය"
"Integer Number","නිඛිල අංකය"
"Email","විද්යුත් තැපෑල"
"URL","URL"
"Letters","ලිපි"
"Letters (a-z, A-Z) or Numbers (0-9)","අකුරු (az, AZ) හෝ අංක (0-9)"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","පෙළ සංස්කාරක ආදාන වර්ගය සඳහා වෙළඳසැල් > වින්‍යාස කිරීම > අන්තර්ගත කළමනාකරණය තුළ WYSIWYG සබල කිරීම අවශ්‍ය වේ."
"Input type ""%value%"" not found in the input types list.","ආදාන වර්ගය ""%value%"" ආදාන වර්ග ලැයිස්තුවේ හමු නොවේ."
"Attribute object is undefined","ගුණාංග වස්තුව නිර්වචනය කර නොමැත"
"Entity object is undefined","ආයතන වස්තුව නිර්වචනය කර නොමැත"
"""%1"" invalid type entered.","""%1"" අවලංගු වර්ගය ඇතුළත් කර ඇත."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" හි අකාරාදී නොවන හෝ සංඛ්‍යාත්මක නොවන අක්ෂර අඩංගු වේ."
"""%1"" is an empty string.","""%1"" යනු හිස් තන්තුවකි."
"""%1"" contains non-numeric characters.","""%1"" හි සංඛ්‍යාත්මක නොවන අක්ෂර අඩංගු වේ."
"""%1"" contains non-alphabetic characters.","""%1"" හි අකාරාදී නොවන අක්ෂර අඩංගු වේ."
"""%1"" is not a valid email address.","""%1"" වලංගු ඊමේල් ලිපිනයක් නොවේ."
"""%1"" is not a valid hostname.","""%1"" වලංගු සත්කාරක නාමයක් නොවේ."
"""%1"" uses too many characters.","""%1"" බොහෝ අක්ෂර භාවිතා කරයි."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' IP ලිපිනයක් මෙන් පෙනේ, එය පිළිගත හැකි ආකෘතියක් නොවේ."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' DNS සත්කාරක නාමයක් මෙන් පෙනෙන නමුත් වලංගු නොවන ස්ථානයක ඉරක් අඩංගු වේ."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' ඩීඑන්එස් සත්කාරක නාමයක් මෙන් පෙනෙන නමුත් අපට එය TLD '%tld%' සඳහා වන සත්කාරක නාම යෝජනා ක්‍රමය සමඟ සැසඳිය නොහැක."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' DNS සත්කාරක නාමයක් මෙන් පෙනෙන නමුත් TLD කොටස උපුටා ගත නොහැක."
"'%value%' does not look like a valid local network name.","'%value%' වලංගු දේශීය ජාල නාමයක් ලෙස නොපෙනේ."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' දේශීය ජාල නාමයක් මෙන් පෙනේ, එය පිළිගත හැකි ආකෘතියක් නොවේ."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' DNS සත්කාරක නාමයක් ලෙස පෙනේ, නමුත් ලබා දී ඇති punycode අංකනය විකේතනය කළ නොහැක."
"""%1"" is not a valid URL.","""%1"" වලංගු URL එකක් නොවේ."
"""%1"" is not a valid date.","""%1"" වලංගු දිනයක් නොවේ."
"""%1"" does not fit the entered date format.","""%1"" ඇතුළත් කළ දින ආකෘතියට නොගැලපේ."
"""%1"" is a required value.","""%1"" යනු අවශ්‍ය අගයකි."
"Please enter a valid date between %1 and %2 at %3.","කරුණාකර %3ට %1 සහ %2 අතර වලංගු දිනයක් ඇතුළත් කරන්න."
"Please enter a valid date equal to or greater than %1 at %2.","කරුණාකර %2ට %1 ට සමාන හෝ වැඩි වලංගු දිනයක් ඇතුළත් කරන්න."
"Please enter a valid date less than or equal to %1 at %2.","කරුණාකර %2ට %1 ට අඩු හෝ සමාන වලංගු දිනයක් ඇතුළත් කරන්න."
"""%1"" is not a valid file extension.","""%1"" වලංගු ගොනු දිගුවක් නොවේ."
"""%1"" is not a valid file.","""%1"" වලංගු ගොනුවක් නොවේ."
"""%1"" exceeds the allowed file size.","""%1"" අවසර දී ඇති ගොනු ප්‍රමාණය ඉක්මවයි."
"""%1"" is not a valid image format","""%1"" වලංගු රූප ආකෘතියක් නොවේ"
"""%1"" width exceeds allowed value of %2 px.","""%1"" පළල %2 px හි අවසර ලත් අගය ඉක්මවයි."
