"Attribute Properties","Attribuut-eigenschappen"
"Default Label","Standaard Label"
"Default label","Standaard Label"
"Attribute Code","Attribuutcode"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dit wordt intern gebruikt. Zorg ervoor dat je geen spaties of meer dan %1 symbolen gebruikt."
"Catalog Input Type for Store Owner","Catalogus invoertype voor winkeleigenaar"
"Values Required","Waarden vereist"
"Default Value","Standaardwaarde"
"Unique Value","Unieke waarde"
"Unique Value (not shared with other products)","Unieke waarde (wordt niet gedeeld met andere producten)"
"Not shared with other products.","Niet gedeeld met andere producten."
"Input Validation for Store Owner","Invoervalidatie voor winkeleigenaar"
"Required","Vereist"
"Yes","Ja"
"No","Nee"
"System","Systeem"
"None","Geen"
"Decimal Number","Decimaal Nummer"
"Integer Number","Integer nummer"
"Email","E-mail"
"URL","URL"
"Letters","Letters"
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) of cijfers (0-9)"
"Text Field","Tekstveld"
"Text Area","Tekstgedeelte"
"Date","Datum"
"Yes/No","Ja/Nee"
"Multiple Select","Multi-select"
"Dropdown","Dropdown"
"Input type ""%value%"" not found in the input types list.","Input-soort ""%value%"" niet gevonden in input-soorten-lijst."
"Attribute object is undefined","Attribuut object is niet opgegeven"
"Entity object is undefined","Entiteit is niet opgegeven"
"""%1"" invalid type entered.","""%s"" ongeldige tekens ingevoerd."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" bevat niet-alfabetische of niet-numerieke tekens."
"""%1"" is an empty string.","""%1"" is een lege string."
"""%1"" contains non-numeric characters.","""%1"" bevat niet-numerieke tekens."
"""%1"" contains non-alphabetic characters.","""%1"" bevat niet-alfabetische tekens."
"""%1"" is not a valid email address.","""%s"" is geen geldig e-mailadres."
"""%1"" is not a valid hostname.","""%s"" is geen geldige hostnaam."
"""%1"" uses too many characters.","""%1"" te veel tekens worden gebruikt."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ziet eruit als een IP-adres, dit is een onaanvaardbaar formaat."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' lijkt een DNS hostname maar bevat een streepje in een ongeldige positie."
