"Attribute Properties","Свойствата на атрибута"
"Default Label","Етикет по подразбиране"
"Default label","Етикет по подразбиране"
"Attribute Code","Код на атрибута"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Това се използва вътрешно. Уверете се, че не използвате интервали или повече от %1 символи."
"Catalog Input Type for Store Owner","Вход в каталог за собственик на магазин"
"Values Required","Изисквани стойности"
"Default Value","Стойност по подразбиране"
"Unique Value","Уникална стойност"
"Unique Value (not shared with other products)","Уникална стойност (не е споделена с други продукти)"
"Not shared with other products.","Не е споделена с други продукти."
"Input Validation for Store Owner","Въведете валидация за администратора"
"Required","Изискван"
"Yes","Да"
"No","Не"
"System","Системи"
"None","Никакъв"
"Decimal Number","Десетично число"
"Integer Number","Цяло число"
"Email","Имейл"
"URL","URL"
"Letters","Букви"
"Letters (a-z, A-Z) or Numbers (0-9)","Букви (a-z, A-Z) или цифри (0-9)"
"Text Field","Текстово поле"
"Text Area","Пространство за текст"
"Date","Дата"
"Yes/No","Да/не"
"Multiple Select","Многоброен избор"
"Dropdown","Падащо меню"
"Input type ""%value%"" not found in the input types list.","Вход тип ""%value%"" не е намерен в списъка на видове вход."
"Attribute object is undefined","Атрибут обекта не е дефиниран"
"Entity object is undefined","Стойността на обект е недефинирана"
"""%1"" invalid type entered.","""%1"" въведен невалиден тип."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" съдържа символи различни от букви и числа."
"""%1"" is an empty string.","""%1"" е празно."
"""%1"" contains non-numeric characters.","""%1"" съдържа символи различни от числа."
"""%1"" contains non-alphabetic characters.","""%1"" съдържа символи различни от букви."
"""%1"" is not a valid email address.","""%1"" не е валиден имейл адрес."
"""%1"" is not a valid hostname.","""%1"" не е валидно хост име."
"""%1"" uses too many characters.","""%1"" използва прекалено много символи."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' изглежда е ИП адрес, който не е в приемлив формат."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","""%value%"" изглежда като DNS име на хост, но съдържа тире в невалидна позиция."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","""%value%"" изглежда като DNS име на хост, но ние не може да го мач срещу схемата на хост за TLD ""%tld%""."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","""%value%"" изглежда като DNS име на хост, но не може да извлече TLD част."
"'%value%' does not look like a valid local network name.","'%value%' не прилича на валидно име на локална мрежа."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' прилича на име на локална мрежа, която не е в приемлив формат."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","""%value%"" изглежда да се DNS име на хост, но в даден punycode нотация не могат да бъдат декодирани."
"""%1"" is not a valid URL.","""%1"" не е валидно URL."
"""%1"" is not a valid date.","""%1"" не е валидна дата."
"""%1"" does not fit the entered date format.","""%1"" не отговаря на вписания формат на датата."
"""%1"" is a required value.","""%1"" е задължителна стойност."
"Please enter a valid date between %1 and %2 at %3.","Моля въведете валидна дата между %1 и %2 в %3."
"Please enter a valid date equal to or greater than %1 at %2.","Моля въведете валидна дата равна или по-голяма от %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Моля въведете валидна дата по-малка или равна на %1 at %2."
"""%1"" is not a valid file extension.","""%1"" не е валидно разширение."
"""%1"" is not a valid file.","""%1"" не е валиден файл."
"""%1"" exceeds the allowed file size.","""%1"" превишава позволения размер за файл."
"""%1"" is not a valid image format","""%1"" не е валиден формат за изображение"
"""%1"" width exceeds allowed value of %2 px.","""%1"" широчина надвишава позволената стойност от %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" височина превишава позволената височина от %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" не може да съдържа повече от %2 линии."
"""%1"" length must be equal or greater than %2 characters.","""%1"" дължина трябва да е равна или по-голяма от %2 символа."
"""%1"" length must be equal or less than %2 characters.","""%1"" дължина трябва да е равна или по-малко от %2 символа."
"Attribute group does not belong to provided attribute set","Атрибут група не принадлежи към предоставения атрибут"
"Cannot save attributeGroup","Не може да запише атрибут група"
"Group with id ""%1"" does not exist.","Група с ID ""%1"" не съществува."
"Cannot delete attributeGroup with id %1","Не може да изтрие атрибут група с ИД %1"
"AttributeSet with id ""%1"" does not exist.","Група атрибути с идентификатор ""%1"" не съществува."
"Wrong attribute set id provided","Предоставен грешен идентификатор на група атрибути"
"Attribute group does not belong to attribute set","Атрибут група не принадлежи на атрибут"
"Attribute set not found: %1","Група атрибути не е намерена: %1"
"Attribute ""%1"" not found in attribute set %2.","Атрибут ""%1"" не е намерен в атрибут комплект %2."
"System attribute can not be deleted","Системен атрибут не може да бъде изтрит"
"Cannot save attribute","Не може да запише атрибут"
"Attribute with attributeCode ""%1"" does not exist.","Атрибут с атрибут код ""%1"" не съществува."
"Cannot delete attribute.","Не може да изтрие атрибут."
"Attribute with id ""%1"" does not exist.","Група атрибути с идентификатор ""%1"" не съществува."
"There was an error saving attribute set.","Възникна грешка при записване на атрибут."
"Default attribute set can not be deleted","Атрибут набор по подразбиране не може да бъде изтрит"
"There was an error deleting attribute set.","Възникна грешка при изтриване на атрибут група."
"Invalid entity_type specified: %1","Невалиден entity_type посочени: %1"
"Entity is not initialized","Стойността не е инициализирана"
"Unknown parameter","Неизвестен параметър"
"Unique constraint violation found"," Намерено нарушение"
"The attribute code '%1' is reserved by system. Please try another attribute code","Кода на атрибута ""%1"" е запазено от системата. Опитайте друг код на атрибут"
"An attribute code must not be more than %1 characters.","Код на атрибут трябва да бъде повече от %1 знака."
"Invalid default decimal value","Невалидна десетичната стойност по подразбиране"
"Invalid default date","Невалидна дата по подразбиране"
"Invalid entity supplied","Подадени невалидни стойности"
"Invalid backend model specified: %1","Невалиден бекенд модел, определен: %1"
"Source model ""%1"" not found for attribute ""%2""","Изходен модел ""%1"" не е намерена за атрибута ""%2"""
"The value of attribute ""%1"" must be set","Стойността на атрибут ""%1"" трябва да бъде зададен"
"The value of attribute ""%1"" must be unique","Стойността на атрибут ""%1"" трябва да е уникална"
"Invalid date","невалидна дата"
"Empty attribute code","Празен атрибут код"
"Attribute %1 doesn't work with options","Атрибут %1 не работи с опции"
"Cannot save attribute %1","Не може да запише атрибут %1"
"Attribute %1 doesn't have any option","Атрибут %1 няма никакви опция"
"Cannot load options for attribute %1","Не може да зареди опции за атрибут %1"
"Attribute %1 does not contain option with Id %2","Атрибут %1 не съдържа вариант с Id %2"
"Entity attribute with id ""%1"" not found","Атрибут на обект с ИД ""%1"" не е намерен"
"Attribute set name is empty.","Името на групата атрибути е празно."
