"Attribute Properties","Propriedade do Atributo"
"Default Label","Etiqueta Pré-definida"
"Default label","Etiqueta pré-definida"
"Attribute Code","Código de Atributo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Isto é usado internamente. Certifique-se que você não usa espaços ou mais do que %1 símbolos."
"Catalog Input Type for Store Owner","Tipo de Input de Catálogo para o Dono da Loja"
"Values Required","Valores Necessários"
"Default Value","Valor Pré-definido"
"Unique Value","Valor Único"
"Unique Value (not shared with other products)","Valor único (não partilhado com outros produtos)"
"Not shared with other products.","Não partilhado com outros produtos."
"Input Validation for Store Owner","Validação de Input para o Dono da Loja"
"Required","Obrigatório"
"Yes","Sim"
"No","Não"
"System","Sistema"
"None","Nenhum"
"Decimal Number","Número Décimal"
"Integer Number","Número Inteiro"
"Email","Correio electrónico"
"URL","URL"
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Input type ""%value%"" not found in the input types list.","O tipo de input ""%value%"" não está na lista de tipos de input."
"Attribute object is undefined","O objeto de atributo está indefinido"
"Entity object is undefined","O objeto entidade não está definido"
"""%1"" invalid type entered.","""%1"" tipo inválido introduzido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contém caracteres não-alfabéticos ou não-numéricos."
"""%1"" is an empty string.","""%1"" é uma String vazia."
"""%1"" contains non-numeric characters.","""%1"" contém caracteres não-numéricos."
"""%1"" contains non-alphabetic characters.","""%1"" contém caracteres não-alfabéticos."
"""%1"" is not a valid email address.","""%1"" não é um endereço de email válido."
"""%1"" is not a valid hostname.","""%1"" não é um hostname válido."
"""%1"" uses too many characters.","""%1"" utiliza demasiados caracteres."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' parece ser um endereço IP, e não é um formato aceitável."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' parece um hostname DNS mas contem um dash (hífen) numa posição inválida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' parece um hostname DNS mas não conseguimos fazer uma correspondência com o esquema de hostname para o domínio de topo (TLD) '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' parece um hostname DNS mas não foi possível extrair a parte do domínio de topo (TLD)."
"'%value%' does not look like a valid local network name.","'%value%' não parece ser um nome de rede local válido."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' parece ser um nome de rede local, que não é um formato aceitável."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' parece ser um hostname DNS, mas não foi possível descodificar a notação punycode."
"""%1"" is not a valid URL.","""%1"" não é um URL válido."
"""%1"" is not a valid date.","""%1"" não é uma data válida."
"""%1"" does not fit the entered date format.","""%1"" não corresponde ao formato da data inserida."
"""%1"" is a required value.","""%1"" é um valor obrigatório."
"Please enter a valid date between %1 and %2 at %3.","Por favor introduza uma data válida entre %1 e %2 às %3."
"Please enter a valid date equal to or greater than %1 at %2.","Por favor introduza uma data válida igual ou superior a %1 às %2."
"Please enter a valid date less than or equal to %1 at %2.","Por favor introduza uma data válida menor ou igual a %1 às %2."
"""%1"" is not a valid file extension.","""%1"" não é um formato de ficheiro válido."
"""%1"" is not a valid file.","""%1"" não é um ficheiro válido."
"""%1"" exceeds the allowed file size.","""%1"" excede a dimensão máxima de ficheiro permitida."
"""%1"" is not a valid image format","""%1"" não é um formato de imagem válido"
"""%1"" width exceeds allowed value of %2 px.","""%1"" largura excede o valor permitido de %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede o valor permitido de %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" não pode conter mais que %2 linhas."
"""%1"" length must be equal or greater than %2 characters.","""%1"" comprimento deve ser maior ou igual a %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","""%1"" comprimento deve ser menor ou igual a %2 caracteres."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
