"Now Shopping by","Користени филтри"
"Previous","Претходно"
"Remove","Избриши"
"Remove This Item","Отстрани го овој продукт"
"Shop By","Филтри"
"Clear All","Исчисти сè"
"Shopping Options","Филтрирај по"
"Welcome to %store_name","Добредојдовте на %store_name"
"%name,","%name,"
"Welcome to %store_name.","Добредојдовте на %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Да се најавите на нашата онлајн продавница, користете ги овие податоци. <a href=""%customer_url"">Мојот Профил</a>:"
"Email:","Емаил:"
"Password:","Лозинка:"
"Password you set when creating account","Лозинката што ја поставивте додека го креиравте профилот"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Ја заборавивте вашата лозинка? Кликнете <a href=""%reset_url"">овде</a> да ја ресетирате."
"When you sign in to your account, you will be able to:","Кога ќе бидете најавени, ќе имате можност:"
"Quick Checkout","Брза нарачка"
"Proceed through checkout faster","Да ги завршувате нарачките побрзо"
"Order Status","Статус на нарачката"
"Check the status of orders","Провери го статусот на твоите нарачки"
"Manage Addresses","Менаџирај адреси"
"Store alternative addresses","Зачуваш повеќе адреси"
"For shipping to multiple family members and friends","Доколку сакаш да направиш испорака на некој член од семејството или пријател"
"Order History","Историја на нарачки"
"View past orders","Видиш направени порачки"
"Footer","Footer"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Кредитна белешка за вашата нарачка - %store_name"
"Thank you for your order from %store_name.","Благодариме за вашата нарачка од %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Можете да го проверите статусот на вашата нарачка <a href=""%account_url"">најавувајки се на вашиот профил</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Доколку имате прашања за вашата нарачка, можете да ни пратите емаил на <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Вашата Кредитна белешка #%creditmemo_id за нарачка #%order_id"
"Billing Info","Информации за плаќање"
"Shipping Info","Shipping Info"
"Payment Method","Начин на плаќање"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Вашата Кредитна белешка е ажурирана - %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Вашата нарачка #%increment_id е ажурирана со статус <strong>%order_status</strong>."
"Invoice for your %store_name order","Фактура за вашата нарачка - %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Вашата фактура #%invoice_id за нарачка #%order_id"
"Update to your %store_name invoice","Вашата фактура е ажурирана - %store_name"
"Your %store_name order confirmation","Потврда за вашата нарачка - %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Веднаш штом ќе ја испорачаме вашата нарачка ќе ве известиме."
"Your Order <span class=""no-link"">#%increment_id</span>","Вашата нарачка <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Направена на <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Вашата нарачка е ажурирана - %store_name"
"Your %store_name order has shipped","Вашата нарачка е испорачена - %store_name"
"Your shipping confirmation is below. Thank you again for your business.","Вашата испратница за потврда е подолу. Уште еднаш благодариме што купувате кај нас."
"Your Shipment #%shipment_id for Order #%order_id","Вашата испратница #%shipment_id за нарачка #%order_id"
"Update to your %store_name shipment","Вашата испорака е ажурирана - %store_name"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
