"Now Shopping by","Duke blerë në"
"Previous","Paraardhëse"
"Remove","Hiq"
"Remove This Item","Hiq këtë artikull"
"Shop By","Bli Nga"
"Clear All","Pastro të gjitha"
"Shopping Options","Mundësitë e Blerjeve"
"Welcome to %store_name","Mirë se erdhët në %store_name"
"%name,","%name,"
"Welcome to %store_name.","Mirë se erdhët në %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Per te hyrë në faqen tonë, përdorni të dhënat tuaja, në faqen: <a href=""%customer_url"">Llogaria ime</a>"
"Email:","Email:"
"Password:","Fjalëkalimi:"
"Password you set when creating account","Fjalëkalimi që ju vendosët kur krijuat llogarinë"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Keni harruar fjalëkalimin? Klikoni <a href=""%reset_url"">këtu</a> për ta rivendosur."
"When you sign in to your account, you will be able to:","Kur të hyni në llogarinë tuaj, ju do të jeni në gjendje të:"
"Quick Checkout","Pagesë e shpejtë"
"Proceed through checkout faster","Kryeni pagesën më shpejtë"
"Order Status","Gjendja e porosisë"
"Check the status of orders","Kontrolloni gjendjen e porosisë"
"Manage Addresses","Menaxhoni Adresat"
"Store alternative addresses","Ruani adresat alternative"
"For shipping to multiple family members and friends","Për dërgesat te disa prej anëtarëve të familjes ose miqve tuaj"
"Order History","Historiku i porosisë"
"View past orders","Shfaq porositë e mëparëshme"
"Footer","Fundfaqe"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Memorandum krediti për porosinë në %store_name"
"Thank you for your order from %store_name.","Ju falenderojmë për porosinë në %store_name"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Ju mund të kontrolloni gjendjen e porosisë duke <a href=""%account_url"">hyrë në llogarinë tuaj</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Nëse keni pyetje në lidhje me porosinë tuaj, mund të na shkruani në adresën e email <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Memorandumi i kreditit #%creditmemo_id për porosinë #%order_id"
"Billing Info","Informatat e Faturimit"
"Shipping Info","Shipping Info"
"Payment Method","Metoda e pagesës"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Përditësim për memorandumin e kreditit tuaj në %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Porosia juaj #%increment_id është përditësuar në statusin <strong>%order_status</strong>."
"Invoice for your %store_name order","Fatura për porosinë tuaj në %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Fatura juaj #%invoice_id për porosinë #%order_id"
"Update to your %store_name invoice","Përditesimi për faturën tuaj në %store_name"
"Your %store_name order confirmation","Konfirmimi i porosisë në %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Pasi paketa juaj të dërgohet, ne do t'ju dërgojmë një numër gjurmimi."
"Your Order <span class=""no-link"">#%increment_id</span>","Porosia juaj <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Vendosur në <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Përditesimi për porosinë tuaj në %store_name"
"Your %store_name order has shipped","Porosia juaj %store_name është dërguar"
"Your shipping confirmation is below. Thank you again for your business.","Konfirmimi i dërgesës është më poshtë. Faleminderit për porosine tuaj."
"Your Shipment #%shipment_id for Order #%order_id","Dërgesa #%shipment_id për porosinë #%order_id"
"Update to your %store_name shipment","Përditësim për dërgesën tuaj, %store_name"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
