"Delete Selected Problems","Obriši odabrane probleme"
"Unsubscribe Selected","Otkaži pretplatu za odabrane"
"Back","Nazad"
"Reset","Reset"
"Preview Template","Pregled šablona"
"Save Newsletter","Sačuvaj pismo novosti"
"Save and Resume","Sačuvaj i nastavi"
"View Newsletter","Pregledaj pismo novosti"
"Edit Newsletter","Izmeni pismo novosti"
"Queue Information","Informacije o redu za čekanje"
"Queue Date Start","Datum pokretanja reda za čekanje"
"Subscribers From","Pretplatnici od"
"Subject","Predmet"
"Sender Name","Ime pošaljioca"
"Sender Email","E-pošta pošaljioca"
"Message","Poruka"
"Newsletter Styles","Stil pisma novosti"
"Start","Pokreni"
"Pause","Pauziraj"
"Do you really want to cancel the queue?","Da li želite da otkažete red za čekanje?"
"Cancel","Odustani"
"Resume","Nastavi"
"Preview","Pregled"
"Add New Template","Dodajte novi šablon"
"Newsletter Templates","Šablon pisma novosti"
"Convert to Plain Text","Prebaci u običan tekst"
"Return HTML Version","Vrati verziju Html-a"
"Delete Template","Obriši šablon"
"Save As","Sačuvaj kao"
"Save Template","Snimi šablon"
"Edit Newsletter Template","Izmeni šablon pisma novosti"
"New Newsletter Template","Novi šablon pisma novosti"
"Template Information","Informacije o šablonu"
"Template Name","Naziv šablona"
"Template Subject","Predmet šablona"
"Template Content","Sadržaj šablona"
"Template Styles","Stilovi šablona"
"No Templates Found","Šabloni nisu pronađeni"
"ID","ID"
"Template","Šablon"
"Added","Dodato"
"Updated","Ažuriran"
"Sender","Pošiljalac"
"Template Type","Tip šablona"
"Action","Akcija"
"Queue Newsletter","Red za čekanje pisma novosti"
"We unsubscribed the people you identified.","Identifikovanim osobama biće otkazana pretplata."
"The problems you identified have been deleted.","Problem koje je identifikovan biće obrisan."
"Newsletter Problems Report","Izveštaj problema pisma novosti"
"Newsletter Problem Reports","Izveštaj problema pisma novosti"
"Newsletter Queue","Red za čekanje pisma novosti"
"Edit Queue","Izmeni red za čekanje"
"Please correct the newsletter template and try again.","Ispravite šablon pisma novosti i pokušajte ponovo."
"You saved the newsletter queue.","Sačuvali ste red za čekanje pisma novosti."
"Newsletter Subscribers","Novinski pretplatnici"
"Newsletter","Novosti"
"Subscribers","Pretplatnici"
"Please select one or more subscribers.","Molim odaberite jednog ili više pretplanika."
"Total of %1 record(s) were deleted.","Ukupno %1 zapis(a) je obrisano."
"A total of %1 record(s) were updated.","Ukupno %1 zapis(a) je ažurirano."
"The newsletter template has been deleted.","Šablon novosti je obrisan."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Izmeni šablon"
"New Template","Novi šablon"
"Create Newsletter Template","Napravi novi šablon pisma novosti"
"The newsletter template has been saved.","Šablon novosti je sačuvan."
"Something went wrong while saving this template.","Something went wrong while saving this template."
"Newsletter Subscription","Newsletter Subscription"
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","Please enter a valid email address."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You unsubscribed.","You unsubscribed."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"Sent","Sent"
"Cancelled","Cancelled"
"Not Sent","Not Sent"
"Sending","Sending"
"Paused","Paused"
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Newsletter Message Preview"
"Add to Queue","Add to Queue"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter a new template name.","Please enter a new template name."
" Copy"," Copy"
