"Delete Selected Problems","Изтриване на избраните проблеми"
"Unsubscribe Selected","Отпиши избраните"
"Back","Обратно"
"Reset","Изчисти"
"Preview Template","Предварителен преглед на шаблон"
"Save Newsletter","Запази Бюлетин"
"Save and Resume","Запази и прегледай"
"View Newsletter","Преглед бюлетин"
"Edit Newsletter","Редактиране на бюлетин"
"Queue Information","Информация за опашката"
"Queue Date Start","Начална дата на опашката"
"Subscribers From","Абонати от"
"Subject","Предмет"
"Sender Name","Име на подателя"
"Sender Email","Подател имейл"
"Message","Съобщение"
"Newsletter Styles","Бюлетин стилове"
"Start","Старт"
"Pause","Пауза"
"Do you really want to cancel the queue?","Наистина ли искате да отмените опашката?"
"Cancel","Отказ"
"Resume","Възобнови"
"Preview","преглед"
"Add New Template","Добавяне на нов шаблон"
"Newsletter Templates","Шаблон бюлетин"
"Convert to Plain Text","Конвертиране в обикновен текст"
"Return HTML Version","Върни Html версия"
"Delete Template","Изтриване на шаблон"
"Save As","Запази като"
"Save Template","Записване на шаблон"
"Edit Newsletter Template","Редактирай шаблон на бюлетин
"
"New Newsletter Template","Нов Шаблон на бюлетин"
"Template Information","Информация за шаблон"
"Template Name","Име на шаблона"
"Template Subject","Шаблон тема"
"Template Content","Съдържание на шаблон"
"Template Styles","Стил на шаблона"
"No Templates Found","Няма намерени шаблони"
"ID","ИД"
"Template","Шаблон"
"Added","Добавен"
"Updated","Актуализиран"
"Sender","Подател"
"Template Type","Тип шаблон"
"Action","Действие"
"Queue Newsletter","Бюлетин на опашката"
"We unsubscribed the people you identified.","Отписахме хората, които идентифицирахте."
"The problems you identified have been deleted.","Проблема, който идентифицирахте е изтрит."
"Newsletter Problems Report","Доклад за проблеми в бюлетина"
"Newsletter Problem Reports","Доклади за проблеми в бюлетина"
"Newsletter Queue","Бюлетин на изчакване"
"Edit Queue","Редактиране на опашката"
"Please correct the newsletter template and try again.","Please correct the Шаблон бюлетин and try again."
"You saved the newsletter queue.","You saved the Бюлетин на изчакване."
"Newsletter Subscribers","Абонати на бюлетина"
"Newsletter","Бюлетин"
"Subscribers","Абонати"
"Please select one or more subscribers.","Моля изберете една или повече категории."
"Total of %1 record(s) were deleted.","Сума от %1 запис(и) бяха изтрити"
"A total of %1 record(s) were updated.","Общо %1 запис(и) бяха актуализирани."
"The newsletter template has been deleted.","Шаблон бюлетин беше изтрит."
"We can't delete this template right now.","Не може да изтриете този шаблон точно сега."
"Edit Template","Редактиране на шаблон"
"New Template","Нов шаблон"
"Create Newsletter Template","Create Шаблон бюлетин"
"The newsletter template has been saved.","The Шаблон бюлетин has been saved."
"Something went wrong while saving this template.","Нещо се обърка при запазването на този шаблон."
"Newsletter Subscription","Абонамент за бюлетин"
"Something went wrong while saving your subscription.","Нещо се обърка при запазването на абонамента ви."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Вашият абонамент е потвърден."
"This is an invalid subscription confirmation code.","Това е невалиден код за потвърждение на абонамента."
"This is an invalid subscription ID.","Това е невалиден идентификатор на абонамента."
"This email address is already assigned to another user.","Този имейл адрес вече е присвоен на друг потребител."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Съжаляваме, но администраторът отказа абонамент за гостите. """" Моля, <a href=""%1""> Регистрирайте се</a>."
"Please enter a valid email address.","Моля, въведете валиден е-мейл адрес."
"This email address is already subscribed.","Този имейл адрес вече е записан."
"The confirmation request has been sent.","Изпратена е заявка за потвърждение."
"Thank you for your subscription.","Благодарим ви за вашия абонамент."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Нещо се обърка с абонамента."
"You unsubscribed.","Отписахте се."
"Something went wrong while unsubscribing you.","Нещо се обърка при прекратяване на абонамента ви."
"Sent","Изпратен"
"Cancelled","Отказан"
"Not Sent","Не е изпратен"
"Sending","В процес на изпращане"
"Paused","Паузиран"
"There are no subscribers selected.","Няма избрани абонати."
"You selected an invalid queue.","Избрахте невалидна опашка."
"We cannot mark as received subscriber.","Не можем да маркираме като получен абонат."
"Duplicate template code","Дублиран шаблонен код"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Следвайте тази връзка да се отпишете <!--Този етикет е за отпишете връзка--> ""' <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}' '</a>"
"No such entity with %fieldName = %fieldValue","Няма такъв субект с %fieldName = %fieldValue"
"Choose Store View:","Изберете изглед на магазина:"
"Newsletter Message Preview","Преглед на съобщението за бюлетин"
"Add to Queue","Добавяне към опашка"
"Are you sure that you want to strip all tags?","Сигурни ли сте, че искате да премахнете всички тагове?"
"Please enter a new template name.","Моля въведете ново име на шаблон."
" Copy"," Копирай"
"Are you sure you want to delete this template?","Сигурен ли сте че искате да изтриете този темплейт?"
"Sign Up for Our Newsletter:","Абонирай се за нашия е-бюлетин:"
"Enter your email address","Въведете Вашия имейл адрес"
"Subscribe","Абониране"
"Newsletter subscription confirmation","Потвърждение на абонамент за бюлетин"
