"Export","Exportar"
"Export Settings","Exportar Configurações"
"Entity Type","Tipo de Entidade"
"Export File Format","Exportar Formato de Ficheiro"
"Fields Enclosure","Cerco de campos"
"From","De"
"To","Para"
"We can't filter an attribute with no attribute options.","Não possível filtrar um atributo sem opções de atributo."
"Fixed Price: From","Preço fixo: de"
"Exclude","Excluir"
"Attribute Label","Etiqueta do Atributo"
"Attribute Code","Código de Atributo"
"Filter","Filtro"
"Unknown attribute filter type","Tipo de filtro de atributo desconhecido"
"Download","Transferir"
"Check Data","Verificar Dados"
"Import","Importar"
"Import Settings","Importar Definições"
"Import Behavior","Comportamento de Importação"
" "," "
"Validation Strategy","Validation Strategy"
"Stop on Error","Parar caso ocorra um erro"
"Skip error entries","Ignorar registos com erros"
"Allowed Errors Count","Número de Erros Permitidos"
"Please specify number of errors to halt import process","Por favor especifique o número de erros necessários para interromper o processo de importação"
"Field separator","Separador de Campos"
"Multiple value separator","Delimitador para campos multi-valor"
"Fields enclosure","Cerco de campos"
"File to Import","Ficheiro a Importar"
"Select File to Import","Selecione ficheiro a importar"
"Images File Directory","Pasta de Ficheiros de Imagem"
"For Type ""Local Server"" use relative path to &lt;Magento root directory&gt;/var/import/images, e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/var/import/images/product_images</i> folder.","For Type ""Local Server"" use relative path to &lt;Magento root directory&gt;/var/import/images, e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/var/import/images/product_images</i> folder."
"Download Sample File","Transferir Ficheiro de Amostra"
"Please correct the data sent value.","Por favor corrija os dados enviados."
"Import/Export","Importar/Exportar"
"History","Histórico"
"Import History","Histórico de Importação"
"Import history","Histórico de importação"
"There is no sample file for this entity.","Não há nenhum ficheiro de amostra para esta entidade."
"Status","Estado"
"Maximum error count has been reached or system error is occurred!","Foi atingido o limite máximo de erros ou então ocorreu um erro do sistema!"
"Import successfully done","Importação finalizada com sucesso"
"Sorry, but the data is invalid or the file is not uploaded.","Desculpe, mas os dados são inválidos ou o ficheiro não foi carregado."
"The file was not uploaded.","O ficheiro não foi carregado."
"Data validation failed. Please fix the following errors and upload the file again.","A validação de dados falhou. Por favor, corrija os seguintes erros e faça upload do ficheiro novamente."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Linhas verificadas: %1, entidades verificadas: %2, linhas inválidas: %3, número de erros total: %4"
"This file is empty. Please try another one.","Este ficheiro encontra-se vazio. Por favor tente outro."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Por favor, corrija os erros e faça upload do ficheiro ou simplesmente pressione o botão ""Importar"" para ignorar linhas com erros"
"File is valid! To start import process press ""Import"" button","O ficheiro é válido! Para iniciar a importação carregue no botão ""Importar"""
"The file is valid, but we can't import it for some reason.","O ficheiro é válido, mas não foi possível importá-lo por algum motivo."
"Show more","Mostrar mais"
"Additional data","Dados Adicionais"
"Following Error(s) has been occurred during importing process:","Ocorreram os seguintes erros durante o processo de importação:"
"Only the first 100 errors are shown. ","Apenas os primeiros 100 erros são mostrados. "
"Download full report","Baixar relatório completo"
"in row(s):","em linha(s):"
"Make sure your file isn't more than %1M.","Certifique-se que o seu ficheiro não tem mais do que %1M."
"We can't provide the upload settings right now.","Não é possível fornecer as definições de carregamento de momento."
"Created: %1, Updated: %2, Deleted: %3","Criados: %1, Atualizados: %2, Eliminados: %3"
"Please enter a correct entity model.","Por favor insira um modelo de entidade correto."
"The entity adapter object must be an instance of %1 or %2.","O objeto do adaptador de entidade deve ser uma instância de %1 ou %2."
"The input entity code is not equal to entity adapter code.","O código de entidade de input não é igual ao código do adaptador de entidade."
"Please enter a correct entity.","Por favor insira uma entidade correcta."
"The adapter object must be an instance of %1.","O objeto do adaptador deve ser uma instância de %1."
"Please correct the file format.","Por favor corrija o formato do ficheiro."
"Begin export of %1","Iniciar exportação de %1"
"There is no data for the export.","Não existem dados para exportar."
"Exported %1 rows.","Foram exportadas %1 linhas."
"The export is finished.","A exportação foi concluída."
"Please provide filter data.","Por favor forneça dados de filtro."
"We can't determine the attribute filter type.","Não foi possível determinar o tipo de filtro do atributo."
"Entity is unknown","A entidade é desconhecida"
"We can't identify this file format.","Não foi possível identificar o formato do ficheiro."
"Please correct the value for ""%1"" column.","Por favor corrija o valor da coluna ""%1""."
"Please specify the writer.","Por favor especifique o autor."
"The destination file path must be a string.","O caminho de destino deve ser uma string."
"The destination directory is not writable.","Não existem permissões de escrita para a pasta de destino."
"Destination file is not writable","O ficheiro de destino não é gravável"
"The header column names are already set.","Já estão definidos os nomes de cabeçalho das colunas."
"in row(s)","em linha(s)"
"The validation is complete.","A validação foi concluída."
"This file does not contain any data.","Este ficheiro não contém quaisquer dados."
"Begin import of ""%1"" with ""%2"" behavior","Iniciar a importação de ""%1"" com o comportamento ""%2"""
"The import was successful.","A importação foi bem-sucedida."
"The file you uploaded has no extension.","O ficheiro que carregou não tem extensão."
"The source file moving process failed.","O processo de mover o ficheiro falhou."
"Begin data validation","Iniciar validação de dados"
"Import data validation is complete.","A validação dos dados de importação foi concluída."
"The behavior token for %1 is invalid.","O token de comportamento para %1 é inválido."
"Please enter a correct entity model","Por favor insira um modelo de entidade correto"
"Source file coping failed","A cópia do ficheiro falhou"
"The source is not set.","A fonte não está definida."
"The adapter type must be a non-empty string.","O tipo de adaptador deve ser uma frase não vazia."
"'%1' file extension is not supported","A extensão do ficheiro '%1' não é suportada"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","O adaptador deve ser uma instância de \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Por favor especifique uma fonte."
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Validação de dados da importação - Estratégia de validação não encontrada"
"Cannot get autoincrement value","Não foi possível obter o valor de incremento automático"
"Error in data structure: %1 values are mixed","Erro na estrutura de dados: %1 valores estão misturados"
"-- Please Select --","-- Por favor, selecione --"
"label","etiqueta"
"Add/Update","Adicionar/Atualizar"
"Replace","Substituir"
"Delete","Eliminar"
"Note: Product IDs will be regenerated.","Nota: Os IDs dos produtos serão regenerados."
"Add/Update Complex Data","Adicionar/Atualizar Dados Complexos"
"Delete Entities","Eliminar Entidades"
"Custom Action","Ação Personalizada"
"Error message","Mensagem de erro"
"URL key for specified store already exists.","A chave URL para a loja especificada já existe."
"Entity Attributes","Atributos de Entidade"
"Continue","Continuar"
"Validation Results","Resultados de Validação"
"ID","Id."
"Start Date&Time","Data e Hora de Início"
"User","Utilizador"
"Imported File","Ficheiro Importado"
"Error File","Ficheiro de Erro"
"Execution Time","Tempo de Execução"
"Summary","Resumo"
"New product data is added to existing product data entries in the database. All fields except SKU can be updated.","New product data is added to existing product data entries in the database. All fields except SKU can be updated."
"All existing product data is replaced with the imported new data. <b>Exercise caution when replacing data. All existing product data will be completely cleared and all references in the system will be lost.</b>","All existing product data is replaced with the imported new data. <b>Exercise caution when replacing data. All existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that match existing entities in the database are deleted from the database.","Any entities in the import data that match existing entities in the database are deleted from the database."
"Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file","Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file"
"Invalid data","Invalid data"
"Invalid response","Invalid response"
"File %1 deleted","File %1 deleted"
"Please provide valid export file name","Please provide valid export file name"
"%1 is not a valid file","%1 is not a valid file"
"Content of uploaded file was changed, please re-upload the file","Content of uploaded file was changed, please re-upload the file"
