"catalog_rule","catalog_rule"
"Magento\CatalogRule\Api\Data\RuleInterface","Magento\CatalogRule\Api\Data\RuleInterface"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Future Update in this time range already exists. Select a different range to add a new Future Update."
"Future Update End Time cannot be equal or earlier than Start Time.","Future Update End Time cannot be equal or earlier than Start Time."
"Smth went to exception","Smth went to exception"
"ID","ИД"
"Rule","Правило"
"Priority","Priority"
"Web Site","Web Site"
"Action","Радња"
"Edit","Ажурирај"
"Scheduled Changes","Scheduled Changes"
"Name","Име"
"Description","Опис"
"Update Information","Update Information"
"Remove Catalog Price Rule from Update","Remove Catalog Price Rule from Update"
"Schedule Update","Schedule Update"
"Update Name","Update Name"
"Start Date","Почетни Датум"
"End Date","Крајњи датум"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Status","Статус"
"Active","Активно"
"Inactive","Неактивно"
"Websites","Websites"
"Customer Groups","Групе купаца"
"Conditions","Conditions"
"Actions","Акције"
"Apply","Примени"
"Discount Amount","Discount Amount"
"Discard subsequent rules","Discard subsequent rules"
"Yes","Да"
"No","Не"
"Save as a New Update","Save as a New Update"
"Move to Another Update","Move to Another Update"
"Delete the Update","Delete the Update"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","The catalog price rule will be removed from the update and all scheduled changes will be lost."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Време почетка"
"End Time","End Time"
"Catalog Price Rules","Catalog Price Rules"
"Remove Catalog Price Rule from Campaign","Remove Catalog Price Rule from Campaign"
