"Future Update in this time range already exists. Select a different range to add a new Future Update.","Já existe uma Atualização Futura para este período de tempo. Selecione um período diferente para adicionar uma nova Atualização Futura."
"Smth went to exception","Algo foi para exceção"
"ID","Id."
"Rule","Regra"
"Priority","Prioridade"
"Web Site","Website"
"Action","Ação"
"Edit","Editar"
"Scheduled Changes","Mudanças Agendadas"
"Name","Nome"
"Description","Descrição"
"Update Information","Informação da Atualização"
"Remove Catalog Price Rule from Update","Remover a regra de preço de catálogo da atualização"
"Schedule Update","Agendar Atualização"
"Update Name","Nome da Atualização"
"Start Date","Data de Início"
"End Date","Data de Fim"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Status","Estado"
"Active","Ativo"
"Inactive","Inativo"
"Websites","Sites"
"Customer Groups","Grupos de Clientes"
"Conditions","Condições"
"Actions","Ações"
"Apply","Aplicar"
"Discount Amount","Desconto"
"Discard subsequent rules","Excluir regras subsequentes"
"Yes","Sim"
"No","Não"
"Save as a New Update","Guardar como Nova Atualização"
"Move to Another Update","Mover para outra atualização"
"Delete the Update","Apagar a Atualização"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","A regra de preço de catálogo será removida da atualização e todas as alterações programadas serão perdidas."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Hora de início"
"End Time","Hora de Fim"
"Catalog Price Rules","Regras de Preço do Catálogo"
"Remove Catalog Price Rule from Campaign","Remover do catálogo a regra de preço da campanha"
"Future Update End Time cannot be equal or earlier than Start Time.","A Hora de término da atualização futura não pode ser igual ou anterior à Hora de início."
"Move to Another Campaign","Mover para outra Campanha"
"Deleting the update will remove the catalog price rule from this campaign and all scheduled changes will be lost.","A exclusão da atualização irá remover a regra de preço de catálogo desta campanha e todas as alterações agendadas serão perdidas."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
