"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"Smth went to exception","Có gì đó đã trở thành ngoại lệ"
"ID","ID"
"Rule","Quy tắc"
"Priority","Độ ưu tiên"
"Web Site","Trang Web"
"Action","Thao tác"
"Edit","Chỉnh sửa"
"Scheduled Changes","Lịch trình thay đổi"
"Name","Tên"
"Description","Mô tả"
"Update Information","Cập nhật thông tin"
"Remove Catalog Price Rule from Update","Xóa giá quy tắc giá sản phẩm trong danh mục sản phẩm từ cập nhật"
"Schedule Update","Lên lịch cập nhật"
"Update Name","Cập Nhật tên"
"Start Date","Ngày bắt đầu"
"End Date","Ngày kết thúc"
"Rule Information","Thông tin quy tắc"
"Rule Name","Tên quy tắc"
"Active","Kích hoạt"
"Websites","Các trang web"
"Customer Groups","Nhóm khách hàng"
"Conditions","Điều kiện"
"Actions","Thao tác"
"Apply","Áp dụng"
"Discount Amount","Lượng chiết khấu"
"Discard subsequent rules","Loại bỏ các quy tắc"
"Yes","Có"
"No","Không"
"Save as a New Update","Lưu như một bản cập nhật mới"
"Move to Another Update","Di chuyển đến cập nhật khác"
"Delete the Update","Xóa bỏ bản Cập Nhật"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","Quy tắc giá danh mục sản phẩm sẽ bị xoá khỏi bản cập nhật và tất cả các thay đổi đã lên lịch sẽ bị xoá."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Thời Gian Bắt Đầu"
"End Time","Thời gian kết thúc"
"Catalog Price Rules","Catalog Price Rules"
"Remove Catalog Price Rule from Campaign","Xóa Catalog Price Rule từ chiến dịch"
